,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
2,15640,Aaron Judge,30,1329,0.299,0.14,0.251,0.56,0.4,0.616,3.6,120.1,2.57,2.11,1.09,2.64,0.92,-1.46,,0.26899999999999996,0.6759999999999999,0.425,0.541,0.847,0.728,0.384,0.586,0.11599999999999999
26,16252,Trea Turner,28,1354,0.312,0.064,0.17800000000000002,0.36,0.358,0.5,6.3,60.8,1.65,0.15,-0.03,1.23,1.71,0.34,,0.33799999999999997,0.74,0.502,0.617,0.87,0.769,0.408,0.649,0.11599999999999999
25,13510,Jose Ramirez,29,1321,0.273,0.107,0.128,0.83,0.355,0.526,6.3,59.1,1.05,0.47,1.12,2.23,1.03,2.0,,0.299,0.6679999999999999,0.445,0.773,0.927,0.865,0.396,0.514,0.06
8,9218,Paul Goldschmidt,34,1330,0.305,0.11,0.20800000000000002,0.53,0.384,0.545,4.5,89.8,1.94,0.54,3.45,1.44,3.05,5.38,,0.27899999999999997,0.639,0.429,0.696,0.8140000000000001,0.77,0.41700000000000004,0.585,0.099
10,5361,Freddie Freeman,32,1403,0.313,0.12,0.149,0.81,0.4,0.507,4.6,83.8,1.49,1.82,1.85,1.43,2.23,1.16,,0.305,0.784,0.502,0.746,0.861,0.82,0.41,0.584,0.09
17,5417,Jose Altuve,32,1282,0.288,0.10300000000000001,0.139,0.74,0.368,0.51,4.7,65.6,1.96,0.53,0.6,1.23,1.54,1.08,0.65,0.331,0.659,0.455,0.77,0.915,0.8490000000000001,0.37799999999999995,0.628,0.069
29,11493,Manny Machado,29,1284,0.288,0.098,0.183,0.54,0.357,0.511,4.4,55.5,0.29,1.73,1.52,2.15,2.89,9.49,,0.335,0.74,0.494,0.64,0.875,0.778,0.392,0.618,0.11
44,9777,Nolan Arenado,31,1273,0.273,0.08,0.132,0.61,0.335,0.513,3.1,46.7,0.17,0.05,4.22,1.75,2.92,3.86,,0.345,0.6759999999999999,0.47600000000000003,0.713,0.9179999999999999,0.828,0.39399999999999996,0.599,0.08199999999999999
84,11739,J.T. Realmuto,31,1099,0.269,0.081,0.226,0.36,0.342,0.459,6.1,29.2,1.19,0.1,0.13,1.76,0.16,1.74,,0.341,0.7070000000000001,0.493,0.664,0.8270000000000001,0.7609999999999999,0.414,0.599,0.11800000000000001
134,12916,Francisco Lindor,28,1230,0.253,0.095,0.18600000000000003,0.51,0.332,0.433,5.3,19.0,0.88,-0.26,-0.91,0.36,1.48,-5.23,,0.322,0.7040000000000001,0.474,0.657,0.87,0.7829999999999999,0.4,0.581,0.10300000000000001
6,20123,Juan Soto,23,1318,0.277,0.212,0.14300000000000002,1.48,0.433,0.492,3.5,92.1,2.5,0.34,2.41,0.76,0.71,4.59,,0.17600000000000002,0.61,0.35100000000000003,0.6759999999999999,0.889,0.825,0.40399999999999997,0.536,0.061
35,14162,Carlos Correa,27,1230,0.285,0.111,0.193,0.57,0.366,0.476,2.1,50.7,0.87,0.01,3.49,0.9,2.11,-0.69,12.75,0.289,0.635,0.43200000000000005,0.667,0.888,0.8009999999999999,0.413,0.579,0.086
7,19556,Yordan Alvarez,25,1159,0.291,0.11,0.217,0.51,0.375,0.569,2.9,79.3,1.56,1.98,1.06,0.63,2.14,0.69,16.13,0.289,0.643,0.428,0.627,0.903,0.79,0.39299999999999996,0.547,0.09
22,13611,Mookie Betts,29,1189,0.267,0.10300000000000001,0.16,0.65,0.352,0.513,5.6,55.5,1.27,0.5,2.8,2.84,1.94,2.59,-77.64,0.245,0.672,0.423,0.679,0.935,0.8490000000000001,0.419,0.601,0.064
30,12161,Xander Bogaerts,29,1234,0.301,0.096,0.187,0.52,0.374,0.474,3.6,53.5,1.38,0.8,0.72,0.37,1.33,-1.66,,0.33,0.647,0.457,0.6859999999999999,0.856,0.782,0.401,0.595,0.1
98,12533,Marcus Semien,31,1448,0.257,0.08199999999999999,0.184,0.45,0.319,0.484,5.7,36.1,0.85,0.46,-0.44,2.33,0.26,1.65,,0.27399999999999997,0.731,0.461,0.642,0.897,0.807,0.41,0.602,0.08900000000000001
16,18360,Austin Riley,25,1355,0.288,0.08,0.248,0.32,0.358,0.529,2.3,72.4,0.43,1.62,0.97,5.12,2.7,0.91,6.24,0.34600000000000003,0.76,0.509,0.601,0.84,0.742,0.39299999999999996,0.632,0.131
139,18314,Dansby Swanson,28,1349,0.263,0.075,0.259,0.29,0.32,0.448,4.4,19.6,0.83,-0.01,-0.87,0.63,-0.09,2.27,45.44,0.303,0.743,0.488,0.5710000000000001,0.807,0.723,0.42100000000000004,0.6459999999999999,0.135
64,19612,Bo Bichette,24,1387,0.294,0.057999999999999996,0.21100000000000002,0.28,0.338,0.477,5.0,43.4,0.08,1.15,0.79,2.81,2.69,-4.4,,0.406,0.8059999999999999,0.569,0.675,0.888,0.7979999999999999,0.408,0.654,0.115
33,18345,Kyle Tucker,25,1176,0.275,0.095,0.157,0.61,0.344,0.516,5.1,50.3,0.99,1.2,2.33,0.05,1.23,3.25,7.88,0.305,0.833,0.525,0.68,0.8859999999999999,0.816,0.41600000000000004,0.594,0.096
90,17929,Cedric Mullins II,27,1347,0.274,0.079,0.18600000000000003,0.42,0.339,0.46,6.2,34.9,0.74,0.09,2.65,1.68,1.55,0.26,,0.321,0.68,0.478,0.72,0.871,0.8140000000000001,0.43700000000000006,0.593,0.08900000000000001
18,17350,Rafael Devers,25,1278,0.287,0.08800000000000001,0.201,0.44,0.355,0.53,3.1,63.0,0.74,1.87,0.69,1.63,3.23,1.68,-6.54,0.381,0.7859999999999999,0.54,0.665,0.797,0.741,0.392,0.621,0.14
11,19611,Vladimir Guerrero Jr.,23,1404,0.292,0.10300000000000001,0.161,0.64,0.37,0.539,3.3,83.8,2.23,0.61,1.45,2.48,-0.3,1.14,,0.313,0.7490000000000001,0.485,0.609,0.857,0.76,0.395,0.608,0.11599999999999999
