,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.38593974175035867,0.49928263988522237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11477761836441894
[1-0],0.0,0.0,0.0,0.34701492537313433,0.48134328358208955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17164179104477612
[0-1],0.0,0.0,0.0,0.0,0.3879310344827586,0.41379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19827586206896552
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.34408602150537637,0.5053763440860215,0.0,0.0,0.0,0.0,0.0,0.0,0.15053763440860216
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3549618320610687,0.4122137404580153,0.0,0.0,0.0,0.0,0.0,0.23282442748091603
[0-2],0.0,0.0,0.0,0.0,0.0,0.2185792349726776,0.0,0.0,0.46994535519125685,0.0,0.0,0.0,0.08196721311475409,0.0,0.22950819672131148
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.23333333333333334,0.03333333333333333
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2642857142857143,0.45,0.0,0.0,0.0,0.2857142857142857
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,0.404,0.0,0.164,0.0,0.208
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084745762711864,0.0,0.288135593220339,0.2033898305084746
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27555555555555555,0.25333333333333335,0.19111111111111112,0.0,0.28
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4027777777777778,0.09027777777777778,0.1736111111111111,0.3333333333333333
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
