,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,234.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
[1-0],0.0,0.0,0.0,70.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
[0-1],0.0,0.0,0.0,0.0,131.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,128.0,0.0,0.0,0.0,0.0,0.0,50.0
[0-2],0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,65.0,0.0,0.0,0.0,19.0,0.0,23.0
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,1.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,63.0,0.0,0.0,0.0,22.0
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,92.0,0.0,43.0,0.0,58.0
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,8.0,10.0
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,66.0,49.0,0.0,40.0
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,23.0,31.0
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
