,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.382718873926875,0.5078768466466205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10940427942650455
[1-0],0.0,0.0,0.0,0.33936296275145267,0.5041046214468256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565324158017218
[0-1],0.0,0.0,0.0,0.0,0.4014554536450932,0.42614003358739183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17240451276751495
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.31033754383000295,0.5225381268218495,0.0,0.0,0.0,0.0,0.0,0.0,0.16712432934814753
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34646431138386685,0.4566401282689224,0.0,0.0,0.0,0.0,0.0,0.1968955603472107
[0-2],0.0,0.0,0.0,0.0,0.0,0.19197466115464512,0.0,0.0,0.44822196170379053,0.0,0.0,0.0,0.18286337179408074,0.0,0.1769400053474836
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6204620462046204,0.0,0.0,0.0,0.33910891089108913,0.040429042904290426
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2951219512195122,0.4859555079067274,0.0,0.0,0.0,0.2189225408737604
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21488652594826219,0.0,0.38351776774249396,0.0,0.19409617521028408,0.0,0.20749953109895977
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4972450897776625,0.0,0.28365852077526416,0.21909638944707333
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25032081588545185,0.30882750236390655,0.20135418073753883,0.0,0.2394975010131028
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28111876364858057,0.20664650876308863,0.2320398678537432,0.2801948597345876
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
