,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,274.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
[1-0],0.0,0.0,0.0,97.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
[0-1],0.0,0.0,0.0,0.0,175.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,104.0,0.0,0.0,0.0,0.0,0.0,64.0
[0-2],0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,98.0,0.0,0.0,0.0,24.0,0.0,21.0
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,2.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,73.0,0.0,0.0,0.0,50.0
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,111.0,0.0,42.0,0.0,48.0
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,19.0,31.0
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,86.0,35.0,0.0,63.0
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,22.0,25.0,59.0
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
