,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,238.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
[1-0],0.0,0.0,0.0,56.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
[0-1],0.0,0.0,0.0,0.0,144.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,128.0,0.0,0.0,0.0,0.0,0.0,69.0
[0-2],0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,85.0,0.0,0.0,0.0,41.0,0.0,29.0
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,1.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,71.0,0.0,0.0,0.0,21.0
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,83.0,0.0,72.0,0.0,58.0
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,7.0,6.0
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,44.0,54.0,0.0,56.0
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,13.0,30.0
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
