,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.34,0.5342857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12571428571428572
[1-0],0.0,0.0,0.0,0.23529411764705882,0.5756302521008403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18907563025210083
[0-1],0.0,0.0,0.0,0.0,0.3850267379679144,0.4144385026737968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20053475935828877
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,0.4909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.21818181818181817
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298932384341637,0.4555160142348754,0.0,0.0,0.0,0.0,0.0,0.24555160142348753
[0-2],0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,0.4358974358974359,0.0,0.0,0.0,0.21025641025641026,0.0,0.14871794871794872
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.1875,0.0625
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17117117117117117,0.6396396396396397,0.0,0.0,0.0,0.1891891891891892
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22262773722627738,0.0,0.3029197080291971,0.0,0.26277372262773724,0.0,0.2116788321167883
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806451612903226,0.0,0.22580645161290322,0.1935483870967742
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27014218009478674,0.20853080568720378,0.2559241706161137,0.0,0.26540284360189575
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19480519480519481,0.24675324675324675,0.16883116883116883,0.38961038961038963
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
