,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.3684931506849315,0.5246575342465754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10684931506849316
[1-0],0.0,0.0,0.0,0.41044776119402987,0.458955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13059701492537312
[0-1],0.0,0.0,0.0,0.0,0.43455497382198954,0.36649214659685864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19895287958115182
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.34545454545454546,0.4818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.17272727272727273
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39792387543252594,0.3875432525951557,0.0,0.0,0.0,0.0,0.0,0.21453287197231835
[0-2],0.0,0.0,0.0,0.0,0.0,0.19298245614035087,0.0,0.0,0.4619883040935672,0.0,0.0,0.0,0.15789473684210525,0.0,0.1871345029239766
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.2894736842105263,0.02631578947368421
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27976190476190477,0.4583333333333333,0.0,0.0,0.0,0.2619047619047619
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20416666666666666,0.0,0.3958333333333333,0.0,0.17083333333333334,0.0,0.22916666666666666
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4520547945205479,0.0,0.3150684931506849,0.2328767123287671
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672413793103448,0.30603448275862066,0.15086206896551724,0.0,0.27586206896551724
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24817518248175183,0.18248175182481752,0.20437956204379562,0.36496350364963503
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
