,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,290.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
[1-0],0.0,0.0,0.0,93.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
[0-1],0.0,0.0,0.0,0.0,187.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,22.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,162.0,0.0,0.0,0.0,0.0,0.0,63.0
[0-2],0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,113.0,0.0,0.0,0.0,39.0,0.0,33.0
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,4.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,76.0,0.0,0.0,0.0,48.0
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,137.0,0.0,79.0,0.0,55.0
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,21.0
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,107.0,51.0,0.0,53.0
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,46.0,30.0,51.0
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
