,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.34278959810874704,0.5283687943262412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288416075650118
[1-0],0.0,0.0,0.0,0.3217993079584775,0.5086505190311419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695501730103806
[0-1],0.0,0.0,0.0,0.0,0.4192825112107623,0.4147982062780269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16591928251121077
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.23655913978494625,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.15053763440860216
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3263473053892216,0.48502994011976047,0.0,0.0,0.0,0.0,0.0,0.18862275449101795
[0-2],0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.5136363636363637,0.0,0.0,0.0,0.17727272727272728,0.0,0.15
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.22727272727272727,0.18181818181818182
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25301204819277107,0.4578313253012048,0.0,0.0,0.0,0.2891566265060241
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16358024691358025,0.0,0.4228395061728395,0.0,0.24382716049382716,0.0,0.1697530864197531
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.21818181818181817,0.38181818181818183
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24372759856630824,0.3835125448028674,0.1827956989247312,0.0,0.18996415770609318
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1962025316455696,0.2911392405063291,0.189873417721519,0.3227848101265823
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
