,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,282.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
[1-0],0.0,0.0,0.0,95.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
[0-1],0.0,0.0,0.0,0.0,138.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,29.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,125.0,0.0,0.0,0.0,0.0,0.0,68.0
[0-2],0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,91.0,0.0,0.0,0.0,42.0,0.0,23.0
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.0,0.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,59.0,0.0,0.0,0.0,27.0
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,101.0,0.0,57.0,0.0,57.0
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,11.0,12.0
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,72.0,40.0,0.0,48.0
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,39.0,30.0,32.0
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
