,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.3292894280762565,0.5511265164644714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1195840554592721
[1-0],0.0,0.0,0.0,0.3368421052631579,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632
[0-1],0.0,0.0,0.0,0.0,0.42138364779874216,0.3522012578616352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641509433962265
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.296875,0.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.25
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3080357142857143,0.4419642857142857,0.0,0.0,0.0,0.0,0.0,0.25
[0-2],0.0,0.0,0.0,0.0,0.0,0.1328125,0.0,0.0,0.4375,0.0,0.0,0.0,0.1484375,0.0,0.28125
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.21052631578947367,0.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5306122448979592,0.0,0.0,0.0,0.1836734693877551
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.40540540540540543,0.0,0.1891891891891892,0.0,0.24324324324324326
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883720930232558,0.0,0.16279069767441862,0.3488372093023256
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088607594936709,0.34177215189873417,0.13291139240506328,0.0,0.31645569620253167
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2268041237113402,0.18556701030927836,0.16494845360824742,0.422680412371134
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
