,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.35,0.517948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13205128205128205
[1-0],0.0,0.0,0.0,0.32967032967032966,0.5018315018315018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684981684981685
[0-1],0.0,0.0,0.0,0.0,0.39552238805970147,0.4552238805970149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14925373134328357
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.24719101123595505,0.550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.20224719101123595
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3344594594594595,0.4831081081081081,0.0,0.0,0.0,0.0,0.0,0.18243243243243243
[0-2],0.0,0.0,0.0,0.0,0.0,0.2077922077922078,0.0,0.0,0.4935064935064935,0.0,0.0,0.0,0.13852813852813853,0.0,0.16017316017316016
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,0.0,0.18181818181818182,0.045454545454545456
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2925170068027211,0.3945578231292517,0.0,0.0,0.0,0.3129251700680272
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16013071895424835,0.0,0.4673202614379085,0.0,0.19934640522875818,0.0,0.17320261437908496
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5932203389830508,0.0,0.23728813559322035,0.1694915254237288
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22957198443579765,0.3852140077821012,0.19844357976653695,0.0,0.1867704280155642
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3248730964467005,0.20304568527918782,0.2233502538071066,0.24873096446700507
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
