,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.3245192307692308,0.5564903846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11899038461538461
[1-0],0.0,0.0,0.0,0.26394052044609667,0.5539033457249071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1821561338289963
[0-1],0.0,0.0,0.0,0.0,0.41125541125541126,0.354978354978355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23376623376623376
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.2535211267605634,0.5492957746478874,0.0,0.0,0.0,0.0,0.0,0.0,0.19718309859154928
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3264094955489614,0.44510385756676557,0.0,0.0,0.0,0.0,0.0,0.228486646884273
[0-2],0.0,0.0,0.0,0.0,0.0,0.21634615384615385,0.0,0.0,0.4423076923076923,0.0,0.0,0.0,0.125,0.0,0.21634615384615385
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444,0.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19463087248322147,0.4899328859060403,0.0,0.0,0.0,0.31543624161073824
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22508038585209003,0.0,0.39228295819935693,0.0,0.13183279742765272,0.0,0.2508038585209003
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.2631578947368421,0.21052631578947367
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27238805970149255,0.27238805970149255,0.14925373134328357,0.0,0.30597014925373134
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2900763358778626,0.15267175572519084,0.16030534351145037,0.3969465648854962
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
