,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,247.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
[1-0],0.0,0.0,0.0,62.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
[0-1],0.0,0.0,0.0,0.0,122.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,123.0,0.0,0.0,0.0,0.0,0.0,51.0
[0-2],0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,102.0,0.0,0.0,0.0,39.0,0.0,33.0
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,57.0,0.0,0.0,0.0,28.0
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,112.0,0.0,52.0,0.0,59.0
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,8.0
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,59.0,58.0,0.0,49.0
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,21.0,29.0
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
