,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.40171990171990174,0.4742014742014742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12407862407862408
[1-0],0.0,0.0,0.0,0.363914373088685,0.4525993883792049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101
[0-1],0.0,0.0,0.0,0.0,0.35751295336787564,0.44041450777202074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20207253886010362
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.3277310924369748,0.44537815126050423,0.0,0.0,0.0,0.0,0.0,0.0,0.226890756302521
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824561403508772,0.43157894736842106,0.0,0.0,0.0,0.0,0.0,0.18596491228070175
[0-2],0.0,0.0,0.0,0.0,0.0,0.1932367149758454,0.0,0.0,0.40096618357487923,0.0,0.0,0.0,0.27053140096618356,0.0,0.13526570048309178
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3167701863354037,0.4409937888198758,0.0,0.0,0.0,0.2422360248447205
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20392156862745098,0.0,0.3411764705882353,0.0,0.2823529411764706,0.0,0.17254901960784313
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.3076923076923077,0.3076923076923077
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20408163265306123,0.3163265306122449,0.27040816326530615,0.0,0.20918367346938777
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1588785046728972,0.18691588785046728,0.22429906542056074,0.42990654205607476
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
