,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.4236526946107784,0.47904191616766467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09730538922155689
[1-0],0.0,0.0,0.0,0.3321554770318021,0.5300353356890459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13780918727915195
[0-1],0.0,0.0,0.0,0.0,0.34796238244514105,0.43573667711598746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21630094043887146
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.3191489361702128,0.48936170212765956,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2950191570881226,0.4904214559386973,0.0,0.0,0.0,0.0,0.0,0.21455938697318008
[0-2],0.0,0.0,0.0,0.0,0.0,0.2159090909090909,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.19318181818181818
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.1
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032520325203252,0.5934959349593496,0.0,0.0,0.0,0.2032520325203252
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204724409448819,0.0,0.3464566929133858,0.0,0.14566929133858267,0.0,0.2874015748031496
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5348837209302325,0.0,0.20930232558139536,0.2558139534883721
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2694063926940639,0.2922374429223744,0.2191780821917808,0.0,0.2191780821917808
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28688524590163933,0.21311475409836064,0.22131147540983606,0.2786885245901639
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
