,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.3852140077821012,0.5097276264591439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10505836575875487
[1-0],0.0,0.0,0.0,0.28619528619528617,0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19865319865319866
[0-1],0.0,0.0,0.0,0.0,0.40153452685422,0.4578005115089514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14066496163682865
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3409090909090909,0.4805194805194805,0.0,0.0,0.0,0.0,0.0,0.17857142857142858
[0-2],0.0,0.0,0.0,0.0,0.0,0.18433179723502305,0.0,0.0,0.45161290322580644,0.0,0.0,0.0,0.2119815668202765,0.0,0.15207373271889402
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.15,0.0
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22077922077922077,0.577922077922078,0.0,0.0,0.0,0.2012987012987013
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1893687707641196,0.0,0.4053156146179402,0.0,0.19601328903654486,0.0,0.20930232558139536
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6078431372549019,0.0,0.1568627450980392,0.23529411764705882
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27177700348432055,0.34146341463414637,0.1951219512195122,0.0,0.1916376306620209
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316062176165803,0.23316062176165803,0.13989637305699482,0.29533678756476683
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
