id,COL202209100
version,2
info,visteam,ARI
info,hometeam,COL
info,site,DEN02
info,date,2022/09/10
info,number,0
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wendh902
info,ump1b,whitc901
info,ump2b,laynj901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:27:03
info,howscored,unknown
info,pitches,pitches
info,oscorer,einsd701
info,temp,52
info,winddir,fromcf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,181
info,attendance,27871
info,wp,lawrj002
info,lp,bumgm001
info,save,bardd001
start,varsd001,"Daulton Varsho",0,1,9
start,thoma004,"Alek Thomas",0,2,8
start,mccaj003,"Jake McCarthy",0,3,7
start,walkc002,"Christian Walker",0,4,3
start,martk001,"Ketel Marte",0,5,10
start,rivee001,"Emmanuel Rivera",0,6,5
start,difow001,"Wilmer Difo",0,7,4
start,hummc001,"Cooper Hummel",0,8,2
start,perdg001,"Geraldo Perdomo",0,9,6
start,bumgm001,"Madison Bumgarner",0,0,1
start,gricr001,"Randal Grichuk",1,1,9
start,dazay001,"Yonathan Daza",1,2,8
start,cronc002,"C.J. Cron",1,3,10
start,rodgb002,"Brendan Rodgers",1,4,4
start,toglm001,"Michael Toglia",1,5,3
start,diaze005,"Elias Diaz",1,6,2
start,monte001,"Elehuris Montero",1,7,5
start,boucs001,"Sean Bouchard",1,8,7
start,treja001,"Alan Trejo",1,9,6
start,urenj001,"Jose Urena",1,0,1
play,1,0,varsd001,12,BSSX,53/G6S
play,1,0,thoma004,10,BX,8/F8XD
play,1,0,mccaj003,32,BBSSBB,W
play,1,0,walkc002,32,B11CS1BB>X,43/G4M
play,1,1,gricr001,00,X,3/P3F/FL
play,1,1,dazay001,12,CSBFFX,43/G4D
play,1,1,cronc002,22,CBBCX,9/L9
play,2,0,martk001,32,BBBCFFS,K
play,2,0,rivee001,01,SX,8/F8
play,2,0,difow001,11,CBX,43/G34+
play,2,1,rodgb002,30,BBBB,W
play,2,1,toglm001,22,F1CFBBC,K
play,2,1,diaze005,02,CTX,7/F78D
play,2,1,monte001,21,BF*B1X,9/F9LD
play,3,0,hummc001,12,SBFFC,K
play,3,0,perdg001,00,X,31/G34S
play,3,0,varsd001,32,SBBBFS,K
play,3,1,boucs001,21,BBCX,S7/L78D
play,3,1,treja001,12,CCFBX,9/F89D
play,3,1,gricr001,20,BBX,54(1)/FO/G56D.B-1
play,3,1,dazay001,10,*BX,7/F78XD
play,4,0,thoma004,12,SFBS,K
play,4,0,mccaj003,10,BX,S9/G3+
play,4,0,walkc002,11,CB11X,S7/G56.1-2
play,4,0,martk001,22,BCBCX,S9/G3+.2-H;1-2
play,4,0,rivee001,32,BBFBTX,54(1)3/GDP/G56
play,4,1,cronc002,11,CBX,6/F6MD
play,4,1,rodgb002,31,BCBBX,8/F89D
play,4,1,toglm001,21,CBBX,7/F7D+
play,5,0,difow001,10,BX,53/G56S
play,5,0,hummc001,12,FCBFX,S9/L9
