id,SFN202208150
version,2
info,visteam,ARI
info,hometeam,SFN
info,site,SFO03
info,date,2022/08/15
info,number,0
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,rippm901
info,ump1b,blasc901
info,ump2b,belld901
info,ump3b,cuzzp901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/10/12 09:01:05
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,69
info,winddir,tocf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,180
info,attendance,20694
info,wp,cobba001
info,lp,bumgm001
info,save,
start,varsd001,"Daulton Varsho",0,1,9
start,rivee001,"Emmanuel Rivera",0,2,5
start,rojaj001,"Josh Rojas",0,3,4
start,walkc002,"Christian Walker",0,4,3
start,mccaj003,"Jake McCarthy",0,5,7
start,kellc002,"Carson Kelly",0,6,2
start,thoma004,"Alek Thomas",0,7,8
start,beers001,"Seth Beer",0,8,10
start,alcas002,"Sergio Alcantara",0,9,6
start,bumgm001,"Madison Bumgarner",0,0,1
start,slata001,"Austin Slater",1,1,8
start,florw001,"Wilmer Flores",1,2,4
start,beltb001,"Brandon Belt",1,3,3
start,davij006,"J.D. Davis",1,4,10
start,longe001,"Evan Longoria",1,5,5
start,yastm001,"Mike Yastrzemski",1,6,9
start,estrt001,"Thairo Estrada",1,7,6
start,bartj003,"Joey Bart",1,8,2
start,gonzl005,"Luis Gonzalez",1,9,7
start,cobba001,"Alex Cobb",1,0,1
play,1,0,varsd001,02,CFFX,43/G34
play,1,0,rivee001,11,BFX,S9/L89D+
play,1,0,rojaj001,32,BFFBB1,POCS2(136)
play,1,0,rojaj001,32,BFFBB1.B,W
play,1,0,walkc002,32,BFBFFB>F>F>F>B,W.1-2
play,1,0,mccaj003,00,X,S4/G4.2-3;1-2
play,1,0,kellc002,12,CBCFC,K
play,1,1,slata001,00,X,63/G6
play,1,1,florw001,01,CX,7/F7L
play,1,1,beltb001,12,BFFS,K
play,2,0,thoma004,12,SBS*S,K
play,2,0,beers001,22,CBFBX,9/L9D+
play,2,0,alcas002,01,CX,63/G6M
play,2,1,davij006,32,CBSBBS,K
play,2,1,longe001,01,CX,5/L56
play,2,1,yastm001,10,BX,9/F9S
play,3,0,varsd001,10,BX,43/G34
play,3,0,rivee001,21,BCBX,53/G56
play,3,0,rojaj001,22,BCCBX,S7/L7
play,3,0,walkc002,00,>C,SB2
play,3,0,walkc002,32,>C.*SB*BBB,W
play,3,0,mccaj003,32,*BSBTB>C,K
play,3,1,estrt001,31,BBBCB,W
play,3,1,bartj003,00,X,S5/BG5S.1-2
play,3,1,gonzl005,22,CFBBS,K
play,3,1,slata001,12,FFBS,K
play,3,1,florw001,21,FBBX,9/F3D
play,4,0,kellc002,22,BCBFS,K
play,4,0,thoma004,00,X,7/F7LD
play,4,0,beers001,02,CFX,7/F7LSF/FL
play,4,1,beltb001,12,BFST,K
play,4,1,davij006,21,CBBX,D7/L78XD+
play,4,1,longe001,00,X,HR/F78XD.2-H
