id,BAL202205081
version,2
info,visteam,KCA
info,hometeam,BAL
info,site,BAL12
info,date,2022/05/08
info,number,1
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barbs901
info,ump1b,carav901
info,ump2b,rackd901
info,ump3b,vanol901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:37
info,howscored,unknown
info,pitches,pitches
info,oscorer,tritb701
info,temp,51
info,winddir,fromcf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,197
info,attendance,0
info,wp,clart003
info,lp,lopej004
info,save,barls001
start,olive001,"Edward Olivares",0,1,9
start,benia002,"Andrew Benintendi",0,2,7
start,peres002,"Salvador Perez",0,3,2
start,ohear001,"Ryan O'Hearn",0,4,10
start,dozih001,"Hunter Dozier",0,5,3
start,merrw001,"Whit Merrifield",0,6,4
start,wittb002,"Bobby Witt Jr.",0,7,5
start,isbek001,"Kyle Isbel",0,8,8
start,lopen001,"Nicky Lopez",0,9,6
start,greiz001,"Zack Greinke",0,0,1
start,mullc002,"Cedric Mullins",1,1,8
start,manct001,"Trey Mancini",1,2,10
start,santa003,"Anthony Santander",1,3,9
start,haysa001,"Austin Hays",1,4,7
start,mounr001,"Ryan Mountcastle",1,5,3
start,odorr001,"Rougned Odor",1,6,4
start,uriar001,"Ramon Urias",1,7,5
start,bemba001,"Anthony Bemboom",1,8,2
start,matej003,"Jorge Mateo",1,9,6
start,lylej001,"Jordan Lyles",1,0,1
play,1,0,olive001,22,BSBFS,K
play,1,0,benia002,10,BX,7/F7D
play,1,0,peres002,22,CBBSX,8/F8
play,1,1,mullc002,00,X,S9/G4
play,1,1,manct001,01,CX,S8/L8.1-2
play,1,1,santa003,32,BBCBFFFX,5/P5SF/FL
play,1,1,haysa001,10,BX,S9/F34D.2-3;1-2
play,1,1,mounr001,12,SFBX,4/P6MD
play,1,1,odorr001,01,FX,6(1)/FO/G4.B-1
play,2,0,ohear001,32,CFBFBBC,K
play,2,0,dozih001,12,CBCS,K
play,2,0,merrw001,00,X,9/F9D
play,2,1,uriar001,32,BSBFBC,K
play,2,1,bemba001,00,X,63/G4
play,2,1,matej003,00,X,S7/L78
play,2,1,mullc002,10,1B>B,SB2
play,2,1,mullc002,32,1B>B.FBFFX,DGR/F89XD.2-H
play,2,1,manct001,00,X,53/G6
play,3,0,wittb002,01,CX,6/L6
play,3,0,isbek001,00,X,D9/L9LD
play,3,0,lopen001,31,*BF*BBB,W
play,3,0,olive001,00,X,S8/G4M+.2-H;1-3
play,3,0,benia002,00,,NP
sub,taylm002,"Michael A. Taylor",0,1,12
play,3,0,benia002,00,.1X,6(1)3/GDP/G6M
play,3,1,santa003,00,,NP
sub,taylm002,"Michael A. Taylor",0,1,8
play,3,1,santa003,00,.,NP
sub,isbek001,"Kyle Isbel",0,8,9
play,3,1,santa003,12,..SSBX,8/F78XD
play,3,1,haysa001,00,X,S9/L9S+
play,3,1,mounr001,12,CF*BFFX,S9/G34.1-2
play,3,1,odorr001,21,BCBX,16(1)/FO/G1.2-3;B-1
play,3,1,uriar001,22,BBCF>F>S,K
play,4,0,peres002,10,BX,8/F8+
play,4,0,ohear001,00,X,8/L8D+
play,4,0,dozih001,00,X,S8/L8
play,4,0,merrw001,12,CCB1FS,K
play,4,1,bemba001,11,BFX,8/L8
play,4,1,matej003,12,CSBS,K
play,4,1,mullc002,01,FX,7/L78D+
play,5,0,wittb002,01,FX,S7/G56+
play,5,0,isbek001,22,1B1FB11CX,S4/G3.1-2
play,5,0,lopen001,00,X,FC3/G34.2-H(E3/TH)(NR)(UR);1-3;B-1
play,5,0,taylm002,00,X,4/P34
play,5,0,benia002,32,1BBC1BFX,7/SF/F7D.3-H(UR)
play,5,0,peres002,00,X,9/F9LS
