Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,buxtb001,32,BBCBCB,W
play,1,1,corrc001,00,X,54(1)/FO/G56S.B-1
play,1,1,arral001,22,BBCCFX,6/P56D
play,1,1,polaj001,32,CBBBC>B,W.1-2
play,1,1,urshg001,10,BX,64(1)/FO/G6.B-1
play,2,1,garlk001,12,CFBX,53/G56
play,2,1,lewir003,01,CX,7/F7
play,2,1,larnt001,11,BFX,S8/F8
play,2,1,jeffr002,32,BCB1BC>C,K
play,3,1,buxtb001,21,BBCX,S6/G6M
play,3,1,corrc001,31,BBCB1X,7/F7LS
play,3,1,arral001,11,11BCX,S7/G6.1-2
play,3,1,polaj001,31,CBBBX,7/F78
play,3,1,urshg001,00,X,HR/F7D.2-H;1-H
play,3,1,garlk001,00,X,3/P3
play,4,1,gordn001,12,CFBX,HR/F89XD
play,4,1,larnt001,32,CBBFBX,HR/F7D
play,4,1,jeffr002,01,.FX,8/F89XD+
play,4,1,buxtb001,12,CSBFX,53/G56S
play,4,1,corrc001,22,CSBBS,K
play,5,1,arral001,00,,NP
play,1,1,arral001,00,X,S8/L78D
play,1,1,corrc001,22,CC*BBX,S8/F8S.1-2
play,1,1,buxtb001,01,CX,3/P3D
play,1,1,miraj002,32,BS*BBCC,K
play,1,1,keplm001,22,*BCF*BC,K
play,2,1,urshg001,32,CBBFBX,S7/L78D
play,2,1,gordn001,11,CBX,9/F9LD+
play,2,1,celeg001,11,BCB,WP.1-2
play,2,1,celeg001,22,BCB.FFX,E5/G56S.2-3;B-1
play,2,1,leons001,00,X,13/SH/BG2-.3-H(UR);1-2
play,2,1,arral001,21,CBBX,S8/L8.2-H(UR);BX2(814)
play,3,1,corrc001,12,CBSC,K
play,3,1,buxtb001,32,BBFFBS,K
play,3,1,miraj002,22,FBBSX,S9/L89
play,3,1,keplm001,00,X,3/G3
play,4,1,urshg001,12,BFFX,3/L34
play,4,1,gordn001,11,BSX,7/L7D
play,4,1,celeg001,01,CX,HR/F7D
play,4,1,leons001,12,CBCFFC,K
play,5,1,arral001,00,X,63/G6
play,5,1,corrc001,32,CBFBBFX,53/G5
play,5,1,buxtb001,00,X,S7/L7
play,5,1,miraj002,12,FB>FX,S8/G6M+.1-3
play,5,1,keplm001,00,X,9/L9D+
play,6,1,urshg001,01,SX,S7/L7LS
play,6,1,gordn001,01,SX,31/G3.1-2
play,6,1,celeg001,12,CCBX,43/G34.2-3
play,6,1,leons001,11,BCX,7/F7LD
play,7,1,arral001,00,,NP
play,1,1,arral001,01,FX,S4/G4-
play,1,1,corrc001,32,BBCBCX,S9/L9LS.1-3
play,1,1,miraj002,22,CC*B*BX,4(1)3/GDP/G4.3-H(NR)
play,1,1,urshg001,30,BBBB,W
play,1,1,gordn001,32,BB.S*BF>X,S9/L9.1-3
play,1,1,sancg002,10,BX,D7/L7D+.3-H;1-H
play,1,1,celeg001,32,CBCFBFBB,W
play,1,1,cavej001,01,.FX,S1/G3S.2-3;1-2
play,1,1,leons001,22,CFBBX,13/G4MS
play,2,1,garlk001,32,CCBFBBS,K
play,2,1,corrc001,32,CTBBBX,4/P34D
play,2,1,miraj002,00,X,7/F7S
play,3,1,urshg001,00,X,3/P3F/FL
play,3,1,gordn001,01,CX,31/G3
play,3,1,sancg002,01,CX,53/G56
play,4,1,celeg001,00,X,53/G5
play,4,1,cavej001,12,CCBX,63/G4
play,4,1,leons001,32,CBBFFFFBFB,W
play,4,1,garlk001,32,SBCF*BB>X,8/L8D
play,5,1,corrc001,00,,NP
