id,HOU202207050
version,2
info,visteam,KCA
info,hometeam,HOU
info,site,HOU03
info,date,2022/07/05
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,blakr901
info,ump1b,millb903
info,ump2b,hudsm901
info,ump3b,johna901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:46
info,howscored,unknown
info,pitches,pitches
info,oscorer,blour701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,184
info,attendance,28762
info,wp,garcl007
info,lp,greiz001
info,save,montr004
start,merrw001,"Whit Merrifield",0,1,4
start,benia002,"Andrew Benintendi",0,2,7
start,wittb002,"Bobby Witt Jr.",0,3,6
start,pasqv001,"Vinnie Pasquantino",0,4,3
start,dozih001,"Hunter Dozier",0,5,10
start,melem001,"MJ Melendez",0,6,2
start,isbek001,"Kyle Isbel",0,7,9
start,taylm002,"Michael A. Taylor",0,8,8
start,lopen001,"Nicky Lopez",0,9,5
start,greiz001,"Zack Greinke",0,0,1
start,altuj001,"Jose Altuve",1,1,4
start,penaj004,"Jeremy Pena",1,2,6
start,alvay001,"Yordan Alvarez",1,3,7
start,brega001,"Alex Bregman",1,4,5
start,tuckk001,"Kyle Tucker",1,5,9
start,gurry001,"Yuli Gurriel",1,6,10
start,diaza003,"Aledmys Diaz",1,7,3
start,meyej002,"Jake Meyers",1,8,8
start,maldm001,"Martin Maldonado",1,9,2
start,garcl007,"Luis Garcia",1,0,1
play,1,0,merrw001,00,X,S8/L8S
play,1,0,benia002,01,CB,WP.1-2
play,1,0,benia002,22,CB.F*BS,K
play,1,0,wittb002,22,BCSBX,S9/L9.2-H;B-2
play,1,0,pasqv001,11,*BCX,31/G34.2-3
play,1,0,dozih001,22,*ST*B*BS,K
play,1,1,altuj001,31,BCBBB,W
play,1,1,penaj004,01,FX,54(1)/FO/G56S.B-1
play,1,1,alvay001,02,CF>B,CS2(26)
play,1,1,alvay001,22,CF>B.BFS,K
play,2,0,melem001,21,BBCX,HR/F78D
play,2,0,isbek001,10,BX,9/F89XD
play,2,0,taylm002,30,BBBB,W
play,2,0,lopen001,02,CFF1X,6(1)3/GDP/G6
play,2,1,brega001,10,BX,D7/L78XD+
play,2,1,tuckk001,22,BCBFX,S8/F8S.2-3
play,2,1,gurry001,01,F>X,63/G6.3-H;1-2
play,2,1,diaza003,11,CBX,S8/L8D.2-3
play,2,1,meyej002,11,*BSX,8/SF/F89XD+.3-H;1-2
play,2,1,maldm001,12,CBSS,K
play,3,0,merrw001,00,X,63/G6MD
play,3,0,benia002,00,X,S8/L8
play,3,0,wittb002,12,BFT1X,HR/F78XD.1-H
play,3,0,pasqv001,00,X,3/G3D
play,3,0,dozih001,00,X,3/P3SF/FL
play,3,1,altuj001,11,TBX,4/F4MD
play,3,1,penaj004,11,CBX,9/F9S
play,3,1,alvay001,11,FBX,43/G34D
play,4,0,melem001,01,CX,8/L8D
play,4,0,isbek001,12,BSFS,K
play,4,0,taylm002,01,CX,3/P4
play,4,1,brega001,11,SBX,S8/L8D
play,4,1,tuckk001,21,BBCX,6/L4MD+/DP.1X1(63)
play,4,1,gurry001,12,BCFX,S8/L89D+
play,4,1,diaza003,01,SX,D7/F7LS.1-3
play,4,1,meyej002,20,*BBX,S7/L78+.3-H;2-3
play,4,1,maldm001,32,CBCBB>B,W.1-2
play,4,1,altuj001,12,*BCFX,5(2)/FO/G56.B-1
play,5,0,lopen001,12,FFBX,13/G4MS
play,5,0,merrw001,12,BCCS,K
play,5,0,benia002,32,BBFBFS,K
play,5,1,penaj004,00,X,HR/L8D
play,5,1,alvay001,22,CBBCX,S9/L89D+
play,5,1,brega001,00,X,HR/F7D.1-H
play,5,1,tuckk001,00,X,8/F8D
play,5,1,gurry001,12,BSFX,8/L8D
play,5,1,diaza003,00,X,9/F9
play,6,0,wittb002,01,CX,3/P34
play,6,0,pasqv001,12,CBFFX,63/G34
play,6,0,dozih001,02,CSX,S9/F89S
play,6,0,melem001,22,B*BFCS,K
play,6,1,meyej002,00,,NP
