id,TBA202208210
version,2
info,visteam,KCA
info,hometeam,TBA
info,site,STP01
info,date,2022/08/21
info,number,0
info,starttime,1:40PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,may-b901
info,ump1b,iassd901
info,ump2b,becka901
info,ump3b,libkj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:39
info,howscored,unknown
info,pitches,pitches
info,oscorer,mathb701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,179
info,attendance,12940
info,wp,armss001
info,lp,cuasj001
info,save,fairp001
start,melem001,"MJ Melendez",0,1,7
start,wittb002,"Bobby Witt Jr.",0,2,5
start,peres002,"Salvador Perez",0,3,2
start,pasqv001,"Vinnie Pasquantino",0,4,10
start,massm001,"Michael Massey",0,5,4
start,dozih001,"Hunter Dozier",0,6,9
start,pratn001,"Nick Pratto",0,7,3
start,isbek001,"Kyle Isbel",0,8,8
start,lopen001,"Nicky Lopez",0,9,6
start,greiz001,"Zack Greinke",0,0,1
start,loweb001,"Brandon Lowe",1,1,4
start,margm001,"Manuel Margot",1,2,10
start,arozr001,"Randy Arozarena",1,3,9
start,ramih004,"Harold Ramirez",1,4,3
start,perad001,"David Peralta",1,5,7
start,parei001,"Isaac Paredes",1,6,5
start,chany001,"Yu Chang",1,7,6
start,bethc001,"Christian Bethancourt",1,8,2
start,sirij001,"Jose Siri",1,9,8
start,yarbr001,"Ryan Yarbrough",1,0,1
play,1,0,melem001,02,FCS,K
play,1,0,wittb002,12,CCBX,D7/L78XD+
play,1,0,peres002,12,CBSFT,K
play,1,0,pasqv001,00,X,6/P4M
play,1,1,loweb001,02,CSX,63/G4MS
play,1,1,margm001,22,BBCFX,7/F78
play,1,1,arozr001,00,X,S8/L8
play,1,1,ramih004,01,C>B,SB2
play,1,1,ramih004,32,C>B.*BBCX,S9/G3.2-H
play,1,1,perad001,22,BBCFFFX,3/G34S
play,2,0,massm001,12,CBSS,K
play,2,0,dozih001,00,X,4/L4D
play,2,0,pratn001,02,CCFC,K
play,2,1,parei001,32,BBFCFBX,8/L89XD
play,2,1,chany001,21,CBBX,43/G4MD
play,2,1,bethc001,01,SX,HR/L78XD
play,2,1,sirij001,20,BBX,D7/L7LD+
play,2,1,loweb001,32,BBCBCFFB,W
play,2,1,margm001,10,BX,4/P4
play,3,0,isbek001,12,CBSX,3/G34
play,3,0,lopen001,22,CCBBX,53/G1S-
play,3,0,melem001,10,BX,D8/L89D+
play,3,0,wittb002,22,BBCCFFH,HP
play,3,0,peres002,01,SX,64(1)/FO/G6.B-1
play,3,1,arozr001,00,X,3/P3F/FL
play,3,1,ramih004,12,CCBX,S6/G56
play,3,1,perad001,10,BX,46(1)/FO/G34.B-1
play,3,1,parei001,02,CFC,K
play,4,0,pasqv001,12,CSBT,K
play,4,0,massm001,22,BFSFBX,E4/G34.B-1
play,4,0,dozih001,01,1FX,54(1)3/GDP/G56
play,4,1,chany001,00,X,3/P3
play,4,1,bethc001,02,SSS,K
play,4,1,sirij001,32,CSBBBX,9/F9
play,5,0,pratn001,11,CBX,63/G6
play,5,0,isbek001,32,FBBFBB,W
play,5,0,lopen001,32,BF11FF1B+1>F1>FFFFFBX,FC4/G34.1-2(E4/TH);B-1
play,5,0,melem001,32,SBBBSX,S39/L34D.2-H(UR);1-3
play,5,0,wittb002,00,,NP
sub,armss001,"Shawn Armstrong",1,0,1
play,5,0,wittb002,02,.CFX,9/SF/F9LS.3-H(UR);1-2
play,5,0,peres002,12,FBTX,4/L6MD
play,5,1,loweb001,00,,NP
