Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,wongk001,12,CFBH,HP
play,1,1,adamw002,12,C1B1FX,9/F9D
play,1,1,yelic001,11,CB>B,SB2
play,1,1,yelic001,32,CB>B.FBB,W
play,1,1,mccua001,12,BFSX,64(1)3/GDP/G6S
play,2,1,tellr001,11,BCX,D8/F89XD+
play,2,1,renfh001,22,CBFBFX,6/P6
play,2,1,narvo001,20,BBX,31/G34.2-3
play,2,1,cainl001,00,X,S6/G6M.3-H
play,2,1,petej002,01,CX,HR/F89XD.1-H
play,2,1,wongk001,12,CBFFFX,D9/L9LS
play,2,1,adamw002,00,X,3/P3SF/FL
play,3,1,yelic001,31,BBCBX,8/F8XD+
play,3,1,mccua001,32,BSBCBFX,HR/F78XD
play,3,1,tellr001,10,BX,6/P4
play,3,1,renfh001,22,CBSBS,K
play,4,1,narvo001,22,BFSBX,7/F7LF/FL
play,4,1,cainl001,31,CBBBB,W
play,4,1,petej002,22,B1BC1CS,K
play,4,1,wongk001,00,1X,5/P56S
play,5,1,adamw002,22,CBSBX,D8/L8D+
play,5,1,yelic001,00,X,HR/F89XD.2-H
play,5,1,mccua001,21,BBCX,9/F9D
play,5,1,tellr001,00,,NP
play,1,1,yelic001,32,BBCCFFBB,W
play,1,1,adamw002,12,BSS1FS,K
play,1,1,tellr001,01,C>B,SB2.1-3(E2/TH)
play,1,1,tellr001,32,C>B.BFBFFX,HR/F9D.3-H
play,1,1,mccua001,10,BX,63/G6
play,1,1,wongk001,22,CBFFBS,K
play,2,1,urial001,12,CBFS,K
play,2,1,petej002,32,BBBCSFX,S7/L78S
play,2,1,carav001,12,1BC>F1F>X,7/F7LD
play,2,1,davij007,30,B1BB>C,SB2
play,2,1,davij007,32,B1BB>C.SB,W
play,2,1,yelic001,11,SBX,9/F89D
play,3,1,adamw002,32,BFBCFBX,6/L6D
play,3,1,tellr001,21,BBCX,53/G2+
play,3,1,mccua001,12,CSBC,K
play,4,1,wongk001,00,,NP
