Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,edmat001,00,X,8/F8XD
play,1,1,gormn001,11,BFX,5/P5
play,1,1,goldp001,11,BCX,53/G56S
play,2,1,arenn001,01,CX,9/L9D+
play,2,1,donob001,21,BSBX,13/G1-
play,2,1,yepej001,32,BBBCCX,S7/F78.BX2(76)
play,3,1,carld002,22,CBBCT,K
play,3,1,badeh001,22,CBCFBX,63/G6
play,3,1,kniza001,11,CBX,7/F78XD
play,4,1,edmat001,10,BX,31/G34-
play,4,1,gormn001,00,X,9/F9D
play,4,1,goldp001,30,BBBB,W
play,4,1,arenn001,22,*BSFF*B1FX,8/F8D
play,5,1,donob001,32,BCBFBC,K
play,5,1,yepej001,01,FX,3/G3S-
play,5,1,carld002,02,CSS,K
play,6,1,badeh001,00,X,7/F78XD
play,6,1,kniza001,01,CX,63/G6
play,6,1,edmat001,20,BBX,S9/L9S+
play,6,1,gormn001,12,FBLS,K
play,7,1,goldp001,22,FBBTX,7/F7D
play,7,1,arenn001,02,FF*S,K
play,7,1,donob001,10,BX,S7/L7
play,7,1,yepej001,10,BX,9/F89S
play,8,1,carld002,21,CBBX,S8/L8D+
play,8,1,badeh001,10,BX,D7/L7D+.1-3
play,8,1,kniza001,00,,NP
play,8,1,nootl001,22,.BSS*BS,K
play,8,1,edmat001,00,,NP
