Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,nolaa002,12,CBFH,HP
play,1,1,cronj001,21,FBBX,S39/G34+.1-3
play,1,1,machm001,10,BX,9/F9S
play,1,1,profj001,11,*BFX,54(1)3/GDP/G56
play,2,1,hosme001,32,FBBBCX,43/G34
play,2,1,myerw001,22,BCBSS,K
play,2,1,alfaj002,22,BFCFBC,K
play,3,1,grist001,31,LBBBX,2/P2F/FL
play,3,1,kim-h002,22,CBBCFFX,53/G5D
play,3,1,nolaa002,11,BFX,9/F9D
play,4,1,cronj001,12,CSBX,3/G3
play,4,1,machm001,00,X,S8/L8S
play,4,1,profj001,32,BBBC1F1F>X,6/P56D
play,4,1,hosme001,00,X,S68/G6M+.1-3
play,4,1,myerw001,01,CX,S9/F9L.3-H;1-3
play,4,1,alfaj002,12,BFC1FFS,K
play,5,1,grist001,22,CCBBX,3/G3
play,5,1,kim-h002,01,CX,63/G6
play,5,1,nolaa002,01,FX,53/G56
play,6,1,cronj001,00,,NP
