id,CHN202205071
version,2
info,visteam,LAN
info,hometeam,CHN
info,site,CHI11
info,date,2022/05/07
info,number,1
info,starttime,12:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,fairc901
info,ump1b,macka901
info,ump2b,diazl901
info,ump3b,sches901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,53
info,winddir,fromcf
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,37594
info,wp,kersc001
info,lp,smyld001
info,save,
start,bettm001,"Mookie Betts",0,1,9
start,freef001,"Freddie Freeman",0,2,3
start,turnt001,"Trea Turner",0,3,6
start,turnj001,"Justin Turner",0,4,5
start,muncm001,"Max Muncy",0,5,10
start,taylc001,"Chris Taylor",0,6,7
start,bellc002,"Cody Bellinger",0,7,8
start,barna001,"Austin Barnes",0,8,2
start,lux-g001,"Gavin Lux",0,9,4
start,kersc001,"Clayton Kershaw",0,0,1
start,contw001,"Willson Contreras",1,1,2
start,suzus001,"Seiya Suzuki",1,2,9
start,gomey001,"Yan Gomes",1,3,10
start,wisdp001,"Patrick Wisdom",1,4,7
start,schwf001,"Frank Schwindel",1,5,3
start,hoern001,"Nico Hoerner",1,6,6
start,villj001,"Jonathan Villar",1,7,5
start,hermm001,"Michael Hermosillo",1,8,8
start,madrn001,"Nick Madrigal",1,9,4
start,smyld001,"Drew Smyly",1,0,1
play,1,0,bettm001,32,BBCBCFFB,W
play,1,0,freef001,32,BBFBC1X,D8/L8.1-H(E8/TH)(NR)(UR);B-3
play,1,0,turnt001,32,BBCCFBFS,K
play,1,0,turnj001,02,CFX,13/G1S-
play,1,0,muncm001,32,CBBC*BFB,W
play,1,0,taylc001,32,*BCBBC>S,K
play,1,1,contw001,02,SCFFX,8/F8D
play,1,1,suzus001,32,CBBFBB,W
play,1,1,gomey001,10,BX,8/L89D
play,1,1,wisdp001,00,1,POCS2(134)
play,2,0,bellc002,00,X,63/G34D
play,2,0,barna001,01,CX,3/G34+
play,2,0,lux-g001,22,CCFBBX,8/F8D
play,2,1,wisdp001,11,CBX,5/L5
play,2,1,schwf001,01,FX,8/L8XD+
play,2,1,hoern001,00,X,S6/G6S.BX2(34)
play,3,0,bettm001,22,CBBFX,S9/L9S
play,3,0,freef001,32,*BSB1BCS,K
play,3,0,turnt001,11,BFX,S7/G6+.1-2
play,3,0,turnj001,02,CC*S,K
play,3,0,muncm001,00,X,8/L8D
play,3,1,villj001,22,LBBSS,K
play,3,1,hermm001,10,BX,7/L7D+
play,3,1,madrn001,12,CBFX,53/G56
play,4,0,taylc001,32,FCBBBFFX,S9/L9S
play,4,0,bellc002,11,BFX,64(1)3/GDP/G3
play,4,0,barna001,22,CBBSFX,HR/F78XD
play,4,0,lux-g001,20,BBX,7/L78D
play,4,1,contw001,12,BFFFFFC,K
play,4,1,suzus001,02,FCX,S7/L78+
play,4,1,gomey001,12,CSBX,46(1)3/GDP/G34D
play,5,0,bettm001,22,CFBBX,53/G5
play,5,0,freef001,21,FBBX,D9/L9LD+
play,5,0,turnt001,00,,NP
sub,gselr001,"Robert Gsellman",1,0,1
play,5,0,turnt001,32,.BBBCFB,W
play,5,0,turnj001,10,BX,D7/F7LD+.2-H;1-H
play,5,0,muncm001,11,CBX,7/F78
play,5,0,taylc001,22,BSSBS,K
play,5,1,wisdp001,21,SBBX,6/L56
play,5,1,schwf001,01,CX,63/G6
play,5,1,hoern001,10,BX,S8/G4M+
play,5,1,villj001,02,FFX,13/G1S-
play,6,0,bellc002,21,BCBX,9/F9L
play,6,0,barna001,11,CBX,63/G6
play,6,0,lux-g001,00,X,43/G4
play,6,1,hermm001,31,BBSBX,53/G5
play,6,1,madrn001,22,FBBFX,53/G6
play,6,1,contw001,00,X,9/F4D
play,7,0,bettm001,22,BCBCX,43/G4MD+
play,7,0,freef001,21,FBBX,D8/F89XD+
play,7,0,turnt001,21,BSBX,S8/G6M.2-H
play,7,0,turnj001,20,11BBX,54(1)3/GDP/G56
play,7,1,suzus001,01,CX,9/L9L
play,7,1,gomey001,01,CX,S57/G5
play,7,1,wisdp001,22,SS*BFBFX,8/F8XD
play,7,1,schwf001,11,B1FX,S39/G34.1-3
play,7,1,hoern001,00,X,53/G5S
play,8,0,muncm001,00,X,5/P6D
play,8,0,taylc001,32,CBBSBFB,W
play,8,0,bellc002,20,B+1BX,D7/F7D.1-3
play,8,0,barna001,00,X,S7/L78+.3-H;2-H
play,8,0,lux-g001,02,CTS,K
play,8,0,bettm001,00,X,53/G5
play,8,1,villj001,00,,NP
