id,SDN202204240
version,2
info,visteam,LAN
info,hometeam,SDN
info,site,SAN02
info,date,2022/04/24
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,riggj901
info,ump1b,conrc901
info,ump2b,kulpr901
info,ump3b,fostm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,zaveb701
info,temp,77
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,182
info,attendance,44930
info,wp,kersc001
info,lp,manas001
info,save,
start,bettm001,"Mookie Betts",0,1,9
start,freef001,"Freddie Freeman",0,2,3
start,turnt001,"Trea Turner",0,3,6
start,turnj001,"Justin Turner",0,4,10
start,muncm001,"Max Muncy",0,5,5
start,taylc001,"Chris Taylor",0,6,7
start,bellc002,"Cody Bellinger",0,7,8
start,albeh001,"Hanser Alberto",0,8,4
start,barna001,"Austin Barnes",0,9,2
start,kersc001,"Clayton Kershaw",0,0,1
start,nolaa002,"Austin Nola",1,1,10
start,cronj001,"Jake Cronenworth",1,2,4
start,machm001,"Manny Machado",1,3,5
start,profj001,"Jurickson Profar",1,4,7
start,hosme001,"Eric Hosmer",1,5,3
start,myerw001,"Wil Myers",1,6,9
start,alfaj002,"Jorge Alfaro",1,7,2
start,grist001,"Trent Grisham",1,8,8
start,kim-h002,"Ha-Seong Kim",1,9,6
start,manas001,"Sean Manaea",1,0,1
play,1,0,bettm001,00,X,S9/F89S
play,1,0,freef001,21,*BBFX,FC5/G6.1X2(5E6);B-1
play,1,0,turnt001,01,FX,9/F9LS.2-3
play,1,0,turnj001,00,X,8/SF/F89XD+.3-H(UR)
play,1,0,muncm001,12,CBFC,K
play,1,1,nolaa002,12,CBFH,HP
play,1,1,cronj001,21,FBBX,S39/G34+.1-3
play,1,1,machm001,10,BX,9/F9S
play,1,1,profj001,11,*BFX,54(1)3/GDP/G56
play,2,0,taylc001,32,CBSBBS,K
play,2,0,bellc002,22,FSBFFBS,K
play,2,0,albeh001,11,FBX,43/G4MD
play,2,1,hosme001,32,FBBBCX,43/G34
play,2,1,myerw001,22,BCBSS,K
play,2,1,alfaj002,22,BFCFBC,K
play,3,0,barna001,11,BCX,63/G6
play,3,0,bettm001,30,BBBB,W
play,3,0,freef001,20,BBX,HR/F9D.1-H
play,3,0,turnt001,20,BBX,53/G5
play,3,0,turnj001,22,BSBFFFFFFFS,K
play,3,1,grist001,31,LBBBX,2/P2F/FL
play,3,1,kim-h002,22,CBBCFFX,53/G5D
play,3,1,nolaa002,11,BFX,9/F9D
play,4,0,muncm001,00,X,8/F8XD
play,4,0,taylc001,02,CFS,K
play,4,0,bellc002,10,BX,HR/F8XD
play,4,0,albeh001,20,BBX,S7/L7S
play,4,0,barna001,30,B*BBB,W.1-2
play,4,0,bettm001,02,CFFX,9/F9L
play,4,1,cronj001,12,CSBX,3/G3
play,4,1,machm001,00,X,S8/L8S
play,4,1,profj001,32,BBBC1F1F>X,6/P56D
play,4,1,hosme001,00,X,S68/G6M+.1-3
play,4,1,myerw001,01,CX,S9/F9L.3-H;1-3
play,4,1,alfaj002,12,BFC1FFS,K
play,5,0,freef001,11,BFX,8/F78S
play,5,0,turnt001,22,SSBBX,S8/L8S
play,5,0,turnj001,01,FX,S9/L9S.1-2
play,5,0,muncm001,32,CCBBFBB,W.2-3;1-2
play,5,0,taylc001,00,,NP
sub,lamed001,"Dinelson Lamet",1,0,1
play,5,0,taylc001,00,.X,9/SF/F9L.3-H;2-3
play,5,0,bellc002,12,CFFBX,HR/F8XD.3-H;1-H
play,5,0,albeh001,02,SFT,K
play,5,1,grist001,22,CCBBX,3/G3
play,5,1,kim-h002,01,CX,63/G6
play,5,1,nolaa002,01,FX,53/G56
play,6,0,barna001,00,,NP
sub,avilp001,"Pedro Avila",1,0,1
play,6,0,barna001,11,.CBH,HP
play,6,0,bettm001,32,BBF*BF>B,W.1-2
play,6,0,freef001,00,X,8/L8XD+.2-3
play,6,0,turnt001,12,CSBX,FC4/G4.3-H;1-2(E4);B-1
play,6,0,turnj001,10,BX,S7/G6.2-3;1-2
play,6,0,muncm001,12,CBCX,31/G34.3-H(UR);2-3;1-2
play,6,0,taylc001,22,CCBBS,K
play,6,1,cronj001,00,,NP
