Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,mullc002,10,BX,43/G34
play,1,0,mounr001,12,CFBFX,5/L5
play,1,0,santa003,02,CSFX,53/G34
play,2,0,manct001,31,BBFBB,W
play,2,0,odorr001,00,X,5(1)3/GDP/G6M
play,2,0,uriar001,12,CBFFS,K
play,3,0,haysa001,02,CCX,8/F8D
play,3,0,bemba001,32,CBSBBS,K
play,3,0,matej003,00,X,63/G6
play,4,0,mullc002,21,BBCX,53/G6S
play,4,0,mounr001,21,BSBX,8/L8D
play,4,0,santa003,22,BCFBFFS,K
play,5,0,manct001,12,SBFFS,K
play,5,0,odorr001,32,BCBFBFB,W
play,5,0,uriar001,02,FFS,K
play,5,0,haysa001,32,1BBSS*B>F>X,D98/L89D+.1-H
play,5,0,bemba001,10,*BX,43/G4
play,6,0,matej003,10,BX,D8/L8XD
play,6,0,mullc002,00,X,13/G34S.2-3
play,6,0,mounr001,32,*BFSF*BF*BX,FC/G3S.3XH(32);B-1
play,6,0,santa003,00,X,2/P5F/FL
play,7,0,manct001,00,,NP
play,1,0,millb002,00,X,8/F89S
play,1,0,semim001,22,CBSBS,K
play,1,0,seagc001,32,BFFBBFFS,K
play,2,0,garvm001,01,CX,7/F78
play,2,0,lowen001,12,CFBFT,K
play,2,0,calhk001,12,SFBS,K
play,3,0,garca005,01,CX,E6/TH/G6.B-1
play,3,0,calhw001,21,CB1BX,46(1)3/GDP/G34
play,3,0,ibana001,12,SSBFC,K
play,4,0,millb002,22,CBSBX,8/F89S
play,4,0,semim001,32,FBCBBS,K
play,4,0,seagc001,32,BFTBBB,W
play,4,0,garvm001,12,FCBX,6/F7LS
play,5,0,lowen001,22,CBBFX,7/F7
play,5,0,calhk001,11,BSX,S7/L78
play,5,0,garca005,00,H,HP.1-2
play,5,0,calhw001,12,CFBX,46(1)/FO/G34/DP.2XH(635);B-1
play,6,0,ibana001,22,BBSSS,K
play,6,0,millb002,00,X,9/F9D+
play,6,0,semim001,11,BFX,8/F8D
play,7,0,seagc001,00,X,43/G34
play,7,0,garvm001,22,CBBFT,K
play,7,0,lowen001,00,X,3/G3
play,8,0,calhk001,11,BCX,43/G34D
play,8,0,garca005,00,X,S9/G4
play,8,0,calhw001,32,11CBBF1B>X,S9/G34.1-3
play,8,0,ibana001,00,,NP
play,8,0,heimj001,00,.,NP
play,1,0,stram002,22,CCBBFC,K.BX1(23)
play,1,0,millo002,22,CBSBC,K
