id,CLE202206110
version,2
info,visteam,OAK
info,hometeam,CLE
info,site,CLE08
info,date,2022/06/11
info,number,0
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,rehaj901
info,ump1b,emmep901
info,ump2b,becka901
info,ump3b,drecb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/27 09:03:18
info,howscored,unknown
info,pitches,pitches
info,oscorer,maveb701
info,temp,71
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,188
info,attendance,22674
info,wp,montf001
info,lp,morge001
info,save,
start,kempt001,"Tony Kemp",0,1,4
start,laurr001,"Ramon Laureano",0,2,9
start,bethc001,"Christian Bethancourt",0,3,3
start,brows003,"Seth Brown",0,4,7
start,murps001,"Sean Murphy",0,5,2
start,andre001,"Elvis Andrus",0,6,6
start,vogts001,"Stephen Vogt",0,7,10
start,davim005,"Matt Davidson",0,8,5
start,pachc001,"Cristian Pache",0,9,8
start,montf001,"Frankie Montas",0,0,1
start,kwans001,"Steven Kwan",1,1,8
start,rosaa003,"Amed Rosario",1,2,6
start,ramij003,"Jose Ramirez",1,3,5
start,naylj001,"Josh Naylor",1,4,3
start,gonzo001,"Oscar Gonzalez",1,5,9
start,gimea001,"Andres Gimenez",1,6,4
start,millo002,"Owen Miller",1,7,10
start,palar002,"Richie Palacios",1,8,7
start,maill001,"Luke Maile",1,9,2
start,plesz001,"Zach Plesac",1,0,1
play,1,0,kempt001,22,BCFBFX,D8/L78D
play,1,0,laurr001,00,X,63/G6
play,1,0,bethc001,12,SSBB,WP.2-3
play,1,0,bethc001,22,SSBB.FFX,S7/L7LD+.3-H
play,1,0,brows003,22,FBBCX,4/P34
play,1,0,murps001,00,X,8/F89XD+
play,1,1,kwans001,20,BBX,31/G34
play,1,1,rosaa003,12,BCSFX,9/F9LF/FL
play,1,1,ramij003,02,CFS,K
play,2,0,andre001,11,BFX,4/P89S
play,2,0,vogts001,02,CFX,S9/L9S
play,2,0,davim005,01,SX,8/F8D+
play,2,0,pachc001,12,SBSS,K
play,2,1,naylj001,31,BBBCX,43/G34
play,2,1,gonzo001,11,BCX,53/G56
play,2,1,gimea001,00,X,S8/G6M
play,2,1,millo002,00,>B,CS2(24)
play,3,0,kempt001,10,BX,53/G6S-
play,3,0,laurr001,02,CFX,13/G13
play,3,0,bethc001,12,BFSS,K
play,3,1,millo002,00,X,53/G5
play,3,1,palar002,00,X,23/G2-
play,3,1,maill001,12,CCBS,K
play,4,0,brows003,02,LFFX,63/G4M
play,4,0,murps001,11,FBX,63/G6
play,4,0,andre001,22,FCBBX,D7/L7L
play,4,0,vogts001,01,CH,HP
play,4,0,davim005,01,CX,S9/L9S.2-H;1-3
play,4,0,pachc001,32,FFBBB>X,13/G1S-
play,4,1,kwans001,12,BCCX,43/G34
play,4,1,rosaa003,02,CFX,S7/L78
play,4,1,ramij003,00,X,D49/G3.1-H(E9/TH)(NR);B-3
play,4,1,naylj001,12,FFBX,FC3/G34.3-H;B-1
play,4,1,gonzo001,12,.BCSX,S7/L78+.1-2
play,4,1,gimea001,30,BBBB,W.2-3;1-2
play,4,1,millo002,00,X,8/SF/F89XD+.3-H;2-3
play,4,1,palar002,11,1*BF1X,S5/BG56S.3-H;1-2
play,4,1,maill001,00,X,13/G13
play,5,0,kempt001,22,CCBBX,S7/L7L
play,5,0,laurr001,21,1BSBX,64(1)3/GDP/G6
play,5,0,bethc001,00,X,53/G56
play,5,1,kwans001,32,BCFBBX,S9/G34
play,5,1,rosaa003,11,BF1X,64(1)/FO/G6.B-1
play,5,1,ramij003,32,BBSF1B>F>F1X,9/F9LS
play,5,1,naylj001,31,BCB1BX,5/P5D
play,6,0,brows003,11,CBX,8/L8D
play,6,0,murps001,00,X,53/G5
play,6,0,andre001,22,CBFBX,43/G34
play,6,1,gonzo001,12,BTTX,D9/L9LD+
play,6,1,gimea001,01,LX,43/G4.2-3
play,6,1,millo002,32,BTCBBFX,D7/L7LS.3-H
play,6,1,palar002,21,CBBX,4/L4D/DP.2X2(46)
play,7,0,vogts001,00,,NP
sub,kwans001,"Steven Kwan",1,1,7
play,7,0,vogts001,00,.,NP
sub,stram002,"Myles Straw",1,8,8
play,7,0,vogts001,10,..BX,S8/L89S
play,7,0,davim005,12,BCCX,S8/F89XD+.1-3
play,7,0,pachc001,00,.,NP
sub,morge001,"Eli Morgan",1,0,1
play,7,0,pachc001,12,..CBSS,K
play,7,0,kempt001,12,CBFFFFX,FC3/G3S.3-H;1-2(E3/TH);B-1
play,7,0,laurr001,22,.BB2SFS,K
play,7,0,bethc001,00,X,S5/G6.2-3;1-2
play,7,0,brows003,32,.SBBTB>X,HR/F9D.3-H(UR);2-H(UR);1-H(UR);B-H(UR)
play,7,0,murps001,00,.,NP
sub,deloe001,"Enyel De Los Santos",1,0,1
play,7,0,murps001,30,..BBBB,W
play,7,0,andre001,02,CST,K
com,"ej,laurr001,P,emmep901,Balk non-call"
com,"$Athletics right fielder Ramon Laureano ejected by 1B umpire Paul Emmel"
com,"for arguing a balk should have been called for quick pitch on strike three to Andrus"
play,7,1,maill001,00,.,NP
sub,barrl001,"Luis Barrera",0,2,9
play,7,1,maill001,00,..,NP
