Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,duraj001,32,BBBCCX,T9/F8+
play,1,1,dever001,22,SBFBFH,HP
play,1,1,martj006,01,CX,64(1)3/GDP/G6M+.3-H(NR)
play,1,1,bogax001,22,CBCBC,K
play,2,1,verda001,22,BBCF*S,K
play,2,1,stort001,02,CSC,K
play,2,1,cordf003,22,BFBS*S,K
play,3,1,vazqc001,11,BCX,9/F9D
play,3,1,bradj001,22,BFFBS,K
play,3,1,duraj001,32,CBFBB*B,W
play,3,1,dever001,10,1B1>X,7/L7+
play,4,1,martj006,11,FBX,S8/L89D
play,4,1,bogax001,22,BBCFX,D8/L89XD+.1-3
play,4,1,verda001,11,BTX,13/G1S-
play,4,1,stort001,02,FSX,S9/G34+.3-H;2-H
play,4,1,cordf003,10,BX,64(1)/FO/G6+.B-1
play,4,1,vazqc001,02,1S>F>X,4(1)/FO/G4M.B-1
play,5,1,bradj001,11,BCX,6/L4MD
play,5,1,duraj001,32,CBTBBFX,6/P6D
play,5,1,dever001,01,FX,S9/L89D
play,5,1,martj006,00,>B,SB2
play,5,1,martj006,10,>B.X,53/G56
play,6,1,bogax001,00,X,S7/L78D+
play,6,1,verda001,02,1CFX,35(1)3/GDP/G3
play,6,1,stort001,20,BBX,9/L9+
play,7,1,cordf003,31,BBCBX,D7/F7LS
play,7,1,vazqc001,11,BCX,43/G4.2-3
play,7,1,bradj001,00,,NP
