Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,sancj003,02,FC*S,K.BX1(23)
play,1,1,coopg002,30,BBBB,W
play,1,1,aguij001,32,CBBBFB,W.1-2
play,1,1,wendj002,00,X,4/F4MD
play,1,1,garca003,00,X,53/G5
play,2,1,andeb006,32,CFBFBBFT,K
play,2,1,chisj001,22,FBBCX,3/L3
play,2,1,stalj001,02,CFX,S8/L8
play,2,1,rojam002,00,X,43/G34
play,3,1,sancj003,22,CBCB*S,K
play,3,1,coopg002,02,CFS,K
play,3,1,aguij001,10,BX,3/P3F/FL
play,4,1,wendj002,22,CFBBFX,S7/L78S
play,4,1,garca003,02,CSS,K
play,4,1,andeb006,10,BX,3/G3S-.1-2
play,4,1,chisj001,22,BBCFX,31/G34
play,5,1,stalj001,12,FBFFC,K
play,5,1,rojam002,22,BFBCX,53/G56
play,5,1,sancj003,12,CSBX,S7/G6
play,5,1,coopg002,11,BSX,53/G56
play,6,1,aguij001,22,BCBFX,8/F8D
play,6,1,wendj002,12,CCFBX,1/G34S
play,6,1,delab001,00,X,HR/F8XD
play,6,1,andeb006,32,CBBFBX,S8/L8D+
play,6,1,chisj001,00,,NP
