Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,voged001,11,BCX,63/G4M
play,1,0,reynb001,32,BFBFBS,K
play,1,0,hayek001,22,CBCBS,K
play,2,0,tsuty001,12,CFBFX,8/L8
play,2,0,newmk001,02,CCX,S8/L8D
play,2,0,tuckc001,32,BBCBF>S,K+CS2(26)/DP
play,3,0,gameb001,12,BCFC,K
play,3,0,perer003,22,CBBCX,S7/L7+
play,3,0,parkh001,22,*BBCCFX,16(1)/FO/G4S-.B-1
play,3,0,voged001,01,CB,WP.1-2
play,3,0,voged001,22,CB.BFC,K
play,4,0,reynb001,21,FBBX,S9/L9
play,4,0,castd004,02,CF*S,K
play,4,0,tsuty001,11,BCX,S8/G6M.1-3
play,4,0,newmk001,10,BX,64(1)3/GDP/G6
play,5,0,tuckc001,00,X,53/G56
play,5,0,gameb001,31,BBFBX,8/F8XD+
play,5,0,perer003,01,CX,13/G1S
play,6,0,parkh001,22,CCBBX,S5/G56
play,6,0,voged001,21,BBCX,8/F8
play,6,0,reynb001,00,X,8/F78D
play,6,0,castd004,02,CFX,43/G34
play,7,0,tsuty001,00,..,NP
play,1,0,varsd001,22,BCBSC,K
play,1,0,smitp002,01,CX,D9/G3
play,1,0,perad001,32,*BCBBCB,W
play,1,0,beers001,10,BX,46(1)3/GDP/G4
play,2,0,hummc001,32,CSBBFBFB,W
play,2,0,martk001,22,BCS1*BX,45(1)/FO/G34.B-1
play,2,0,alcas002,12,CCB1X,64(1)3/GDP/G6
play,3,0,perdg001,31,BBBCB,W
play,3,0,herrj003,02,C11FX,S9/G34.1-3
play,3,0,varsd001,00,X,D39/G34.3-H;1-3
play,3,0,smitp002,01,CX,63/G6M.3-H;2-3
play,3,0,perad001,11,CBX,43/G4
play,3,0,beers001,00,X,31/G3D
play,4,0,hummc001,12,FFBX,43/G34S
play,4,0,martk001,22,BCBSC,K
play,4,0,alcas002,10,BX,3/G3
play,5,0,perdg001,02,FCC,K
play,5,0,herrj003,10,BX,43/G34
play,5,0,varsd001,12,CFBFFX,43/G34
play,6,0,smitp002,32,CCBBB*B,W
play,6,0,perad001,12,*BFFFX,46(1)/FO/G34.B-1
play,6,0,beers001,31,BBBCB,W.1-2
play,6,0,hummc001,32,FCBFFBBX,S9/L89.2-H;1-2
play,6,0,martk001,01,FX,7/F7D
play,6,0,alcas002,22,BBCCS,K
play,7,0,perdg001,00,,NP
play,1,0,wadel001,02,CF*S,K
play,1,0,beltb001,01,FX,43/G4
play,1,0,florw001,12,CFFBFC,K
