id,KCA202205040
version,2
info,visteam,SLN
info,hometeam,KCA
info,site,KAN06
info,date,2022/05/04
info,number,0
info,starttime,12:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wendh902
info,ump1b,whitc901
info,ump2b,mosce901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:33
info,howscored,unknown
info,pitches,pitches
info,oscorer,utslm701
info,temp,54
info,winddir,rtol
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,182
info,attendance,12774
info,wp,waina001
info,lp,bubik001
info,save,
start,edmat001,"Tommy Edman",0,1,4
start,goldp001,"Paul Goldschmidt",0,2,3
start,arenn001,"Nolan Arenado",0,3,5
start,pujoa001,"Albert Pujols",0,4,10
start,yepej001,"Juan Yepez",0,5,9
start,oneit001,"Tyler O'Neill",0,6,7
start,badeh001,"Harrison Bader",0,7,8
start,moliy001,"Yadier Molina",0,8,2
start,dejop001,"Paul DeJong",0,9,6
start,waina001,"Adam Wainwright",0,0,1
start,olive001,"Edward Olivares",1,1,9
start,benia002,"Andrew Benintendi",1,2,7
start,peres002,"Salvador Perez",1,3,10
start,ohear001,"Ryan O'Hearn",1,4,3
start,merrw001,"Whit Merrifield",1,5,4
start,wittb002,"Bobby Witt Jr.",1,6,5
start,melem001,"MJ Melendez",1,7,2
start,taylm002,"Michael A. Taylor",1,8,8
start,lopen001,"Nicky Lopez",1,9,6
start,bubik001,"Kris Bubic",1,0,1
play,1,0,edmat001,32,BSBBCFFB,W
play,1,0,goldp001,31,CBBBB,W.1-2
play,1,0,arenn001,21,BFBX,HR/F7D.2-H;1-H
play,1,0,pujoa001,30,BBBX,8/L8D
play,1,0,yepej001,11,CBX,D9/F3D
play,1,0,oneit001,00,,NP
sub,payaj001,"Joel Payamps",1,0,1
play,1,0,oneit001,22,.C*BFBX,T8/L89D+.2-H
play,1,0,badeh001,00,X,9/SF/F89D.3-H
play,1,0,moliy001,22,BFSBX,8/F78XD
play,1,1,olive001,22,CBSBX,53/G56
play,1,1,benia002,32,CBBCBX,31/G3
play,1,1,peres002,22,CBBFS,K
play,2,0,dejop001,21,BBSX,43/G4+
play,2,0,edmat001,22,BCBCX,8/F8D
play,2,0,goldp001,10,BX,63/G6
play,2,1,ohear001,11,CBX,63/G4
play,2,1,merrw001,11,BCX,4/P34D
play,2,1,wittb002,12,CBFFX,63/G6
play,3,0,arenn001,12,CBCFX,13/G1S
play,3,0,pujoa001,11,BCX,53/G56S
play,3,0,yepej001,11,BCX,D9/F9LS
play,3,0,oneit001,32,BFBS*BFB,W
play,3,0,badeh001,02,FFFF*S,K
play,3,1,melem001,32,BBFFFBX,8/F8D
play,3,1,taylm002,00,X,S8/L89+
play,3,1,lopen001,12,CFBX,56(1)/FO/G6-.B-1
play,3,1,olive001,32,SBS*BFB>X,53/G56
play,4,0,moliy001,00,,NP
sub,coled003,"Dylan Coleman",1,0,1
play,4,0,moliy001,32,.BBFBFX,8/L89D
play,4,0,dejop001,32,BCBBSFS,K
play,4,0,edmat001,22,CBSBS,K
play,4,1,benia002,12,BCTX,E5/G6.B-1
play,4,1,peres002,01,CX,6/P56D
play,4,1,ohear001,00,X,63/G4.1-2
play,4,1,merrw001,01,SX,63/G6
play,5,0,goldp001,12,CBCX,9/L9D+
play,5,0,arenn001,10,BX,8/L8XD
play,5,0,pujoa001,22,BFSBFX,6/P56D
play,5,1,wittb002,02,SCFX,43/G34
play,5,1,melem001,01,CX,7/F7D
play,5,1,taylm002,00,X,53/G56
play,6,0,yepej001,00,,NP
sub,speig001,"Gabe Speier",1,0,1
play,6,0,yepej001,32,.BFBBTX,63/G6
play,6,0,oneit001,21,BBSX,8/F89D
play,6,0,badeh001,32,BFTBFFBFX,43/G4
play,6,1,lopen001,32,BCFBBFFFB,W
play,6,1,olive001,01,CX,9/F9LD
play,6,1,benia002,21,CBBX,43/G34.1-2
play,6,1,peres002,32,CFB*B*BS,K
play,7,0,moliy001,00,,NP
sub,garra001,"Amir Garrett",1,0,1
play,7,0,moliy001,31,.BBBCX,3/P3D
play,7,0,dejop001,32,SBBFB*B,W
play,7,0,edmat001,31,FBBBB,W.1-2
play,7,0,goldp001,11,FB>C,SB3;SB2
play,7,0,goldp001,32,FB>C.FBBB,W
play,7,0,arenn001,00,,NP
sub,bolar001,"Ronald Bolanos",1,0,1
play,7,0,arenn001,01,.CX,S9/L89D+.3-H;2-H;1-3
play,7,0,pujoa001,12,BCCX,6/F6D
play,7,0,yepej001,00,,NP
sub,carld002,"Dylan Carlson",0,5,11
play,7,0,carld002,21,.B*BSX,13/G23
play,7,1,ohear001,00,,NP
sub,carld002,"Dylan Carlson",0,5,9
play,7,1,ohear001,20,.BBX,31/G3
play,7,1,merrw001,00,X,53/G5
play,7,1,wittb002,01,CX,31/G34
play,8,0,oneit001,00,,NP
sub,isbek001,"Kyle Isbel",1,8,8
play,8,0,oneit001,32,.BCBCBS,K
play,8,0,badeh001,01,CX,S8/G6M
play,8,0,moliy001,32,FB*BBFX,S9/L89.1-3
play,8,0,dejop001,21,C*B*BX,7/SF/F78.3-H
play,8,0,edmat001,32,BCBFB>F>*B,W.1-2
play,8,0,goldp001,32,BBBCF>*B,W.2-3;1-2
play,8,0,arenn001,00,,NP
sub,donob001,"Brendan Donovan",0,3,11
play,8,0,donob001,02,.FFX,63/G6M
play,8,1,melem001,00,,NP
sub,donob001,"Brendan Donovan",0,3,5
play,8,1,melem001,00,.,NP
