id,PHI202207030
version,2
info,visteam,SLN
info,hometeam,PHI
info,site,PHI13
info,date,2022/07/03
info,number,0
info,starttime,7:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,rackd901
info,ump2b,willr901
info,ump3b,barbs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:42
info,howscored,unknown
info,pitches,pitches
info,oscorer,golam701
info,temp,88
info,winddir,fromlf
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,183
info,attendance,44225
info,wp,wheez001
info,lp,waina001
info,save,
start,edmat001,"Tommy Edman",0,1,6
start,donob001,"Brendan Donovan",0,2,7
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,gormn001,"Nolan Gorman",0,5,4
start,yepej001,"Juan Yepez",0,6,10
start,carld002,"Dylan Carlson",0,7,8
start,capec001,"Conner Capel",0,8,9
start,kniza001,"Andrew Knizner",0,9,2
start,waina001,"Adam Wainwright",0,0,1
start,schwk001,"Kyle Schwarber",1,1,7
start,hoskr001,"Rhys Hoskins",1,2,3
start,castn001,"Nick Castellanos",1,3,9
start,halld003,"Darick Hall",1,4,10
start,realj001,"J.T. Realmuto",1,5,2
start,bohma001,"Alec Bohm",1,6,5
start,herro001,"Odubel Herrera",1,7,8
start,stotb001,"Bryson Stott",1,8,6
start,munoy001,"Yairo Munoz",1,9,4
start,wheez001,"Zack Wheeler",1,0,1
play,1,0,edmat001,02,CFS,K
play,1,0,donob001,12,SFFBX,S8/L78
play,1,0,goldp001,10,BX,13/G1-.1-2
play,1,0,arenn001,32,BFBFBFX,8/F78D
play,1,1,schwk001,32,BCBBCX,3/P3SF/FL
play,1,1,hoskr001,02,CFC,K
play,1,1,castn001,01,CX,43/G4M
play,2,0,gormn001,12,CBSFS,K
play,2,0,yepej001,12,FFBFFX,63/G6
play,2,0,carld002,22,SBBSFX,S8/L8D
play,2,0,capec001,10,B1X,7/F78S
play,2,1,halld003,12,CSBC,K
play,2,1,realj001,10,BX,4/L4D+
play,2,1,bohma001,22,CBBCX,63/G6
play,3,0,kniza001,12,SBFFFFX,3/P3F/FL
play,3,0,edmat001,32,BFFBFBX,S6/G6
play,3,0,donob001,10,111BX,8/F8
play,3,0,goldp001,22,FBS1BX,9/F9L
play,3,1,herro001,32,BCCBBFX,3/G3
play,3,1,stotb001,32,CCBBFBB,W
play,3,1,munoy001,01,SX,S8/L8D+.1-2
play,3,1,schwk001,20,BBX,46(1)3/GDP/G34
play,4,0,arenn001,01,FX,S5/G5+
play,4,0,gormn001,00,X,9/F9LS
play,4,0,yepej001,30,BBBX,3/P13
play,4,0,carld002,11,CB>B,CS2(26)
play,4,1,hoskr001,10,BX,HR/F7D
play,4,1,castn001,11,CBX,9/F9L
play,4,1,halld003,22,CBFFBX,63/G4
play,4,1,realj001,31,BBBCX,S7/G56
play,4,1,bohma001,21,BBFX,S9/L3D-.1-3
play,4,1,herro001,32,BBCBC>X,3/G3
play,5,0,carld002,32,BBCBSB,W
play,5,0,capec001,01,CX,5/L56-
play,5,0,kniza001,11,BFX,43/G34-.1-2
play,5,0,edmat001,11,F*BX,6/L6D
play,5,1,stotb001,12,CBSX,43/G34
play,5,1,munoy001,12,CCBX,63/G6
play,5,1,schwk001,22,BCCBC,K
play,6,0,donob001,32,BBFBFS,K
play,6,0,goldp001,12,CCBX,9/F34D
play,6,0,arenn001,12,CBFX,9/F89S
play,6,1,hoskr001,22,BSSBX,D8/F78XD+
play,6,1,castn001,11,*BCX,S7/L78.2-H
play,6,1,halld003,12,FS*BS,K
play,6,1,realj001,22,S1F*BFBX,HR/L7LD.1-H
play,6,1,bohma001,02,FFC,K
play,6,1,herro001,01,SX,S9/G34
play,6,1,stotb001,00,,NP
