Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mckiz001,12,CBT*S,K.BX1(23)
play,1,1,quire001,02,CSS,K
play,1,1,contw001,00,X,43/G4D+
play,2,1,happi001,20,BBX,S9/L9
play,2,1,hoern001,01,CX,46(1)3/GDP/G4
play,2,1,wisdp001,01,CX,63/G6
play,3,1,gomey001,22,CBFBX,53/G56
play,3,1,rivaa001,11,BSX,3/G3
play,3,1,morec001,00,X,HR/F9D
play,3,1,mckiz001,11,FBX,13/G3S-
play,4,1,quire001,10,BX,43/G4-
play,4,1,contw001,00,X,S9/L9LD+.BX2(96)
play,4,1,happi001,32,BBBCCC,K
play,5,1,hoern001,01,CX,63/G6D+
play,5,1,wisdp001,02,CFC,K
play,5,1,gomey001,01,FX,S8/F8S
play,5,1,rivaa001,11,CBX,3/G3S
play,6,1,morec001,12,BSFFFC,K
play,6,1,mckiz001,31,FBBBB,W
play,6,1,quire001,21,BB.CX,S9/F9D.1-3
play,6,1,contw001,00,X,6(1)3/GDP/G6M
play,7,1,happi001,00,,NP
