Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,bettm001,02,FSS,K
play,1,1,freef001,11,BFX,8/F78D
play,1,1,turnt001,32,CBFBBFFX,4/L34+
play,2,1,muncm001,02,CC*S,K.BX1(23)
play,2,1,smitw003,12,CBFFC,K
play,2,1,riose001,12,FCBC,K
play,3,1,bellc002,01,TX,HR/F89XD+
play,3,1,taylc001,32,SBBFBFFX,D7/G5
play,3,1,lux-g001,22,BBFTS,K
play,3,1,bettm001,00,X,53/G5
play,3,1,freef001,12,CBFX,43/G34+
play,4,1,turnt001,22,CBBCX,S9/F9LS
play,4,1,muncm001,02,FFS,K
play,4,1,smitw003,01,11FX,S9/L34D.1-2
play,4,1,riose001,12,BFFX,7/F7D
play,4,1,bellc002,02,FSX,3/L3
play,5,1,taylc001,22,FSBBS,K
play,5,1,lux-g001,12,FBCX,31/G3
play,5,1,bettm001,22,FBFBX,7/F7L
play,6,1,freef001,21,CBBX,7/L7
play,6,1,turnt001,01,SX,S8/G6M
play,6,1,muncm001,31,BCBBB,W.1-2
play,6,1,smitw003,01,CX,D7/G2.2-H;1-H
play,6,1,riose001,00,,NP
