id,TOR202207130
version,2
info,visteam,PHI
info,hometeam,TOR
info,site,TOR02
info,date,2022/07/13
info,number,0
info,starttime,7:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,marqa901
info,ump2b,barrl901
info,ump3b,rehaj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/29 09:02:10
info,howscored,unknown
info,pitches,pitches
info,oscorer,moreh701
info,temp,70
info,winddir,fromcf
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,151
info,attendance,30853
info,wp,strir001
info,lp,wheez001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,hoskr001,"Rhys Hoskins",0,2,3
start,castn001,"Nick Castellanos",0,3,9
start,halld003,"Darick Hall",0,4,10
start,stotb001,"Bryson Stott",0,5,4
start,vierm001,"Matt Vierling",0,6,8
start,gregd001,"Didi Gregorius",0,7,6
start,munoy001,"Yairo Munoz",0,8,5
start,stubg001,"Garrett Stubbs",0,9,2
start,wheez001,"Zack Wheeler",0,0,1
start,sprig001,"George Springer",1,1,8
start,bichb001,"Bo Bichette",1,2,6
start,guerv002,"Vladimir Guerrero",1,3,3
start,kirka001,"Alejandro Kirk",1,4,2
start,hernt002,"Teoscar Hernandez",1,5,9
start,gurrl001,"Lourdes Gurriel Jr.",1,6,10
start,chapm001,"Matt Chapman",1,7,5
start,espis001,"Santiago Espinal",1,8,4
start,tapir001,"Raimel Tapia",1,9,7
start,strir001,"Ross Stripling",1,0,1
play,1,0,schwk001,12,SSBS,K
play,1,0,hoskr001,02,CCX,43/G6MD
play,1,0,castn001,00,X,63/G56
play,1,1,sprig001,00,X,8/L89XD+
play,1,1,bichb001,10,BX,53/G6S
play,1,1,guerv002,12,CFFFBX,63/G6D
play,2,0,halld003,12,CBFC,K
play,2,0,stotb001,12,BCFS,K
play,2,0,vierm001,10,BX,9/F89D
play,2,1,kirka001,10,BX,43/G34
play,2,1,hernt002,12,TFBFS,K
play,2,1,gurrl001,12,BCSFS,K
play,3,0,gregd001,00,X,8/F78D
play,3,0,munoy001,12,CCBFX,53/G6S
play,3,0,stubg001,22,CFBBS,K
play,3,1,chapm001,32,CSBBBB,W
play,3,1,espis001,10,B>X,S7/L7S.1-3
play,3,1,tapir001,01,C1X,6(1)/FO/G6MS.3-H;B-1
play,3,1,sprig001,22,11S1BBFX,6/P6S
play,3,1,bichb001,00,>*B,SB2
play,3,1,bichb001,12,>*B.CFFFFFS,K
play,4,0,schwk001,21,BSBX,3/G34
play,4,0,hoskr001,32,CBBBSFX,9/F9LD
play,4,0,castn001,00,X,D8/F89XD+
play,4,0,halld003,12,CBSX,9/F9
play,4,1,guerv002,22,BBCCX,HR/F78XD
play,4,1,kirka001,12,CSBX,S7/G56
play,4,1,hernt002,00,X,HR/F89XD.1-H
play,4,1,gurrl001,00,X,63/G6S
play,4,1,chapm001,11,BCX,53/G5
play,4,1,espis001,32,BSBFFFBFFFFFFFS,K
play,5,0,stotb001,01,CX,43/G34
play,5,0,vierm001,11,CBX,53/G6S
play,5,0,gregd001,12,CBFX,3/G3
play,5,1,tapir001,12,BFCX,S8/L8
play,5,1,sprig001,22,1CB1BFX,S9/F34D-.1-2
play,5,1,bichb001,00,X,S8/L89D.2-H;1-3
play,5,1,guerv002,02,SFX,8/SF/F8D.3-H
play,5,1,kirka001,21,C*BB>B,SB2
play,5,1,kirka001,31,C*BB>B.X,FC/G6S.2X3(65);B-1
play,5,1,hernt002,00,,NP
