id,SLN202204290
version,2
info,visteam,ARI
info,hometeam,SLN
info,site,STL10
info,date,2022/04/29
info,number,0
info,starttime,7:15PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,kulpr901
info,ump1b,riggj901
info,ump2b,conrc901
info,ump3b,torrc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/10/03 09:01:02
info,howscored,unknown
info,pitches,pitches
info,oscorer,muelg701
info,temp,65
info,winddir,fromlf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,204
info,attendance,40753
info,wp,bumgm001
info,lp,waina001
info,save,
start,varsd001,"Daulton Varsho",0,1,8
start,smitp002,"Pavin Smith",0,2,9
start,perad001,"David Peralta",0,3,10
start,beers001,"Seth Beer",0,4,3
start,hummc001,"Cooper Hummel",0,5,7
start,martk001,"Ketel Marte",0,6,4
start,alcas002,"Sergio Alcantara",0,7,5
start,perdg001,"Geraldo Perdomo",0,8,6
start,herrj003,"Jose Herrera",0,9,2
start,bumgm001,"Madison Bumgarner",0,0,1
start,edmat001,"Tommy Edman",1,1,4
start,goldp001,"Paul Goldschmidt",1,2,3
start,oneit001,"Tyler O'Neill",1,3,7
start,arenn001,"Nolan Arenado",1,4,5
start,pujoa001,"Albert Pujols",1,5,10
start,carld002,"Dylan Carlson",1,6,9
start,badeh001,"Harrison Bader",1,7,8
start,moliy001,"Yadier Molina",1,8,2
start,dejop001,"Paul DeJong",1,9,6
start,waina001,"Adam Wainwright",1,0,1
play,1,0,varsd001,22,BCBSC,K
play,1,0,smitp002,01,CX,D9/G3
play,1,0,perad001,32,*BCBBCB,W
play,1,0,beers001,10,BX,46(1)3/GDP/G4
play,1,1,edmat001,32,BBFFBFX,63/G6
play,1,1,goldp001,32,CSFBBBFFFFFX,HR/F78XD
play,1,1,oneit001,02,CSX,8/L78D
play,1,1,arenn001,22,FFBBX,D7/L7D+
play,1,1,pujoa001,01,CX,3/P3F/FL
play,2,0,hummc001,32,CSBBFBFB,W
play,2,0,martk001,22,BCS1*BX,45(1)/FO/G34.B-1
play,2,0,alcas002,12,CCB1X,64(1)3/GDP/G6
play,2,1,carld002,21,TBBX,63/G6+
play,2,1,badeh001,32,BBBCFF*B,W
play,2,1,moliy001,22,CBCBS,K
play,2,1,dejop001,11,CBX,5/P5SF/FL
play,3,0,perdg001,31,BBBCB,W
play,3,0,herrj003,02,C11FX,S9/G34.1-3
play,3,0,varsd001,00,X,D39/G34.3-H;1-3
play,3,0,smitp002,01,CX,63/G6M.3-H;2-3
play,3,0,perad001,11,CBX,43/G4
play,3,0,beers001,00,X,31/G3D
play,3,1,edmat001,01,CX,9/F89D
play,3,1,goldp001,01,FX,8/F8D
play,3,1,oneit001,22,BBCFX,63/G6
play,4,0,hummc001,12,FFBX,43/G34S
play,4,0,martk001,22,BCBSC,K
play,4,0,alcas002,10,BX,3/G3
play,4,1,arenn001,22,CBFBX,4/P4D
play,4,1,pujoa001,12,BCSX,S67/G6
play,4,1,carld002,22,BCFBF1S,K
play,4,1,badeh001,22,FFBBX,3/P3F/FL
play,5,0,perdg001,02,FCC,K
play,5,0,herrj003,10,BX,43/G34
play,5,0,varsd001,12,CFBFFX,43/G34
play,5,1,moliy001,22,BCBFX,53/G5S
play,5,1,dejop001,11,CBX,9/F9D
play,5,1,edmat001,12,CCBX,6/P6
play,6,0,smitp002,32,CCBBB*B,W
play,6,0,perad001,12,*BFFFX,46(1)/FO/G34.B-1
play,6,0,beers001,31,BBBCB,W.1-2
play,6,0,hummc001,32,FCBFFBBX,S9/L89.2-H;1-2
play,6,0,martk001,01,FX,7/F7D
play,6,0,alcas002,22,BBCCS,K
play,6,1,goldp001,00,,NP
sub,frial001,"Luis Frias",0,0,1
play,6,1,goldp001,11,.CBX,63/G56+
play,6,1,oneit001,30,BBBB,W
play,6,1,arenn001,32,CFBBBX,8/F78
play,6,1,pujoa001,01,SX,9/F9
play,7,0,perdg001,00,,NP
sub,mcfat001,"T.J. McFarland",1,0,1
play,7,0,perdg001,32,.BBFBCX,63/G6
play,7,0,herrj003,30,BBBB,W
play,7,0,varsd001,02,FCX,S7/G56.1-2
play,7,0,smitp002,00,,NP
sub,palla001,"Andre Pallante",1,0,1
play,7,0,smitp002,00,.,NP
sub,luplj001,"Jordan Luplow",0,2,11
play,7,0,luplj001,11,..CBX,S9/G34+.2-H;1-3
play,7,0,perad001,22,BBFSX,8/SF/L8.3-H
play,7,0,beers001,02,1CCS,K
play,7,1,carld002,00,,NP
sub,luplj001,"Jordan Luplow",0,2,9
play,7,1,carld002,00,.,NP
sub,walkc002,"Christian Walker",0,4,3
play,7,1,carld002,01,..CX,8/F8
play,7,1,badeh001,32,SBSBBB,W
play,7,1,moliy001,32,B*BBCCFX,S8/L8D+.1-3
play,7,1,dejop001,32,1FBBSBN,BK.3-H(NR);1-2
com,"$Umpire reviewed (rules check), call on the field was overturned."
play,7,1,dejop001,32,1FBBSBN.X,9/F8D
play,7,1,edmat001,00,,NP
sub,ramin002,"Noe Ramirez",0,0,1
play,7,1,edmat001,11,.BCX,S8/G4M.2-3
play,7,1,goldp001,00,>C,SB2
play,7,1,goldp001,02,>C.FS,K
play,8,0,hummc001,00,,NP
sub,whitk001,"Kodi Whitley",1,0,1
play,8,0,hummc001,12,.BSFC,K
play,8,0,martk001,12,BCTX,D9/L9L
play,8,0,alcas002,00,X,S8/L8D.2-H
play,8,0,perdg001,01,CX,S9/L9+.1-2
play,8,0,herrj003,12,CBCFS,K
play,8,0,varsd001,12,FF*BFX,7/F7L
play,8,1,oneit001,22,CCBBX,7/F7D
play,8,1,arenn001,02,CCFFS,K
play,8,1,pujoa001,00,,NP
sub,dickc002,"Corey Dickerson",1,5,11
play,8,1,dickc002,00,.,NP
sub,mantj002,"Joe Mantiply",0,0,1
play,8,1,dickc002,00,..,NP
sub,sosae001,"Edmundo Sosa",1,5,11
play,8,1,sosae001,02,...CSFFX,2/P2F/FL
play,9,0,luplj001,00,.,NP
