id,WAS202204191
version,2
info,visteam,ARI
info,hometeam,WAS
info,site,WAS11
info,date,2022/04/19
info,number,1
info,starttime,1:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,sches901
info,ump2b,barkl901
info,ump3b,lentn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,hetrd701
info,temp,47
info,winddir,torf
info,windspeed,17
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,188
info,attendance,9261
info,wp,grayj004
info,lp,bumgm001
info,save,
start,varsd001,"Daulton Varsho",0,1,8
start,martk001,"Ketel Marte",0,2,4
start,perad001,"David Peralta",0,3,7
start,beers001,"Seth Beer",0,4,3
start,hummc001,"Cooper Hummel",0,5,10
start,mccaj003,"Jake McCarthy",0,6,9
start,alcas002,"Sergio Alcantara",0,7,5
start,herrj003,"Jose Herrera",0,8,2
start,perdg001,"Geraldo Perdomo",0,9,6
start,bumgm001,"Madison Bumgarner",0,0,1
start,hernc005,"Cesar Hernandez",1,1,4
start,sotoj001,"Juan Soto",1,2,9
start,cruzn002,"Nelson Cruz",1,3,10
start,bellj005,"Josh Bell",1,4,3
start,ruizk001,"Keibert Ruiz",1,5,2
start,franm004,"Maikel Franco",1,6,5
start,thoml002,"Lane Thomas",1,7,7
start,escoa003,"Alcides Escobar",1,8,6
start,roblv001,"Victor Robles",1,9,8
start,grayj004,"Josiah Gray",1,0,1
play,1,0,varsd001,22,BCCBX,9/F9S+
play,1,0,martk001,12,BCSS,K
play,1,0,perad001,31,CBBBB,W
play,1,0,beers001,32,CBBTB>C,K
play,1,1,hernc005,01,CX,53/G5S-
play,1,1,sotoj001,00,X,7/L7D
play,1,1,cruzn002,22,CCFBBS,K
play,2,0,hummc001,12,BCFS,K
play,2,0,mccaj003,20,BBX,13/BG1S
play,2,0,alcas002,32,BBCBCX,9/F89
play,2,1,bellj005,00,X,53/G5D+
play,2,1,ruizk001,01,CX,53/G56
play,2,1,franm004,31,BBCBB,W
play,2,1,thoml002,10,BX,53/G56
play,3,0,herrj003,11,CBX,4/P4M
play,3,0,perdg001,22,BCFFBC,K
play,3,0,varsd001,00,X,HR/F8XD
play,3,0,martk001,02,FCX,9/L89D
play,3,1,escoa003,32,BFBSFBFFFB,W
play,3,1,roblv001,00,X,23/SH/BG2.1-2
play,3,1,hernc005,12,SCBFFS,K
play,3,1,sotoj001,02,SF>B,CS3(25)
com,"$D-backs challenged (tag play), call on the field was overturned."
play,4,0,perad001,12,MCBX,D9/L89XD+
play,4,0,beers001,22,FBCB*S,K
play,4,0,hummc001,21,S*BB>B,CS3(25)
play,4,0,hummc001,31,S*BB>B.B,W
play,4,0,mccaj003,11,C1B>X,S7/L7S.1-2
play,4,0,alcas002,02,CFS,K
play,4,1,sotoj001,30,BBBB,W
play,4,1,cruzn002,32,FS*B*BBB,W.1-2
play,4,1,bellj005,22,BBSSFX,5(2)3/GDP/G56.1-2
play,4,1,ruizk001,22,FFBBFFS,K
play,5,0,herrj003,20,BBX,2/P2F/FL
play,5,0,perdg001,32,CCBBFBS,K
play,5,0,varsd001,32,BBBCFS,K
play,5,1,franm004,02,CFFFS,K
play,5,1,thoml002,12,BFSC,K
play,5,1,escoa003,11,BSX,E4/P34D.B-1
play,5,1,roblv001,12,FCBX,D7/L7LD+.1-H(UR)
play,5,1,hernc005,10,BX,D7/G5+.2-H(UR)
play,5,1,sotoj001,11,BCX,53/G6
play,6,0,martk001,22,CCBBX,7/F7LS
play,6,0,perad001,00,,NP
sub,dools001,"Sean Doolittle",1,0,1
play,6,0,perad001,12,.CSBX,9/L89XD
play,6,0,beers001,00,X,D8/L89XD+
play,6,0,hummc001,21,B*BCX,7/F7L
play,6,1,cruzn002,00,,NP
sub,wendj001,"J.B. Wendelken",0,0,1
play,6,1,cruzn002,10,.BX,S7/L7
play,6,1,bellj005,10,BX,S8/L8.1-2
play,6,1,ruizk001,20,BBX,1/L4MS/DP.1X1(13)
play,6,1,franm004,01,CX,S8/G6M.2-H
play,6,1,thoml002,32,BBSBF>C,K
play,7,0,mccaj003,00,,NP
sub,cishs001,"Steve Cishek",1,0,1
play,7,0,mccaj003,22,.BBTSFC,K
play,7,0,alcas002,22,CCBFBX,8/F89D
play,7,0,herrj003,12,CCBFC,K
play,7,1,escoa003,12,SBFFFX,43/G6M
play,7,1,roblv001,02,CFX,23/G2
play,7,1,hernc005,22,STBBX,8/F8D
play,8,0,perdg001,00,,NP
sub,finnk001,"Kyle Finnegan",1,0,1
play,8,0,perdg001,00,.,NP
sub,smitp002,"Pavin Smith",0,9,11
play,8,0,smitp002,32,..BBCBFB,W
play,8,0,varsd001,00,X,46(1)3/GDP/G4
play,8,0,martk001,12,SCBFFS,K
play,8,1,sotoj001,00,,NP
sub,alcas002,"Sergio Alcantara",0,7,6
play,8,1,sotoj001,00,.,NP
sub,herny003,"Yonny Hernandez",0,9,5
play,8,1,sotoj001,00,..,NP
sub,pereo002,"Oliver Perez",0,0,1
play,8,1,sotoj001,11,...CBH,HP
play,8,1,cruzn002,12,CF*BX,C/E2.1-2;B-1
com,"$D-backs challenged (catcher interference), call on the field was upheld."
play,8,1,bellj005,10,BX,S9/L3D.2-H;1-3
play,8,1,ruizk001,00,X,8/SF/F8.3-H(UR)
play,8,1,franm004,00,,NP
sub,peacm001,"Matt Peacock",0,0,1
play,8,1,franm004,01,.CX,8/F8
play,8,1,thoml002,31,BB*BCB,W.1-2
play,8,1,escoa003,02,CSX,S8/L8.2-H;1-2
play,8,1,roblv001,22,CBFBFC,K
play,9,0,perad001,00,,NP
sub,votha001,"Austin Voth",1,0,1
play,9,0,perad001,22,.CBBFFFX,S8/G6M
play,9,0,beers001,31,CBBBX,S8/G6M.1-2
play,9,0,hummc001,02,CFX,8/F78
play,9,0,mccaj003,12,CC*BS,K
play,9,0,alcas002,31,B*BBCX,31/G3
data,er,bumgm001,0
data,er,pereo002,2
data,er,wendj001,1
data,er,peacm001,0
data,er,cishs001,0
data,er,grayj004,1
data,er,votha001,0
data,er,finnk001,0
data,er,dools001,0
