Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,nolaa002,11,BCX,9/F89
play,1,0,machm001,21,BBFX,7/F7D
play,1,0,cronj001,20,BBX,7/F7
play,2,0,voitl001,10,BX,53/G5
play,2,0,myerw001,12,CBSX,8/F8XD
play,2,0,hosme001,22,CFFBBX,D9/L9LS
play,2,0,profj001,12,FFBS,K
play,3,0,kim-h002,32,CFBBBFFFFFB,W
play,3,0,grist001,10,BX,7/F78D
play,3,0,nolaa002,01,C>B,SB2
play,3,0,nolaa002,21,C>B.BX,63/G6M.2-3
play,3,0,machm001,31,BBBCB,W
play,3,0,cronj001,32,CBCFBFB>F>B,W.1-2
play,3,0,voitl001,32,SSBBB>B,W.3-H;2-3;1-2
play,3,0,myerw001,22,FFB*BC,K
play,4,0,hosme001,00,,NP
play,1,0,altuj001,01,FX,E5/G7L.B-2
play,1,0,branm003,21,BSBX,8/L8D+.2-3
play,1,0,brega001,31,BCBBB,W
play,1,0,gurry001,00,X,5/P5DF/FL
play,1,0,tuckk001,22,FSBBX,8/L8D+
play,2,0,diaza003,21,FBBX,3/P34S
play,2,0,penaj004,22,BCFBX,9/L9D
play,2,0,castj006,00,X,7/F78
play,3,0,sirij001,32,BBBCSC,K
play,3,0,altuj001,11,BCX,2/BP2F-/FL
play,3,0,branm003,12,BCCX,8/F1S
play,4,0,brega001,01,CX,S7/L56D
play,4,0,gurry001,10,B1X,9/L9D
play,4,0,tuckk001,11,BFX,9/F89XD
play,4,0,diaza003,02,CFFX,S67/G56.1-2
play,4,0,penaj004,01,CX,64(1)/FO/G6D.B-1
play,5,0,castj006,22,FTFBBX,7/L7
play,5,0,sirij001,10,BX,HR/F78XD
play,5,0,altuj001,00,X,7/F7
play,5,0,branm003,11,BCX,S8/L8
play,5,0,brega001,12,BSCFS,K
play,6,0,gurry001,20,BBX,D8/L78XD
play,6,0,tuckk001,30,BBB*B,W
play,6,0,diaza003,00,,NP
play,1,0,canhm001,02,CCX,S5/G5S.B-2(E5/TH)
play,1,0,marts002,00,X,63/G6
play,1,0,lindf001,32,B*BBCC>X,S8/L8.2-H(UR)
play,1,0,alonp001,22,CFBFBFS,K
play,1,0,escoe001,21,1BBCX,54(1)/FO/G5.B-1
play,2,0,davij006,32,BBCCBX,S8/L8D
play,2,0,guill001,12,CFBS,K
play,2,0,mccaj001,11,C*BX,64(1)3/GDP/G6
play,3,0,jankt001,22,BCCBX,43/G4+
play,3,0,canhm001,02,CCC,K
play,3,0,marts002,32,BBBCSFX,63/G56D
play,4,0,lindf001,02,CCX,S3/G34
play,4,0,alonp001,10,BX,54(1)/FO/G5.B-1
play,4,0,escoe001,12,BFFX,8/F8
play,4,0,davij006,22,CFBBC,K
play,5,0,guill001,32,FCFBBFBFFX,163/G6M
play,5,0,mccaj001,10,BX,9/F89D
play,5,0,jankt001,11,CBX,63/G6M
play,6,0,canhm001,00,,NP
play,1,0,rojam002,02,CCX,S7/L78D+
play,1,0,aguij001,11,BFX,9/F9D
play,1,0,solej001,02,SSX,HR/F7D.1-H
play,1,0,coopg002,11,BCX,9/F9
play,1,0,garca003,21,SBBX,S7/F7D+
play,1,0,wendj002,01,CX,S4/G3.1-2
play,1,0,gonze004,22,CSFBBC,K
play,2,0,sancj003,22,BBCTFFS,K
play,2,0,henrp001,10,BX,63/G6+
play,2,0,rojam002,32,FCFBBFBFFX,8/L8XD
play,3,0,aguij001,02,CFX,8/L8XD
play,3,0,solej001,22,BCCBC,K
play,3,0,coopg002,21,BBCX,S8/G4M+
play,3,0,garca003,10,BX,8/F78XD
play,4,0,wendj002,31,BBBCB,W
play,4,0,gonze004,01,CX,54(1)/FO/G56.B-1
play,4,0,sancj003,22,BFBFX,7/F78S
play,4,0,henrp001,00,X,S8/G6+.1-2
play,4,0,rojam002,02,CFC,K
play,5,0,aguij001,12,CBFX,4/L6MD
play,5,0,solej001,11,BCX,53/G5
play,5,0,coopg002,00,X,63/G6
play,6,0,garca003,12,TFBFX,63/G6+
play,6,0,wendj002,12,SBFS,K
play,6,0,gonze004,00,X,63/G6D
play,7,0,sancj003,31,BBBCX,7/F7
play,7,0,henrp001,00,,NP
play,1,0,bettm001,11,CBX,63/G6
play,1,0,freef001,22,BSBSX,S7/L7S
play,1,0,turnt001,12,FFFBS,K
play,1,0,smitw003,00,>C,SB2
play,1,0,smitw003,21,>C.BBX,63/G6M
play,2,0,turnj001,31,BBFBB,W
play,2,0,taylc001,32,BBCSBC,K
play,2,0,bellc002,02,CFX,8/F8XD
play,2,0,albeh001,10,BX,S8/L8.1-2
play,2,0,riose001,12,*BFFX,HR/F9LD.2-H;1-H
play,2,0,bettm001,10,BX,HR/F7LD
play,2,0,freef001,11,CBX,43/G34D
