Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,acunr001,22,TCBFFFBFX,9/F89
play,1,1,swand001,00,X,S7/L7+
play,1,1,rilea001,31,BBBF1,POCS2(134)
play,1,1,rilea001,32,BBBF1.SX,HR/L7LD
play,1,1,darnt001,10,BX,63/G6
play,2,1,olsom001,02,CCX,9/L9D
play,2,1,ozunm001,12,CBFX,7/F7D
play,2,1,rosae001,12,CBFX,6/L6D
play,3,1,arcio002,12,CBFX,9/F9D
play,3,1,harrm004,30,BBBB,W
play,3,1,acunr001,00,X,S4/G6M.1-2
play,3,1,swand001,02,FSX,FC5/G5S.2-H(E5/TH)(NR);1-3;B-1
play,3,1,rilea001,20,BBX,D7/F7D+.3-H(UR);1-3
play,3,1,darnt001,21,FBBX,S7/G56.3-H;2-3
play,3,1,olsom001,00,X,56(1)3/GDP/G56
play,4,1,ozunm001,32,BBFFBFFFFFFFX,7/F7L+
play,4,1,rosae001,12,CBFX,7/L7D
play,4,1,arcio002,00,X,63/G6+
play,5,1,harrm004,00,X,S2/BG2.BX2(96)
play,5,1,acunr001,22,BFCFBFX,53/G56+
play,5,1,swand001,01,SX,S8/G6
play,5,1,rilea001,00,X,D7/F78XD+.1-H
play,5,1,darnt001,01,CX,9/F9LS
play,6,1,olsom001,31,BSBBB,W
play,6,1,ozunm001,00,X,9/F89S
play,6,1,rosae001,31,BBBCB,W.1-2
play,6,1,arcio002,01,SX,64(1)3/GDP/G6+
play,7,1,harrm004,00,,NP
play,7,1,harrm004,00,.,NP
play,7,1,harrm004,00,..,NP
