id,ATL202207290
version,2
info,visteam,ARI
info,hometeam,ATL
info,site,ATL03
info,date,2022/07/29
info,number,0
info,starttime,7:20PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drecb901
info,ump1b,fairc901
info,ump2b,becka901
info,ump3b,emmep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:11
info,howscored,unknown
info,pitches,pitches
info,oscorer,stamm701
info,temp,79
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,160
info,attendance,41536
info,wp,wrigk001
info,lp,bumgm001
info,save,jansk001
start,rojaj001,"Josh Rojas",0,1,5
start,thoma004,"Alek Thomas",0,2,8
start,martk001,"Ketel Marte",0,3,4
start,walkc002,"Christian Walker",0,4,3
start,perad001,"David Peralta",0,5,7
start,varsd001,"Daulton Varsho",0,6,9
start,mccaj003,"Jake McCarthy",0,7,10
start,kellc002,"Carson Kelly",0,8,2
start,perdg001,"Geraldo Perdomo",0,9,6
start,bumgm001,"Madison Bumgarner",0,0,1
start,acunr001,"Ronald Acuna Jr.",1,1,9
start,swand001,"Dansby Swanson",1,2,6
start,rilea001,"Austin Riley",1,3,5
start,darnt001,"Travis d'Arnaud",1,4,2
start,olsom001,"Matt Olson",1,5,3
start,ozunm001,"Marcell Ozuna",1,6,10
start,rosae001,"Eddie Rosario",1,7,7
start,arcio002,"Orlando Arcia",1,8,4
start,harrm004,"Michael Harris II",1,9,8
start,wrigk001,"Kyle Wright",1,0,1
play,1,0,rojaj001,10,BX,43/G34
play,1,0,thoma004,02,FC*S,K
play,1,0,martk001,32,CBBCBS,K
play,1,1,acunr001,22,TCBFFFBFX,9/F89
play,1,1,swand001,00,X,S7/L7+
play,1,1,rilea001,31,BBBF1,POCS2(134)
play,1,1,rilea001,32,BBBF1.SX,HR/L7LD
play,1,1,darnt001,10,BX,63/G6
play,2,0,walkc002,21,CBBX,63/G6+
play,2,0,perad001,22,CSBBS,K
play,2,0,varsd001,11,BTX,9/L9D
play,2,1,olsom001,02,CCX,9/L9D
play,2,1,ozunm001,12,CBFX,7/F7D
play,2,1,rosae001,12,CBFX,6/L6D
play,3,0,mccaj003,32,TSBFFBBB,W
play,3,0,kellc002,01,CX,FC4/G4.1-3(E4/TH);B-2
play,3,0,perdg001,12,CBSFS,K
play,3,0,rojaj001,00,X,4/L4+
play,3,0,thoma004,22,FFFBBX,43/G34
play,3,1,arcio002,12,CBFX,9/F9D
play,3,1,harrm004,30,BBBB,W
play,3,1,acunr001,00,X,S4/G6M.1-2
play,3,1,swand001,02,FSX,FC5/G5S.2-H(E5/TH)(NR);1-3;B-1
play,3,1,rilea001,20,BBX,D7/F7D+.3-H(UR);1-3
play,3,1,darnt001,21,FBBX,S7/G56.3-H;2-3
play,3,1,olsom001,00,X,56(1)3/GDP/G56
play,4,0,martk001,01,CX,31/G3
play,4,0,walkc002,01,CX,63/G56D
play,4,0,perad001,30,BBBB,W
play,4,0,varsd001,11,BCX,S9/L9LS+.1-3
play,4,0,mccaj003,02,SCX,S7/L7L.3-H;1-2
play,4,0,kellc002,00,X,7/F7
play,4,1,ozunm001,32,BBFFBFFFFFFFX,7/F7L+
play,4,1,rosae001,12,CBFX,7/L7D
play,4,1,arcio002,00,X,63/G6+
play,5,0,perdg001,10,BX,HR/F89XD
play,5,0,rojaj001,22,BCBSX,63/G4M
play,5,0,thoma004,01,CX,7/F78D
play,5,0,martk001,01,FX,63/G6D
play,5,1,harrm004,00,X,S2/BG2.BX2(96)
play,5,1,acunr001,22,BFCFBFX,53/G56+
play,5,1,swand001,01,SX,S8/G6
play,5,1,rilea001,00,X,D7/F78XD+.1-H
play,5,1,darnt001,01,CX,9/F9LS
play,6,0,walkc002,11,BFX,4/L6D+
play,6,0,perad001,10,BX,31/G3
play,6,0,varsd001,32,CBCFBBX,3/L2
play,6,1,olsom001,31,BSBBB,W
play,6,1,ozunm001,00,X,9/F89S
play,6,1,rosae001,31,BBBCB,W.1-2
play,6,1,arcio002,01,SX,64(1)3/GDP/G6+
play,7,0,mccaj003,00,X,5/BL5S
play,7,0,kellc002,22,BBCCX,S5/G5
play,7,0,perdg001,02,CCS,K
play,7,0,rojaj001,21,CBBX,S7/L7+.1-2
play,7,0,thoma004,00,,NP
sub,lee-d005,"Dylan Lee",1,0,1
play,7,0,thoma004,00,.,NP
sub,luplj001,"Jordan Luplow",0,2,11
play,7,0,luplj001,12,..BSSS,K
play,7,1,harrm004,00,,NP
sub,luplj001,"Jordan Luplow",0,2,9
play,7,1,harrm004,00,.,NP
sub,varsd001,"Daulton Varsho",0,6,8
play,7,1,harrm004,00,..,NP
