id,PHI202206110
version,2
info,visteam,ARI
info,hometeam,PHI
info,site,PHI13
info,date,2022/06/11
info,number,0
info,starttime,4:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,guccc901
info,ump1b,bakej902
info,ump2b,addir901
info,ump3b,mosce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/27 09:03:18
info,howscored,unknown
info,pitches,pitches
info,oscorer,macom701
info,temp,71
info,winddir,tocf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,176
info,attendance,30820
info,wp,wheez001
info,lp,bumgm001
info,save,
start,varsd001,"Daulton Varsho",0,1,10
start,smitp002,"Pavin Smith",0,2,9
start,rojaj001,"Josh Rojas",0,3,5
start,walkc002,"Christian Walker",0,4,3
start,perad001,"David Peralta",0,5,7
start,thoma004,"Alek Thomas",0,6,8
start,perdg001,"Geraldo Perdomo",0,7,6
start,hagej001,"Jake Hager",0,8,4
start,herrj003,"Jose Herrera",0,9,2
start,bumgm001,"Madison Bumgarner",0,0,1
start,schwk001,"Kyle Schwarber",1,1,7
start,hoskr001,"Rhys Hoskins",1,2,3
start,harpb003,"Bryce Harper",1,3,10
start,castn001,"Nick Castellanos",1,4,9
start,realj001,"J.T. Realmuto",1,5,2
start,bohma001,"Alec Bohm",1,6,5
start,herro001,"Odubel Herrera",1,7,8
start,vierm001,"Matt Vierling",1,8,4
start,stotb001,"Bryson Stott",1,9,6
start,wheez001,"Zack Wheeler",1,0,1
play,1,0,varsd001,12,CSBFS,K
play,1,0,smitp002,22,BBCFS,K
play,1,0,rojaj001,21,FBBX,43/G34
play,1,1,schwk001,22,BBFFS,K
play,1,1,hoskr001,00,X,D7/F7LD
play,1,1,harpb003,02,CCX,3/G3.2-3
play,1,1,castn001,10,BX,S7/G56.3-H
play,1,1,realj001,20,*BBX,7/F78
play,2,0,walkc002,12,SBCS,K
play,2,0,perad001,20,BBX,D8/L8XD+
play,2,0,thoma004,22,CBBCX,8/L8+
play,2,0,perdg001,02,FSS,K
play,2,1,bohma001,32,BBSBSX,53/G56
play,2,1,herro001,22,BBCFX,E5/G56.B-1
play,2,1,vierm001,12,CC1BX,54(1)/FO/G56.B-1
play,2,1,stotb001,22,BBCFFX,HR/F9D.1-H(UR);B-H(UR)
play,2,1,schwk001,11,BFX,43/G34D
play,3,0,hagej001,32,BFBSFBX,4/P4S
play,3,0,herrj003,12,CCBC,K
play,3,0,varsd001,12,CSBFFX,S7/G56
play,3,0,smitp002,32,BFCBB>X,8/L8D
play,3,1,hoskr001,01,CX,S9/G4
play,3,1,harpb003,02,SLFX,S8/L8.1-2
play,3,1,castn001,01,SX,64(1)3/GDP/G6.2-3
play,3,1,realj001,31,B*BF*BB,W
play,3,1,bohma001,00,>B,SB2
play,3,1,bohma001,10,>B.X,8/F8D
play,4,0,rojaj001,00,X,43/G34
play,4,0,walkc002,22,CFBFBFS,K
play,4,0,perad001,32,CBBCFBX,3/G3
play,4,1,herro001,22,FBBFX,8/F78D
play,4,1,vierm001,00,X,8/F8S
play,4,1,stotb001,12,CBCFC,K
play,5,0,thoma004,12,BCFS,K
play,5,0,perdg001,32,BBCCFFFFFFBX,43/G4
play,5,0,hagej001,00,X,53/G56
play,5,1,schwk001,22,CBBFX,S4/G34
play,5,1,hoskr001,22,1B1CBCS,K
play,5,1,harpb003,32,BFCFBBB,W.1-2
play,5,1,castn001,10,B>C,SB3;SB2
play,5,1,castn001,12,B>C.FX,53/G56S
play,5,1,realj001,32,BFFBBC,K
play,6,0,herrj003,22,BFSBFS,K
play,6,0,varsd001,31,BBCBX,43/G34D
play,6,0,smitp002,11,BFX,43/G34D
play,6,1,bohma001,00,,NP
