Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,altuj001,22,BCBCC,K
play,1,0,branm003,00,X,S7/L7S
play,1,0,brega001,12,BFFFX,64(1)/FO/G6.B-1
play,1,0,alvay001,32,CFBBB>B,W.1-2
play,1,0,gurry001,01,SX,3/P3D
play,1,1,ohtas001,00,X,63/G4
play,1,1,troum001,30,BBBB,W
play,1,1,renda001,21,BBCX,64(1)3/GDP/G2
play,2,0,tuckk001,21,FBBX,63/G34D
play,2,0,penaj004,02,SSS,K
play,2,0,mccoc001,12,CBSS,K
play,2,1,duffm002,21,BBCX,S9/G3
play,2,1,adelj001,12,CBCS,K
play,2,1,walsj001,02,CSF1X,8/L8
play,2,1,stasm001,00,X,64(1)/FO/G6.B-1
play,3,0,maldm001,32,CBBSBC,K
play,3,0,altuj001,32,CBBBCS,K
play,3,0,branm003,21,CBBX,D9/L89XD+
play,3,0,brega001,22,CBBCX,S7/L7.2-H
play,3,0,alvay001,21,BSBX,8/F8XD+
play,3,1,marsb002,32,BCBFBX,9/L9
play,3,1,fletd002,00,X,53/G56S
play,3,1,ohtas001,12,CSBC,K
play,4,0,gurry001,12,CFBC,K
play,4,0,tuckk001,32,BFBBFFS,K
play,4,0,penaj004,02,CST,K
play,4,1,troum001,22,BCBCC,K
play,4,1,renda001,01,SX,63/G6
play,4,1,duffm002,00,X,63/G4M
play,5,0,mccoc001,11,CBX,D7/L7D+
play,5,0,maldm001,12,CTBX,63/G6
play,5,0,altuj001,12,C*BCS,K
play,5,0,branm003,00,,NP
play,5,0,branm003,22,.BBCFC,K
play,5,1,adelj001,12,FFBS,K
play,5,1,walsj001,12,CFFB*S,K
play,5,1,stasm001,22,BSBSX,53/G6S
play,6,0,brega001,32,BSSBBX,53/G5
play,6,0,alvay001,22,BBSCX,43/G6
play,6,0,gurry001,00,,NP
play,6,0,gurry001,10,.BX,D7/L7D+
play,6,0,tuckk001,30,VVVV,IW
play,6,0,penaj004,00,X,13/G1
play,6,1,marsb002,22,BBCFS,K
play,6,1,fletd002,12,BCFX,5/L5
play,6,1,ohtas001,11,BFX,6/P4
play,7,0,mccoc001,01,CX,D8/L78XD+
play,7,0,maldm001,21,BBSX,9/F9
play,7,0,altuj001,10,BX,53/BG6S.2-3
play,7,0,branm003,00,,NP
play,7,0,branm003,10,.BX,8/F8D
play,7,1,troum001,21,BCBX,E6/TH/G6.B-1
play,7,1,renda001,32,BCBSFBFX,46(1)3/GDP/G4MD
play,7,1,duffm002,22,BCBSX,S5/G5S
play,7,1,adelj001,00,,NP
play,7,1,adelj001,00,.,NP
play,7,1,adelj001,12,..11BSSS,K
play,8,0,brega001,00,,NP
play,8,0,brega001,00,.,NP
play,8,0,brega001,00,..X,HR/F7LD
play,8,0,alvay001,11,BFX,HR/F8XD
play,8,0,gurry001,02,CFX,7/F7LD
play,8,0,tuckk001,00,X,9/F9D+
play,8,0,penaj004,32,BFSBBFFX,8/L8
play,8,1,walsj001,10,BX,63/G4
play,8,1,stasm001,00,X,8/F8XD+
play,8,1,marsb002,02,SFH,HP
play,8,1,fletd002,12,BCFX,T8/L78XD.1-H
play,8,1,ohtas001,00,,NP
play,8,1,ohtas001,22,.BBFFX,9/F89D
play,9,0,mccoc001,00,,NP
play,9,0,mccoc001,21,.FBBX,53/G56
play,9,0,maldm001,11,BFX,63/G6
play,9,0,altuj001,32,CBBFBB,W
play,9,0,branm003,00,11>C,SB2
play,9,0,branm003,01,11>C.X,53/G6S
play,9,1,troum001,00,,NP
play,9,1,troum001,00,.X,S9/F9LS
play,9,1,renda001,20,*BBX,8/F89XD
play,9,1,wadet002,12,CBFX,46(1)3/GDP/G4
play,1,0,altuj001,31,BBBCX,HR/F78XD
play,1,0,branm003,02,CFFC,K
play,1,0,brega001,02,CCX,63/G6
play,1,0,alvay001,32,BCCBBFB,W
play,1,0,diaza003,32,*BCBBC>F>B,W.1-2
play,1,0,tuckk001,11,FBX,1/L6MS
play,1,1,ohtas001,32,BCCFFBBX,S8/L78
play,1,1,troum001,12,BCS1C,K
play,1,1,renda001,20,1BBX,S8/L8+.1-2
play,1,1,walsj001,11,*BFX,S7/F7L.2-H;1-3
play,1,1,rojaj002,00,B,WP.3-H(NR);1-2
play,1,1,rojaj002,20,B.BX,2/P2F/FL
play,1,1,marsb002,00,X,S7/L7LD.2XH(72)
play,2,0,penaj004,12,BSFFFX,S7/G6
play,2,0,sirij001,22,BCCBS,K
play,2,0,maldm001,32,1B1BBCSX,54(1)3/GDP/G56
play,2,1,suzuk001,01,CX,3/P3F/FL
play,2,1,wadet002,11,FBX,53/G56
play,2,1,fletd002,11,CBX,6/P6
play,3,0,altuj001,32,BCBCBC,K
play,3,0,branm003,10,BX,8/F8D
play,3,0,brega001,12,BFSFFX,4/F4D
play,3,1,ohtas001,22,SFBFBX,7/F7L
play,3,1,troum001,32,CBBFFFFFFBX,8/F8D
play,3,1,renda001,22,CBSBS,K+PB.B-1
play,3,1,walsj001,00,X,63/G4
play,4,0,alvay001,32,BFBFBX,9/F89D+
play,4,0,diaza003,10,BX,HR/F7LD
play,4,0,tuckk001,22,CBBSX,31/G3
play,4,0,penaj004,01,FX,9/F1S
play,4,1,rojaj002,11,BCX,D9/L9LD+
play,4,1,marsb002,11,*BFX,8/L8
play,4,1,suzuk001,12,*BCFX,S7/L7.2-3
play,4,1,wadet002,00,X,53/SH/BG6S-.1-2
play,4,1,fletd002,10,BX,9/L9D
play,5,0,sirij001,00,,NP
play,5,0,sirij001,00,.X,S9/P9S
play,5,0,maldm001,11,FB>B,SB2
play,5,0,maldm001,22,FB>B.FFX,9/L9D.2-3
play,5,0,altuj001,30,BBBX,53/G56S.3-H
play,5,0,branm003,02,CCFFS,K
play,5,1,ohtas001,00,,NP
play,5,1,ohtas001,32,.BSSBFBX,43/G34D
play,5,1,troum001,12,CFBFS,K
play,5,1,renda001,01,CX,9/F3D
play,6,0,brega001,21,BFBX,HR/F7D
play,6,0,alvay001,01,CX,53/G6MD
play,6,0,diaza003,21,BCBX,53/G56
play,6,0,tuckk001,00,X,43/G4M
play,6,1,walsj001,00,,NP
play,6,1,walsj001,32,.FBBFBFX,S8/L78D+
play,6,1,rojaj002,12,C*SB*S,K
play,6,1,marsb002,31,BBFBX,9/L9D
play,6,1,suzuk001,00,,NP
play,6,1,suzuk001,10,.BX,S7/L78D.1-3
play,6,1,wadet002,22,*BBFFT,K
play,7,0,penaj004,00,,NP
play,7,0,penaj004,00,.X,HR/F78XD
play,7,0,sirij001,02,SCX,S8/G6M
play,7,0,maldm001,30,1B1BBB,W.1-2
play,7,0,altuj001,00,,NP
play,7,0,altuj001,32,.BBCBFS,K
play,7,0,branm003,02,CFX,D7/L78XD.2-H;1-3
play,7,0,brega001,01,SX,S54/G56+.3-H;2-2
play,7,0,alvay001,10,BX,D9/L9L+.2-H;1-3
play,7,0,diaza003,11,BCX,S9/G34.3-H;2-3
play,7,0,tuckk001,00,,NP
play,7,0,tuckk001,22,.BFCBX,HR/F9LD.3-H;1-H
play,7,0,penaj004,10,BX,D7/L7LD+
play,7,0,sirij001,22,BBCFX,7/F7D
play,7,0,maldm001,22,BCBFX,9/L9D
play,7,1,fletd002,00,,NP
play,7,1,fletd002,22,.BCFFBX,63/G6MD
play,7,1,ohtas001,10,BX,3/G3
play,7,1,troum001,00,,NP
play,7,1,adelj001,12,.BSFS,K
play,8,0,altuj001,00,,NP
play,8,0,altuj001,00,.,NP
play,8,0,altuj001,00,..,NP
play,8,0,altuj001,00,...,NP
play,8,0,goodn002,22,....CCBBFS,K
play,8,0,mccoc001,00,X,63/G56
play,8,0,brega001,00,,NP
play,8,0,perej003,12,.CFFBT,K
play,8,1,mayfj001,00,,NP
play,8,1,mayfj001,00,.,NP
play,8,1,mayfj001,00,..,NP
play,8,1,mayfj001,01,...FX,S8/G6M
play,8,1,walsj001,32,B*BBCCFX,FC4/G4.1-3(E4);B-1
play,8,1,rojaj002,32,BCBBFX,D9/L9LD.3-H(UR);1-3
play,8,1,marsb002,32,BBBCSFX,8/F8
play,8,1,suzuk001,02,FSX,53/G5.3-H(UR);2-3
play,8,1,wadet002,01,CX,S8/L78.3-H(UR)
play,8,1,fletd002,00,,NP
play,8,1,fletd002,02,.FTFX,8/F8
play,9,0,alvay001,10,BX,8/L8XD+
play,9,0,diaza003,12,BCFX,4/F9S
play,9,0,tuckk001,20,BBX,HR/F78XD
play,9,0,penaj004,02,SCS,K
play,9,1,ohtas001,01,SX,8/F8XD
play,9,1,adelj001,32,BBSBFF*S,K
play,9,1,mayfj001,00,X,D7/L7L
play,9,1,walsj001,00,>B,DI.2-3
play,9,1,walsj001,12,>B.FFX,S7/G56.3-H
play,9,1,rojaj002,00,X,8/F8S
