Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,buxtb001,32,BSFBFFBX,D7/F6D
play,1,0,arral001,00,,NP
play,1,0,arral001,22,.BBFFX,S78/L78D.2-H
play,1,0,corrc001,02,CSX,64(1)3/GDP/G6MD
play,1,0,polaj001,30,BBBB,W
play,1,0,keplm001,32,1B1FC*BB>X,4/L34D+
play,1,1,herne001,00,,NP
play,1,1,herne001,02,.CCS,K
play,1,1,dever001,01,TX,13/G23
play,1,1,bogax001,02,CSC,K
play,2,0,sancg002,32,BBBCSFFT,K
play,2,0,larnt001,31,BBCBB,W
play,2,0,sanom001,11,CBX,HR/F7LD.1-H
play,2,0,jeffr002,12,FBFFT,K
play,2,0,gordn001,01,FX,S8/L89
play,2,0,arral001,00,X,D9/L9LD+.1-H
play,2,0,corrc001,12,CCBX,8/L8D+
play,2,1,martj006,12,BSSS,K
play,2,1,verda001,00,X,HR/F89XD
play,2,1,stort001,22,BCSBS,K
play,2,1,dalbb001,10,BX,6/P6
play,3,0,polaj001,00,,NP
play,3,0,polaj001,02,.CTT,K
play,3,0,keplm001,12,BSSH,HP
play,3,0,sancg002,10,B>C,SB2
play,3,0,sancg002,32,B>C.FBBFX,9/F89XD.2-3
play,3,0,larnt001,32,CBTBBFS,K
play,3,1,bradj001,12,BSCX,8/L8
play,3,1,vazqc001,32,FBFFBBS,K
play,3,1,herne001,11,CBX,53/G56S
play,4,0,sanom001,30,BBBB,W
play,4,0,jeffr002,02,CCS,K
play,4,0,gordn001,12,BSSS,K
play,4,0,arral001,12,C>F*B>B,SB2
play,4,0,arral001,22,C>F*B>B.X,43/G3
play,4,1,dever001,12,.CSBX,S6/G34
play,4,1,bogax001,12,STBX,9/L9
play,4,1,martj006,01,CX,S9/G34.1-3
play,4,1,verda001,01,FX,46(1)3/GDP/G34+
play,5,0,corrc001,00,,NP
play,5,0,corrc001,31,.BFBBB,W
play,5,0,polaj001,01,C1X,DGR/L9LD+.1-3
play,5,0,keplm001,22,BCF*BFFFFS,K
play,5,0,sancg002,31,*BBC*BX,S8/G6M.3-H;2-H
play,5,0,larnt001,00,X,36(1)/FO/G3.B-1
play,5,0,sanom001,12,1CCBX,53/G5
play,5,1,stort001,12,CSBX,S8/F8
play,5,1,dalbb001,32,BBCTF*BX,9/F9
play,5,1,bradj001,21,*B1C*BX,S5/BG5S.1-2
play,5,1,vazqc001,12,FBFX,8/F8
play,5,1,herne001,10,BX,3/P3SF/FL
play,6,0,jeffr002,00,X,63/G15
play,6,0,gordn001,32,BBBCSX,8/L8XD+
play,6,0,arral001,30,BBBB,W
play,6,0,corrc001,11,TB>B,CS2(24)
play,6,1,dever001,22,SFBBFX,4/P9S
play,6,1,bogax001,12,CBSFFS,K
play,6,1,martj006,02,FCS,K
play,7,0,corrc001,00,,NP
play,7,0,corrc001,22,.BSFFFBS,K
play,7,0,polaj001,32,CBBCB*S,K
play,7,0,keplm001,22,SCBBC,K
play,7,1,verda001,00,,NP
play,7,1,verda001,11,.BSX,3/G3
play,7,1,stort001,32,BTBBFS,K
play,7,1,dalbb001,01,SX,43/G4M
play,8,0,sancg002,00,,NP
play,8,0,sancg002,02,.CSS,K
play,8,0,larnt001,11,CBX,D8/F89XD+
play,8,0,sanom001,22,BSF*BC,K
play,8,0,jeffr002,32,BCS*BBB,W
play,8,0,gordn001,00,,NP
play,8,0,garlk001,12,.SBSS,K
play,8,1,bradj001,00,,NP
play,8,1,bradj001,00,.,NP
play,8,1,bradj001,01,..SX,D9/L89D
play,8,1,vazqc001,22,CSBFBS,K
play,8,1,herne001,00,X,D7/G5.2-H
play,8,1,dever001,11,FBX,HR/F9LD+.2-H
play,8,1,bogax001,22,CSBBS,K
play,8,1,martj006,22,BSFBFS,K
play,9,0,arral001,00,,NP
play,9,0,arral001,22,.FBBSX,7/F78S
play,9,0,corrc001,31,BCBBB,W
play,9,0,polaj001,32,BCB1CBB,W.1-2
play,9,0,keplm001,00,X,S8/G6M.2-H;1-2
play,9,0,sancg002,02,CTH,HP.2-3;1-2
play,9,0,larnt001,02,CCX,13/G23-.3-H;2-3;1-2
play,9,0,sanom001,12,F*BCX,7/F78S
play,9,1,verda001,00,,NP
play,9,1,verda001,00,.,NP
play,9,1,verda001,21,..BBCX,9/F89
play,9,1,stort001,02,CCS,K
play,9,1,dalbb001,12,CBCS,K
play,1,0,arral001,32,BCBFBX,53/G56
play,1,0,polaj001,32,BCBCFBB,W
play,1,0,corrc001,32,BCBC11B>S,K+CS2(24)/DP
play,1,1,herne001,21,SBBX,2/P3SF/FL
play,1,1,dever001,00,X,8/L8D
play,1,1,bogax001,32,BBBCCC,K
play,2,0,keplm001,32,BBCBFX,31/G3+
play,2,0,larnt001,22,BTCBC,K
play,2,0,urshg001,02,FFFFX,8/L8D
play,2,1,martj006,31,BBCBB,W
play,2,1,verda001,22,CBBFX,HR/F89XD.1-H
play,2,1,stort001,31,BBSBX,3/P3SF/FL
play,2,1,dalbb001,12,CBFFX,4/P8S
play,2,1,bradj001,00,,NP
play,2,1,bradj001,22,.BBCSFS,K
play,3,0,gordn001,31,BFBBB,W
play,3,0,sanom001,32,CBB1BCX,S7/L7.1-2
play,3,0,jeffr002,21,BBFX,54(1)3/GDP/G56.2-3
play,3,0,arral001,12,BCCX,13/G13
play,3,1,vazqc001,00,X,63/G6+
play,3,1,herne001,21,BSBX,D7/L5D
play,3,1,dever001,00,X,43/G34D.2-3
play,3,1,bogax001,01,SX,HR/F7D.3-H
play,3,1,martj006,02,SSX,43/G6M
play,4,0,polaj001,12,BCCFS,K
play,4,0,corrc001,12,FSBX,8/F8D+
play,4,0,keplm001,11,SBX,7/L7
play,4,1,verda001,10,BX,13/G1S
play,4,1,stort001,10,BX,S9/L89D+
play,4,1,dalbb001,12,SC*B1>X,43/G4.1-2
play,4,1,bradj001,32,B*BC*BCX,8/F8XD
play,5,0,larnt001,20,BBX,S7/G56+
play,5,0,urshg001,10,BX,64(1)3/GDP/G6M
play,5,0,gordn001,01,FX,43/G4
play,5,1,vazqc001,22,BFCBX,53/G56
play,5,1,herne001,30,BBBB,W
play,5,1,dever001,00,1X,43/G34.1-2
play,5,1,bogax001,01,SX,4/P6MD
play,6,0,sanom001,21,BBFX,9/F89
play,6,0,jeffr002,22,FBBFFFFC,K
play,6,0,arral001,30,BBBB,W
play,6,0,polaj001,00,,NP
play,6,0,polaj001,31,.BBBCX,9/F9
play,6,1,martj006,22,SBCFB*S,K.BX1(23)
play,6,1,verda001,11,BCX,3/G3
play,6,1,stort001,12,FBSX,8/F2
play,7,0,corrc001,02,CSFC,K
play,7,0,keplm001,01,FX,3/G3
play,7,0,larnt001,11,BCX,D7/F78XD+
play,7,0,urshg001,00,,NP
play,7,0,urshg001,02,.CS*S,K.BX1(23)
play,7,1,dalbb001,12,SBFX,7/F78D
play,7,1,bradj001,10,BX,9/F9L
play,7,1,vazqc001,01,CX,S8/G4M+
play,7,1,herne001,01,FX,53/G56
play,8,0,gordn001,02,SFC,K
play,8,0,sanom001,31,BBBCB,W
play,8,0,jeffr002,12,CF.BS,K
play,8,0,arral001,00,X,S8/G4M+.1-2
play,8,0,polaj001,02,CCF*S,K
play,8,1,dever001,00,,NP
play,8,1,dever001,01,.CX,S9/G4+
play,8,1,bogax001,12,CCBFX,14(1)3/GDP/G1
play,8,1,martj006,12,CSBC,K
play,9,0,corrc001,12,BCCS,K
play,9,0,keplm001,01,CX,9/F9D
play,9,0,larnt001,10,BX,S7/G6+
play,9,0,urshg001,01,*SX,5/L56
play,1,0,arral001,00,X,8/F8D
play,1,0,corrc001,00,X,63/G6
play,1,0,polaj001,32,CFBBBT,K
play,1,1,herne001,01,CX,7/F7
play,1,1,dever001,12,CSBX,S8/L8D
play,1,1,bogax001,10,*BX,S7/G56.1-2
play,1,1,martj006,21,BSBX,9/F9D
play,1,1,verda001,00,X,63/G4
play,2,0,keplm001,32,CBFBBC,K
play,2,0,urshg001,01,CX,9/L89
play,2,0,larnt001,02,CSS,K
play,2,1,stort001,22,CFBBX,63/G1S
play,2,1,dalbb001,02,FSS,K
play,2,1,bradj001,21,CBBX,3/G3
play,3,0,sancg002,11,CBX,53/G56
play,3,0,sanom001,32,BBCBF*B,W
play,3,0,gordn001,22,B*BFSX,8/F8D
play,3,0,arral001,12,BCF>X,3/G3
play,3,1,plawk001,22,CFBBS,K
play,3,1,herne001,22,CSBBX,8/F8XD
play,3,1,dever001,10,BX,8/F8XD+
play,4,0,corrc001,32,CSBBFFBFFFFFFFC,K
play,4,0,polaj001,32,CFBFBBB,W
play,4,0,keplm001,22,B11*BFFX,65(1)3/GDP/G4
play,4,1,bogax001,00,X,6/L6
play,4,1,martj006,12,CBSS,K
play,4,1,verda001,11,BCX,S9/L89D
play,4,1,stort001,01,SX,7/L7
play,5,0,urshg001,01,FX,S8/L8
play,5,0,larnt001,11,C*BX,5/P8S
play,5,0,sancg002,12,FFBS,K
play,5,0,sanom001,22,SBF1BF1X,9/F9D
play,5,1,dalbb001,00,X,4/P4D
play,5,1,bradj001,31,BFBBB,W
play,5,1,plawk001,01,CX,7/F78D
play,5,1,herne001,00,1X,3/P3SF/FL
play,6,0,gordn001,00,,NP
play,6,0,gordn001,00,.,NP
play,6,0,garlk001,32,..CCBFBFB*S,K
play,6,0,arral001,10,BX,3/G3
play,6,0,corrc001,11,BCX,9/F9L
play,6,1,dever001,00,,NP
play,6,1,dever001,00,.,NP
play,6,1,dever001,00,..X,E3/L3D.B-1
play,6,1,bogax001,20,BBX,D7/F7LD+.1-3
play,6,1,martj006,32,BBSSFBFX,8/SF/F89XD.3-H(UR);2-3
play,6,1,verda001,00,X,8/SF/F89.3-H(UR)
play,6,1,stort001,00,X,8/L8D+
play,7,0,polaj001,01,CX,13/BG2-
play,7,0,keplm001,12,CFBX,S7/L7
play,7,0,urshg001,00,,NP
play,7,0,urshg001,12,.BCF1FX,S9/L9L.1-3
play,7,0,larnt001,21,BFBX,8/SF/F8XD.3-H
play,7,0,sancg002,10,BX,S7/G56.1-2
play,7,0,sanom001,31,BBBCB,W.2-3;1-2
play,7,0,garlk001,12,BSFS,K
play,7,1,dalbb001,00,,NP
play,7,1,dalbb001,02,.CFX,53/G56
play,7,1,bradj001,32,CFBFBFBB,W
play,7,1,plawk001,32,BCFF1*BB>C,K+CS2(24)/DP
play,8,0,arral001,00,,NP
play,8,0,arral001,32,.BCBCBFFX,63/G6
play,8,0,corrc001,22,CCBFBFS,K
play,8,0,polaj001,32,BCBSBS,K
play,8,1,herne001,00,,NP
play,8,1,herne001,21,.BBFX,S8/G4M
play,8,1,dever001,12,BSCX,S8/L8D+.1-3
play,8,1,bogax001,22,FS*BBFX,S3/G34S-.3-H;1-2
play,8,1,martj006,00,X,D8/F78XD+.2-H;1-3
play,8,1,verda001,01,CX,6/P5
play,8,1,stort001,00,,NP
play,8,1,stort001,21,.*BCBX,S7/G6.3-H;2-H
play,8,1,dalbb001,12,FBSX,S8/L89D.1-2
play,8,1,bradj001,00,X,S9/L9+.2-H;1-3
play,8,1,plawk001,01,CX,9/SF/F9D.3-H
play,8,1,herne001,32,BCBBF>S,K
play,9,0,keplm001,00,,NP
play,9,0,keplm001,00,.,NP
play,9,0,keplm001,00,..X,2/P2
play,9,0,urshg001,22,CSBBS,K
play,9,0,larnt001,11,SBX,5/L6
play,1,0,polaj001,02,CFT,K
play,1,0,corrc001,11,BFX,S8/L8+
play,1,0,urshg001,12,FCB1X,8/F8D
play,1,0,garlk001,31,CBBBX,HR/F7LD.1-H
play,1,0,sancg002,02,CCFX,53/G6+
play,1,1,herne001,02,FC*S,K
play,1,1,dever001,02,FFX,63/G4
play,1,1,bogax001,00,X,S7/G56
play,1,1,martj006,00,X,9/F9D
play,2,0,larnt001,00,X,8/F89D
play,2,0,sanom001,32,BCBCFFBFX,9/F89
play,2,0,jeffr002,32,CBCBBFFS,K
play,2,1,verda001,10,BX,63/G4MD
play,2,1,arroc001,01,CX,4/P4D
play,2,1,shawt001,32,BSCFFBFBC,K
play,3,0,celeg001,21,CBBX,S8/L8S
play,3,0,polaj001,02,11CFX,HR/F78XD.1-H
play,3,0,corrc001,32,BCFBFBB,W
play,3,0,urshg001,00,X,S7/G5+.1-2
play,3,0,garlk001,01,TX,7/F7
play,3,0,sancg002,02,CCX,6/P6M
play,3,0,larnt001,10,BX,43/G34
play,3,1,vazqc001,21,BFBX,8/F89
play,3,1,bradj001,22,CBSFBFS,K
play,3,1,herne001,22,CCBBX,43/G4
play,4,0,sanom001,22,CFBBX,8/F89D+
play,4,0,jeffr002,32,BFCBBB,W
play,4,0,celeg001,01,CX,4(1)3/GDP/G4
play,4,1,dever001,10,BX,31/G3
play,4,1,bogax001,22,BBCSS,K
play,4,1,martj006,02,FFS,K
play,5,0,polaj001,12,BCSX,63/G6
play,5,0,corrc001,00,X,9/F3D
play,5,0,urshg001,02,CFX,S7/F7LD
play,5,0,garlk001,00,,NP
play,5,0,garlk001,00,.,NP
play,5,0,keplm001,32,..F1BBFB>C,K
play,5,1,verda001,00,,NP
play,5,1,verda001,01,.CX,D7/L7L
play,5,1,arroc001,00,X,S7/G6.2-3
play,5,1,shawt001,00,X,7/F7S.1-2
play,5,1,vazqc001,00,X,63/G6.3-H
play,5,1,bradj001,02,SSFX,63/G4
play,6,0,sancg002,10,BX,3/P4
play,6,0,larnt001,11,BFX,43/G34D
play,6,0,sanom001,10,BX,53/G5S
play,6,1,herne001,22,SFBBS,K
play,6,1,dever001,32,CSBBBX,S7/L7S
play,6,1,bogax001,21,BBS+1X,D7/L7.1-3
play,6,1,martj006,00,,NP
play,6,1,martj006,22,.CBBFX,FC/G4S-.3X3(3525);2-3;B-2
play,6,1,verda001,30,VVVV,IW
play,6,1,arroc001,00,X,8/F8XD+
play,7,0,jeffr002,00,,NP
play,7,0,jeffr002,32,.FBBBSB,W
play,7,0,celeg001,02,CCS,K
play,7,0,polaj001,11,BFX,7/F78
play,7,0,corrc001,01,CX,S9/L89D+.1-3
play,7,0,urshg001,11,FBX,8/F89XD
play,7,1,shawt001,00,,NP
play,7,1,shawt001,02,.CSFFC,K
play,7,1,vazqc001,10,BX,HR/F78XD
play,7,1,bradj001,32,SFFFBBBF*B,W
play,7,1,herne001,12,BCCC,K
play,7,1,dever001,02,SFS,K
play,8,0,keplm001,30,BBBB,W
play,8,0,sancg002,31,CBBBB,W.1-2
play,8,0,larnt001,12,BCSS,K
play,8,0,sanom001,00,X,7/F78D.2-3
play,8,0,jeffr002,00,,NP
