Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,schwk001,10,BX,D8/L8XD+
play,1,0,realj001,00,X,S7/G6+.2-3
play,1,0,harpb003,12,SBFX,7/SF/L7D.3-H
play,1,0,castn001,11,1BSX,7/L78
play,1,0,hoskr001,02,FSFS,K
play,1,1,solej001,22,CSBBS,K
play,1,1,coopg002,12,CBCFS,K
play,1,1,sancj003,32,BBBCSS,K
play,2,0,gregd001,01,SX,S5/BG5
play,2,0,camaj001,10,BX,8/F89D
play,2,0,stotb001,10,BX,41/G34.1-2
play,2,0,vierm001,32,CSBBFFBFX,63/G6
play,2,1,aguij001,12,CFBX,S9/G34
play,2,1,garca003,22,SSBBX,64(1)3/GDP/G6
play,2,1,wendj002,00,X,7/F7L
play,3,0,schwk001,31,BBBCX,31/G34
play,3,0,realj001,21,BSBX,S8/L89
play,3,0,harpb003,01,SX,8/F8
play,3,0,castn001,00,>B,SB2
play,3,0,castn001,12,>B.CSFFS,K
play,3,1,stalj001,12,CBSS,K
play,3,1,rojam002,11,CBX,5/P5SF/FL
play,3,1,chisj001,00,X,7/F7D
play,4,0,hoskr001,32,BBCBFB,W
play,4,0,gregd001,00,X,46(1)/FO/G34.B-1
play,4,0,camaj001,11,1FBX,D9/L9LD.1-3
play,4,0,stotb001,11,BCX,5/P5SF-/FL
play,4,0,vierm001,01,SX,3/P3
play,4,1,solej001,22,BFSBFFFX,53/G5
play,4,1,coopg002,22,BFBCX,HR/F7LD
play,4,1,sancj003,22,SBSBX,T8/F78XD+
play,4,1,aguij001,02,CSS,K
play,4,1,garca003,32,BBBCSFB,W
play,4,1,wendj002,22,BBCF>F>X,D7/L7L.3-H;1-H
play,4,1,stalj001,02,FCX,53/G56S
play,5,0,schwk001,32,BBFFFFFBS,K
play,5,0,realj001,02,TFX,S6/G6-
play,5,0,harpb003,12,C1BSX,46(1)3/GDP/G4
play,5,1,rojam002,00,X,8/F8XD
play,5,1,chisj001,30,BBBB,W
play,5,1,solej001,22,11BBF1S1S,K
play,5,1,coopg002,32,B1CBCB>B,W.1-2
play,5,1,sancj003,21,FBBX,S7/F7L.2-H;1-2
play,5,1,aguij001,00,,NP
play,5,1,aguij001,22,.CBBFX,5/L5F/FL
play,6,0,castn001,02,SSFX,S7/L78
play,6,0,hoskr001,12,BFCS,K
play,6,0,gregd001,00,X,9/F9LS
play,6,0,camaj001,01,CX,3/G3
play,6,1,garca003,00,,NP
play,6,1,garca003,00,.X,S8/G6M+
play,6,1,wendj002,12,C*BFFX,7/F78
play,6,1,stalj001,00,11X,8/F8
play,6,1,rojam002,32,BCSFBB>F>F>F>F>B,W.1-2
play,6,1,chisj001,22,BCFBS,K
play,7,0,stotb001,02,CSFT,K
play,7,0,vierm001,20,BBH,HP
play,7,0,schwk001,00,,NP
play,7,0,schwk001,12,.BCSS,K
play,7,0,realj001,32,BBCBS>F>B,W.1-2
play,7,0,harpb003,00,X,D9/L9LD.2-H;1-H
play,7,0,castn001,00,,NP
play,7,0,castn001,10,.BS,WP.2-3
play,7,0,castn001,11,.BS.X,9/F9LSF/FL
play,7,1,solej001,00,,NP
play,7,1,solej001,01,.CX,43/G6M
play,7,1,coopg002,32,FBBBSFFFC,K
play,7,1,sancj003,22,BCCBX,3/P3
play,8,0,hoskr001,00,,NP
play,8,0,hoskr001,00,.,NP
play,8,0,hoskr001,10,..BX,53/G56+
play,8,0,gregd001,12,BCFX,S9/L9LS+
play,8,0,camaj001,22,CF1BBFX,56(1)/FO/G34.B-1
play,8,0,stotb001,02,CCX,63/G4
play,8,1,aguij001,00,,NP
play,8,1,aguij001,31,.BCBBB,W
play,8,1,garca003,00,,NP
play,8,1,garca003,02,.1S1>F>X,53/G56.1-2
play,8,1,wendj002,00,X,43/G4.2-3
play,8,1,stalj001,12,CBCX,9/L89XD
play,9,0,vierm001,00,.,NP
play,9,0,vierm001,00,..,NP
play,9,0,bohma001,01,...CX,S9/L3D
play,9,0,schwk001,00,,NP
play,9,0,schwk001,20,.11BBX,46(1)3/GDP/G34
play,9,0,realj001,11,CBX,S9/G3
play,9,0,harpb003,00,X,7/F7D
play,1,0,schwk001,12,CBSX,63/G4M
play,1,0,hoskr001,21,BCBX,D9/L89XD+
play,1,0,harpb003,22,SBBFS,K
play,1,0,castn001,32,CS*BBBB,W
play,1,0,gregd001,01,SX,2/P25F/FL
play,1,1,solej001,31,BCBBX,D7/L7LD
play,1,1,coopg002,02,CFS,K
play,1,1,sancj003,00,X,D9/L9L+.2-H
play,1,1,aguij001,00,X,S8/L78D.2-H;BX2(84)
play,1,1,garca003,22,SSBBC,K
play,2,0,camaj001,12,CCFFBX,43/G4D
play,2,0,stotb001,02,CFX,7/F7S
play,2,0,stubg001,21,BBCX,4/L89S
play,2,1,wendj002,12,CCBT,K
play,2,1,stalj001,32,FFBBBX,S8/G6
play,2,1,rojam002,11,CBX,S9/L89.1-2
play,2,1,chisj001,32,*BBFF*BX,T9/L9L.2-H;1-H
play,2,1,solej001,32,B*BBCCX,53/G56S
play,2,1,coopg002,32,BBFBF*B,W
play,2,1,sancj003,10,BX,13/G2-
play,3,0,muzzs001,10,BX,S7/L7
play,3,0,schwk001,22,BCSBFX,56(1)3/GDP/G34D+
play,3,0,hoskr001,32,BCBBSB,W
play,3,0,harpb003,12,BCCS,K
play,3,1,aguij001,32,BCBBCFFFFFX,8/F8XD+
play,3,1,garca003,22,CBFBS,K
play,3,1,wendj002,11,BCX,43/G4
play,4,0,castn001,22,BFTBX,8/L8D+
play,4,0,gregd001,11,CBX,S8/L89
play,4,0,camaj001,21,SB+1BX,43/G34.1-2
play,4,0,stotb001,00,X,8/F8XD+
play,4,1,stalj001,22,SCBBFX,53/G56
play,4,1,rojam002,00,X,8/F89
play,4,1,chisj001,32,BBCBFFX,63/G4M
play,5,0,stubg001,22,CBBFX,13/G13
play,5,0,muzzs001,12,CBSX,3/G3
play,5,0,schwk001,22,BBSCX,7/F7
play,5,1,solej001,00,,NP
play,5,1,solej001,00,.X,43/G6
play,5,1,coopg002,21,BCBX,D7/G5+
play,5,1,sancj003,00,X,T9/L3D+.2-H
play,5,1,aguij001,31,BBFBX,9/SF/L9D.3-H
play,5,1,garca003,01,FX,D7/L5D
play,5,1,wendj002,21,CBBX,S7/L7+.2-3
play,5,1,stalj001,11,C1B>B,SB2
play,5,1,stalj001,31,C1B>B.*BB,W
play,5,1,rojam002,10,BX,63/G6
play,6,0,hoskr001,12,CCFBFFX,D7/L7LD+
play,6,0,harpb003,00,X,4/L4D
play,6,0,castn001,00,,NP
play,6,0,castn001,01,.CX,7/F7LD
play,6,0,gregd001,11,BFX,4/F9S
play,6,1,chisj001,30,BBBB,W
play,6,1,solej001,30,*B*BBB,W.1-2
play,6,1,coopg002,22,FBC*BH,HP.2-3;1-2
play,6,1,sancj003,11,F*BX,7/F7S
play,6,1,aguij001,21,C*B*BX,7/SF/F78XD.3-H
play,6,1,garca003,02,FFX,8/F8XD
play,7,0,camaj001,22,BBCCX,8/L78
play,7,0,stotb001,32,BCFBBB,W
play,7,0,stubg001,22,BCFBFFX,D8/L89XD.1-3
play,7,0,muzzs001,11,CBX,5/L56
play,7,0,schwk001,00,,NP
play,7,0,schwk001,02,.CCFS,K
play,7,1,wendj002,00,,NP
play,7,1,wendj002,01,.FX,43/G34
play,7,1,stalj001,02,CC*S,K
play,7,1,rojam002,22,FSBBFFC,K
play,8,0,hoskr001,00,,NP
play,8,0,hoskr001,00,.,NP
play,8,0,hoskr001,22,..CSBBS,K
play,8,0,harpb003,12,SBS*S,K
play,8,0,castn001,12,FSBX,HR/F9LD
play,8,0,gregd001,12,BFSX,8/F78D
play,8,1,chisj001,00,,NP
play,8,1,chisj001,12,.TBSFC,K
play,8,1,delab001,12,SSBS,K
play,8,1,coopg002,22,BBFSX,S8/G6M+
play,8,1,sancj003,10,BX,3/G3+
play,9,0,camaj001,00,,NP
play,9,0,camaj001,22,.BCBFFFFFX,9/L9LS
play,9,0,stotb001,32,CBBBFX,4/P4M
play,9,0,stubg001,00,,NP
play,9,0,bohma001,11,.BSX,S8/G6M
play,9,0,muzzs001,00,,NP
play,9,0,vierm001,11,.BFX,S9/G34+.1-2
play,9,0,schwk001,22,CB*BFS,K
play,1,0,realj001,12,TFBS,K
play,1,0,hoskr001,32,BBFSFFBB,W
play,1,0,harpb003,32,BSBBFFB,W.1-2
play,1,0,castn001,12,TCBFFX,S7/G56+.2-3;1-2
play,1,0,bohma001,12,FBSFFX,8/SF/L8D.3-H;2-3
play,1,0,camaj001,12,SBF>B,SBH
play,1,0,camaj001,32,SBF>B.FFFB>X,9/L9
play,1,1,solej001,11,BCX,43/G6M
play,1,1,coopg002,01,CX,13/G1S
play,1,1,aguij001,21,CBBX,S7/G56
play,1,1,garca003,12,BFCC,K
play,2,0,gregd001,02,CFX,D7/L7L
play,2,0,vierm001,00,X,D8/L78XD.2-H
play,2,0,stotb001,02,CFS,K
play,2,0,realj001,22,CBCBS,K
play,2,0,hoskr001,31,CB*BBB,W
play,2,0,harpb003,00,X,D9/L9LS.2-H;1-H
play,2,0,castn001,31,*B*BBCB,W
play,2,0,bohma001,00,,NP
play,2,0,bohma001,22,.BSSBX,S9/L89D+.2-H;1-2
play,2,0,camaj001,02,SSX,D9/L3D.2-H;1-H
play,2,0,gregd001,12,CFFBX,6/F6D
play,2,1,rojam002,11,BCX,13/G4MS
play,2,1,andeb006,21,BCBX,D7/F7D
play,2,1,delab001,32,CC*BBBFFB,W
play,2,1,stalj001,02,CCS,K
play,2,1,bertj001,32,BCBFB>T,K
play,3,0,vierm001,32,BBCFBX,43/G4
play,3,0,stotb001,02,SCT,K
play,3,0,realj001,12,BFFC,K
play,3,1,solej001,00,X,53/G56S
play,3,1,coopg002,12,CCBS,K
play,3,1,aguij001,32,BCBCFFBB,W
play,3,1,garca003,00,X,8/F8
play,4,0,hoskr001,00,,NP
play,4,0,hoskr001,00,.,NP
play,4,0,hoskr001,10,..BX,S7/G56
play,4,0,harpb003,32,SCB*BFBFX,36(1)3/GDP/G3
play,4,0,castn001,32,BSBBSX,E5/TH/G5.B-2
play,4,0,bohma001,12,CFFBX,S4/G4.2-3
play,4,0,camaj001,02,TSX,63/G4
play,4,1,rojam002,01,FX,S39/G34
play,4,1,andeb006,22,BCBTX,S9/L9S+.1-2
play,4,1,delab001,00,X,64(1)3/GDP/G6M.2-3
play,4,1,stalj001,01,CX,8/F8S
play,5,0,gregd001,32,BSSFBFFBX,3/G3
play,5,0,vierm001,12,BFCS,K
play,5,0,stotb001,02,CFS,K
play,5,1,bertj001,00,X,D9/F89XD+
play,5,1,solej001,20,BBX,HR/F7D.2-H
play,5,1,wendj002,22,CFFBBX,1/G23
play,5,1,aguij001,31,BBSBB,W
play,5,1,garca003,01,CX,64(1)3/GDP/G6
play,6,0,realj001,00,,NP
play,6,0,realj001,11,.SBX,E6/G56.B-1
play,6,0,hoskr001,00,X,7/L7
play,6,0,harpb003,31,*BFBBB,W.1-2
play,6,0,castn001,11,CBX,S9/G3.2-H(UR);1-3
play,6,0,bohma001,10,BX,8/SF/F89D.3-H(UR)
play,6,0,camaj001,22,BFCFFBX,43/G34
play,6,1,rojam002,00,,NP
play,6,1,rojam002,12,.CFBS,K
play,6,1,andeb006,22,BSFBT,K
play,6,1,delab001,01,SX,53/G5
play,7,0,gregd001,00,.,NP
play,7,0,gregd001,20,..BBH,HP
play,7,0,vierm001,22,S*BC*B*S,K
play,7,0,stotb001,02,CSS,K
play,7,0,realj001,02,FTC,K
play,7,1,stalj001,00,,NP
play,7,1,stalj001,00,.,NP
play,7,1,henrp001,01,..CX,53/G5
play,7,1,bertj001,21,CBBX,9/L89
play,7,1,solej001,22,BFFBT,K
play,8,0,hoskr001,00,,NP
play,8,0,hoskr001,00,.,NP
play,8,0,hoskr001,20,..BBX,53/G5
play,8,0,harpb003,22,FSBBX,53/G4
play,8,0,castn001,22,BFSBFFC,K
play,8,1,wendj002,00,,NP
play,8,1,wendj002,00,.,NP
play,8,1,wendj002,00,..,NP
play,8,1,wendj002,00,...,NP
play,8,1,wendj002,22,....CCBFBX,53/G56
play,8,1,aguij001,02,CCX,8/F78D
play,8,1,garca003,01,CX,HR/F8XD
play,8,1,rojam002,11,FBX,13/G1
play,9,0,bohma001,00,,NP
play,9,0,bohma001,12,.BSSX,63/G6
play,9,0,camaj001,11,BCX,63/G6
play,9,0,gregd001,12,BFSX,S8/L8S
play,9,0,vierm001,22,CFB*BX,S8/L89.1-2
play,9,0,stotb001,22,BBFFT,K
play,9,1,andeb006,00,X,S9/F9LS
play,9,1,delab001,01,FX,46(1)/FO/G4D.B-1
play,9,1,henrp001,32,BBCCBFB,W.1-2
play,9,1,bertj001,02,CSX,9/F9D.2-3
play,9,1,solej001,01,CX,8/F8XD
play,1,0,realj001,01,TX,13/G1-
play,1,0,harpb003,12,SFBX,43/G34
play,1,0,castn001,01,CH,HP
play,1,0,hoskr001,22,BFCBX,63/G6
play,1,1,solej001,32,TBBBCX,S6/G56
play,1,1,sancj003,12,FBSC,K
play,1,1,aguij001,00,X,7/F7LD
play,1,1,wendj002,00,X,7/F7S
play,2,0,schwk001,01,CX,S5/G5
play,2,0,seguj002,00,X,3/P3F/FL
play,2,0,gregd001,02,CTX,7/F7LSF/FL
play,2,0,camaj001,32,SBB1BT>F>F>F>*B,W.1-2
play,2,0,muzzs001,00,X,7/F7LS
play,2,1,andeb006,31,BBBCB,W
play,2,1,chisj001,00,X,T9/G3.1-H
play,2,1,delab001,12,FFBX,S7/G6.3-H
play,2,1,rojam002,22,BC*B11CX,T9/L9LS.1-H
play,2,1,henrp001,01,CX,13/G4MS
play,2,1,solej001,00,X,3/G34
play,2,1,sancj003,20,BBX,S9/L9.3-H
play,2,1,aguij001,12,C*BS*S,K
play,3,0,realj001,12,BFTFFFFS,K
play,3,0,harpb003,11,BCX,S7/L7L
play,3,0,castn001,10,BX,53/G5.1-2
play,3,0,hoskr001,02,CFS,K
play,3,1,wendj002,02,CFX,13/G13
play,3,1,andeb006,32,BBCCBB,W
play,3,1,chisj001,02,CCS,K
play,3,1,delab001,21,BFBX,S8/L8.1-2
play,3,1,rojam002,00,X,S7/L7.2-H;1-2
play,3,1,henrp001,01,FX,9/F9
play,4,0,schwk001,32,BFBBCS,K
play,4,0,seguj002,01,CX,8/F8D
