Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,fraza001,10,BX,3/G3+
play,1,0,frant002,11,BTH,HP
play,1,0,winkj002,10,BX,7/F78S
play,1,0,hanim001,01,CX,HR/F78XD.1-H
play,1,0,suare001,02,CCC,K
play,1,1,buxtb001,01,CX,53/G5S
play,1,1,corrc001,01,SX,S8/L89D+
play,1,1,polaj001,00,X,8/F8
play,1,1,urshg001,02,CFX,64(1)/FO/G6S.B-1
play,2,0,kelej001,12,BFCX,8/L8XD
play,2,0,rodrj007,00,X,23/G2-
play,2,0,crawj002,31,CBBBB,W
play,2,0,ralec001,22,1CBFBS,K
play,2,1,sanom001,32,BBBCTT,K
play,2,1,kiria001,01,CX,9/F89D+
play,2,1,sancg002,02,FFX,7/F78
play,3,0,fraza001,22,CBFFBX,8/F78D
play,3,0,frant002,31,BBSBB,W
play,3,0,winkj002,32,BFBBFFB,W.1-2
play,3,0,hanim001,00,X,64(1)/FO/G6+.2-3;B-1
play,3,0,suare001,12,BFFFS,K
play,3,1,jeffr002,30,BBBB,W
play,3,1,keplm001,01,FH,HP.1-2
play,3,1,buxtb001,12,SCFBFFS,K
play,3,1,corrc001,02,SFFX,14(1)3/GDP/G13
play,4,0,kelej001,01,FX,5/P5F/FL
play,4,0,rodrj007,12,FSBS,K
play,4,0,crawj002,32,BCBBCB,W
play,4,0,ralec001,01,FX,S5/G5-.1-2
play,4,0,fraza001,12,BSSFX,8/L8XD
play,4,1,polaj001,11,BSX,63/G6
play,4,1,urshg001,10,BX,HR/F78XD
play,4,1,sanom001,32,BCBBTX,4/F8S
play,4,1,kiria001,12,SCFBS,K
play,5,0,frant002,00,,NP
play,5,0,frant002,02,.CSX,S9/L9
play,5,0,winkj002,10,*BX,S8/L8+.1-2
play,5,0,hanim001,00,B,WP.2-3;1-2
play,5,0,hanim001,12,B.CSS,K
play,5,0,suare001,02,CSS,K
play,5,0,kelej001,02,SSFC,K
play,5,1,sancg002,00,X,3/P34S
play,5,1,jeffr002,11,CBX,S7/L7D+
play,5,1,keplm001,31,BFBBB,W.1-2
play,5,1,buxtb001,02,FTS,K
play,5,1,corrc001,12,BCSX,8/L8
play,6,0,rodrj007,12,BFSC,K
play,6,0,crawj002,01,CX,13/G1S-
play,6,0,ralec001,31,BCBBB,W
play,6,0,fraza001,21,B*BFX,53/G6
play,6,1,polaj001,32,BBBCCB,W
play,6,1,urshg001,10,BX,46(1)3/GDP/G4
play,6,1,sanom001,32,FBFBBB,W
play,6,1,kiria001,12,CSFB>S,K
play,7,0,frant002,00,,NP
play,7,0,frant002,31,.BCBBB,W
play,7,0,winkj002,12,SBSX,S8/L78.1-2
play,7,0,hanim001,10,BX,54(1)3/GDP/G56S.2-3
play,7,0,suare001,01,FX,7/F78
play,7,1,sancg002,12,FBSX,53/G56S
play,7,1,jeffr002,00,X,8/L8D+
play,7,1,keplm001,12,BSCX,8/L89D
play,8,0,kelej001,00,,NP
play,8,0,kelej001,12,.CBSS,K
play,8,0,rodrj007,10,BX,9/L9D
play,8,0,crawj002,02,CSS,K
play,8,1,buxtb001,00,,NP
play,8,1,buxtb001,22,.BSBSX,6/P6S
play,8,1,corrc001,32,BBCBSX,53/G56
play,8,1,polaj001,01,CX,7/F7
play,9,0,ralec001,31,BBFBB,W
play,9,0,fraza001,12,C*BSX,6/L6D
play,9,0,frant002,12,CBCC,K
play,9,0,winkj002,12,CFBFX,43/G34D
play,9,1,urshg001,00,,NP
play,9,1,urshg001,00,.,NP
play,9,1,arral001,22,..CFFFBFFBX,S8/F8S
play,9,1,sanom001,21,*B1FBX,2/P2F/FL
play,9,1,kiria001,12,S1*BC*S,K
play,9,1,sancg002,00,,NP
play,9,1,sancg002,22,.CF*BBFX,7/F7D+
play,1,0,fraza001,02,CCFX,8/L8XD
play,1,0,frant002,21,BBFX,43/G4D
play,1,0,winkj002,10,BX,8/F89
play,1,1,buxtb001,22,BSCBFFFC,K
play,1,1,arral001,20,BBX,HR/F9D
play,1,1,corrc001,31,BBCBB,W
play,1,1,polaj001,32,BBCBSS,K
play,1,1,kiria001,02,1CSS,K.BX1(23)
play,2,0,hanim001,11,BSX,E5/G56S.B-1
play,2,0,toroa001,02,FFFC,K
play,2,0,kelej001,01,FX,65(1)/FO/G4.B-1
play,2,0,rodrj007,01,C>S,SB2
play,2,0,rodrj007,12,C>S.BC,K
play,2,1,sanom001,11,CBX,8/F89XD+
play,2,1,keplm001,00,X,63/G13
play,2,1,jeffr002,12,BFCX,S9/L9LS
play,2,1,gordn001,32,BCSBFF*B>F>F>X,S9/G4+.1-3
play,2,1,buxtb001,11,BFH,HP.1-2
play,2,1,arral001,22,BF*BCFX,7/F7L
play,3,0,crawj002,02,CFX,S9/L9LD
play,3,0,murpt002,32,F1FFBBB*B,W.1-2
play,3,0,fraza001,22,FB*BFFX,5(2)3/GDP/G56S.1-2
play,3,0,frant002,02,SSX,D7/F78XD.2-H
play,3,0,winkj002,30,BBBB,W
play,3,0,hanim001,12,SC*BC,K
play,3,1,corrc001,12,CSBS,K
play,3,1,polaj001,22,BSBSS,K
play,3,1,kiria001,32,BBBFSX,7/F56D
play,4,0,toroa001,02,SSX,13/G34S
play,4,0,kelej001,01,CX,3/G3
play,4,0,rodrj007,22,FBFBC,K
play,4,1,sanom001,00,X,4/L6MD
play,4,1,keplm001,02,CCFS,K
play,4,1,jeffr002,22,FBBCX,31/G34
play,5,0,crawj002,11,CBX,6/P4MS
play,5,0,murpt002,22,BBCSX,HR/F89XD
play,5,0,fraza001,22,FCBBX,3/P3
play,5,0,frant002,11,SBX,S9/G4
play,5,0,winkj002,00,,NP
play,5,0,winkj002,11,.BCX,5/P56S
play,5,1,gordn001,02,CFS,K
play,5,1,buxtb001,01,CX,6/P6
play,5,1,arral001,11,BFX,43/G34
play,6,0,hanim001,22,CFBBX,9/L9D
play,6,0,toroa001,12,BFFX,63/G6D
play,6,0,kelej001,31,BBBFB,W
play,6,0,rodrj007,01,F1,PO1(13)
play,6,1,corrc001,00,,NP
play,6,1,corrc001,02,.TCF*S,K
play,6,1,polaj001,32,BFBSFBFFS,K
play,6,1,kiria001,11,BSX,8/F8
play,7,0,rodrj007,00,,NP
play,7,0,rodrj007,32,.FFBBBC,K
play,7,0,crawj002,02,FSX,S5/G56
play,7,0,murpt002,00,X,S56/G6+.1-2
play,7,0,fraza001,22,CFBBX,96(1)/FO/L9.2-3;B-1
play,7,0,frant002,22,BFBFX,7/L7
play,7,1,sanom001,00,,NP
play,7,1,sanom001,22,.CBBSFC,K
play,7,1,keplm001,12,CFBFX,3/G3
play,7,1,jeffr002,21,BBCX,3/P3F/FL
play,8,0,winkj002,00,,NP
play,8,0,winkj002,32,.BCSFBBF*B,W
play,8,0,hanim001,12,CFBX,9/F9
