Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,herne001,30,BBBB,W
play,1,0,dever001,01,CX,HR/F9D.1-H
play,1,0,bogax001,21,BCBX,S7/L7D+
play,1,0,martj006,12,B*SFX,D9/L9L.1-H
play,1,0,verda001,21,BCBX,13/G1
play,1,0,stort001,22,BS*S*BX,5/P5SF/FL
play,1,0,dalbb001,12,BCSS,K
play,1,1,donaj001,00,X,43/G4
play,1,1,judga001,00,X,S9/L9LS
play,1,1,rizza001,10,BX,HR/F89XD.1-H
play,1,1,stanm004,02,CCS,K
play,1,1,lemad001,02,CFX,13/G1
play,2,0,bradj001,10,BX,9/F9S
play,2,0,vazqc001,22,BFFBFH,HP
play,2,0,herne001,00,X,54(1)3/GDP/G56
play,2,1,gallj002,12,CFBC,K
play,2,1,hicka001,32,CCBBBFFS,K
play,2,1,higak001,00,X,S8/G6M
play,2,1,kinei001,02,SC1,PO1(E1/TH).1-2
play,2,1,kinei001,02,SC1.FX,53/G56
play,3,0,dever001,22,BSBFX,63/G4MD
play,3,0,bogax001,22,BBSSC,K
play,3,0,martj006,11,FBX,53/G56S
play,3,1,donaj001,02,CSX,43/G4
play,3,1,judga001,01,SX,53/G56
play,3,1,rizza001,12,CSBX,8/F8D
play,4,0,verda001,22,SBBCFFFFX,S9/L9D+
play,4,0,stort001,00,X,9/F9S
play,4,0,dalbb001,12,1SSBC,K
play,4,0,bradj001,22,B1FCBX,9/F9
play,4,1,stanm004,11,FBX,HR/L9D
play,4,1,lemad001,31,BBCBB,W
play,4,1,gallj002,02,FFS,K
play,4,1,hicka001,12,BFFS,K
play,4,1,higak001,00,X,FC6/G6D.1-2(E6);B-1
play,4,1,kinei001,21,*BSBX,4(1)/FO/G4.B-1
play,5,0,vazqc001,00,,NP
play,5,0,vazqc001,12,.SBSX,S7/L78D+
play,5,0,herne001,11,1S*BX,4(1)3/GDP/G4
play,5,0,dever001,11,FBX,7/F7S
play,5,1,donaj001,12,BSSX,S8/G6M
play,5,1,judga001,12,CSBFFS,K
play,5,1,rizza001,00,H,HP.1-2
play,5,1,stanm004,22,BBFSS,K
play,5,1,lemad001,12,SSBX,7/L7+
play,6,0,bogax001,00,,NP
play,6,0,bogax001,02,.FFX,D7/G56
play,6,0,martj006,02,SSX,43/G4.2-3
play,6,0,verda001,10,BX,S9/G4.3-H
play,6,0,stort001,10,BX,64(1)/FO/G6.B-1
play,6,0,dalbb001,21,1BFB1X,S8/L8.1-2
play,6,0,bradj001,00,,NP
play,6,0,bradj001,30,.BBB*B,W.2-3;1-2
play,6,0,vazqc001,12,BCCS,K
play,6,1,gallj002,00,,NP
play,6,1,gallj002,12,.CSBS,K
play,6,1,hicka001,12,SBFX,S8/L89+
play,6,1,higak001,02,1CS1S,K
play,6,1,kinei001,12,CFB1>S,K
play,7,0,herne001,00,,NP
play,7,0,herne001,22,.CSBBX,43/G4MD
play,7,0,dever001,22,FBFBS,K
play,7,0,bogax001,00,X,63/G6
play,7,1,donaj001,11,BFX,7/L7L
play,7,1,judga001,12,SSBX,63/G6
play,7,1,rizza001,31,BBBCX,4/P9LS
play,8,0,martj006,12,BFFFFX,9/L89
play,8,0,verda001,00,,NP
play,8,0,verda001,12,.CBS*S,K
play,8,0,stort001,00,X,9/F9D
play,8,1,stanm004,22,CCBBFC,K
play,8,1,lemad001,12,SBFFX,HR/F89XD
play,8,1,gallj002,00,,NP
play,8,1,gallj002,32,.BBCFBB,W
play,8,1,hicka001,32,*BBBCCS,K
play,8,1,higak001,21,BBFX,6/P6D
play,9,0,dalbb001,00,,NP
play,9,0,dalbb001,21,.BSBX,5/P56
play,9,0,bradj001,00,,NP
play,9,0,arroc001,02,.FCS,K
play,9,0,vazqc001,22,CBFBS,K
play,9,1,kinei001,00,,NP
play,9,1,kinei001,00,.,NP
play,9,1,kinei001,00,..X,63/G6
play,9,1,donaj001,02,CSFC,K
play,9,1,judga001,00,X,D7/L7LD+
play,9,1,rizza001,30,VVVV,IW
play,9,1,stanm004,02,*SFS,K
play,10,0,herne001,00,,NP
play,10,0,herne001,00,..,NP
play,10,0,herne001,02,...SSS,K
play,10,0,dever001,30,VVVV,IW
play,10,0,bogax001,21,BBCX,S7/L7S.2-H(UR);1-2
play,10,0,martj006,20,BBX,54(1)3/GDP/G56
play,10,1,lemad001,00,,NP
play,10,1,lemad001,00,.,NP
play,10,1,lemad001,00,..,NP
play,10,1,lemad001,00,....,NP
play,10,1,lemad001,11,.....FBH,HP
play,10,1,gallj002,11,BFX,63/G4.2-3;1-2
play,10,1,hicka001,30,VVVV,IW
play,10,1,higak001,00,,NP
play,10,1,higak001,00,.,NP
play,10,1,torrg001,02,..FSFX,8/SF/F78XD.3-H(UR)
play,10,1,kinei001,32,CSFF*B*BB>F>F>S,K
play,11,0,verda001,00,.,NP
play,11,0,verda001,12,...BCSS,K
play,11,0,stort001,22,CSBBS,K
play,11,0,dalbb001,12,CBCX,63/G6
play,11,1,donaj001,00,,NP
play,11,1,donaj001,11,..BCX,S8/G4M.2-H(UR)
play,1,0,herne001,21,BBFX,63/G6S
play,1,0,dever001,12,BFFC,K
play,1,0,bogax001,22,BBFSS,K
play,1,1,donaj001,22,CFBBX,5/L56
play,1,1,judga001,12,BFSX,43/G6MS
play,1,1,rizza001,00,X,5/P6
play,2,0,martj006,11,FBX,S6/G15
play,2,0,verda001,21,CB*BX,HR/F9D.1-H
play,2,0,stort001,32,CFFBBBX,D78/L78
play,2,0,dalbb001,12,CS*B2X,53/G25
play,2,0,bradj001,00,2X,31/G3S.2-3
play,2,0,vazqc001,32,CBFBFBFFFFFX,13/G1
play,2,1,stanm004,10,BX,63/G6MS
play,2,1,lemad001,22,CBFBFT,K
play,2,1,gallj002,21,BBCX,S9/F9LD+.BX2(96)
play,3,0,herne001,22,CFBBS,K
play,3,0,dever001,00,X,D7/F7D+
play,3,0,bogax001,32,BC*BBCC,K
play,3,0,martj006,22,2FBFFBS,K
play,3,1,torrg001,02,SFS,K
play,3,1,higak001,12,FBCS,K
play,3,1,kinei001,01,CX,43/G89S
play,4,0,verda001,20,BBX,S7/L78
play,4,0,stort001,00,,NP
play,4,0,stort001,30,.BBBB,W.1-2
play,4,0,dalbb001,12,BCFFFF*S,K
play,4,0,bradj001,12,BFFX,46(1)/FO/G4S.2-3;B-1
play,4,0,vazqc001,12,BCF>C,K
play,4,1,donaj001,11,SBX,S7/L5D
play,4,1,judga001,11,CBX,8/F8XD+.1-2
play,4,1,rizza001,11,BCX,HR/F89XD.2-H
play,4,1,stanm004,11,BSX,53/G56
play,4,1,lemad001,32,BBFBF*B,W
play,4,1,gallj002,30,*B*BBB,W.1-2
play,4,1,torrg001,00,X,3/P3F/FL
play,5,0,herne001,00,,NP
play,5,0,herne001,22,.BBFFX,6/P56
play,5,0,dever001,11,BSX,5/P5F/FL
