id,MIN202205290
version,2
info,visteam,KCA
info,hometeam,MIN
info,site,MIN04
info,date,2022/05/29
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,addir901
info,ump1b,welkb901
info,ump2b,bakej902
info,ump3b,becka901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,83
info,winddir,rtol
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,185
info,attendance,27195
info,wp,grays001
info,lp,greiz001
info,save,
start,merrw001,"Whit Merrifield",0,1,8
start,benia002,"Andrew Benintendi",0,2,7
start,wittb002,"Bobby Witt Jr.",0,3,6
start,peres002,"Salvador Perez",0,4,2
start,melem001,"MJ Melendez",0,5,9
start,dozih001,"Hunter Dozier",0,6,3
start,santc002,"Carlos Santana",0,7,10
start,rivee001,"Emmanuel Rivera",0,8,5
start,lopen001,"Nicky Lopez",0,9,4
start,greiz001,"Zack Greinke",0,0,1
start,buxtb001,"Byron Buxton",1,1,10
start,corrc001,"Carlos Correa",1,2,6
start,arral001,"Luis Arraez",1,3,3
start,polaj001,"Jorge Polanco",1,4,4
start,urshg001,"Gio Urshela",1,5,5
start,garlk001,"Kyle Garlick",1,6,9
start,lewir003,"Royce Lewis",1,7,8
start,larnt001,"Trevor Larnach",1,8,7
start,jeffr002,"Ryan Jeffers",1,9,2
start,grays001,"Sonny Gray",1,0,1
play,1,0,merrw001,32,BCFBFFBX,8/F89XD
play,1,0,benia002,00,X,8/L8D
play,1,0,wittb002,32,CBBFBF*S,K.BX1(23)
play,1,1,buxtb001,32,BBCBCB,W
play,1,1,corrc001,00,X,54(1)/FO/G56S.B-1
com,"$Twins challenged (force play), call on the field was upheld."
play,1,1,arral001,22,BBCCFX,6/P56D
play,1,1,polaj001,32,CBBBC>B,W.1-2
play,1,1,urshg001,10,BX,64(1)/FO/G6.B-1
play,2,0,peres002,10,BX,5/L5+
play,2,0,melem001,21,BCBX,S6/G4S-
play,2,0,dozih001,00,X,7/F78
play,2,0,santc002,11,B1FX,43/G3D
play,2,1,garlk001,12,CFBX,53/G56
play,2,1,lewir003,01,CX,7/F7
play,2,1,larnt001,11,BFX,S8/F8
play,2,1,jeffr002,32,BCB1BC>C,K
play,3,0,rivee001,10,BX,8/F8XD+
play,3,0,lopen001,12,CBCX,13/G4MS-
play,3,0,merrw001,22,CBBFS,K
play,3,1,buxtb001,21,BBCX,S6/G6M
play,3,1,corrc001,31,BBCB1X,7/F7LS
play,3,1,arral001,11,11BCX,S7/G6.1-2
play,3,1,polaj001,31,CBBBX,7/F78
play,3,1,urshg001,00,X,HR/F7D.2-H;1-H
play,3,1,garlk001,00,X,3/P3
play,4,0,benia002,00,,NP
sub,gordn001,"Nick Gordon",1,7,8
play,4,0,benia002,12,.CBCS,K
play,4,0,wittb002,22,BBCFFX,63/G6
play,4,0,peres002,02,CSX,8/F8XD
play,4,1,gordn001,12,CFBX,HR/F89XD
play,4,1,larnt001,32,CBBFBX,HR/F7D
com,"$Twins center fielder Royce Lewis left the game due to an injured knee."
play,4,1,jeffr002,01,.FX,8/F89XD+
play,4,1,buxtb001,12,CSBFX,53/G56S
play,4,1,corrc001,22,CSBBS,K
play,5,0,melem001,12,FSBC,K
play,5,0,dozih001,12,BCTX,63/G6
play,5,0,santc002,31,CBBBX,9/L9D
play,5,1,arral001,00,,NP
sub,bolar001,"Ronald Bolanos",0,0,1
play,5,1,arral001,31,.CBBBX,43/G34
play,5,1,polaj001,00,X,43/G34
play,5,1,urshg001,00,X,63/G6
play,6,0,rivee001,11,CBX,63/G6
play,6,0,lopen001,00,X,7/F78S
play,6,0,merrw001,12,FBFFX,23/G2-
play,6,1,garlk001,32,CBBBFX,7/F7LS
play,6,1,gordn001,10,BX,D8/F89XD
play,6,1,larnt001,31,BBBCX,D7/F7LS.2-H
play,6,1,jeffr002,31,CB*BBX,5/P5SF-/FL
play,6,1,buxtb001,10,BS,WP.2-3
play,6,1,buxtb001,11,BS.H,HP
play,6,1,corrc001,12,11FBFX,43/G34+
play,7,0,benia002,12,CFBX,S8/L89
play,7,0,wittb002,31,CBBB,NP
sub,jax-g001,"Griffin Jax",1,0,1
play,7,0,wittb002,32,CBBB.CS,K
play,7,0,peres002,10,BX,9/F9LD
play,7,0,melem001,11,CBX,D9/L89XD.1-H;B-3
play,7,0,dozih001,00,X,S9/L9.3-H
play,7,0,santc002,12,*SSBB,WP.1-2
play,7,0,santc002,32,*SSBB.*BFB,W
play,7,0,rivee001,22,*SBSBC,K
play,7,1,arral001,00,,NP
sub,clart003,"Taylor Clarke",0,0,1
play,7,1,arral001,12,.CBFX,S7/L7LS
play,7,1,polaj001,21,1CBBX,S9/L9D+.1-3
play,7,1,urshg001,22,C1FB*B*S,K
com,"$Twins pitcher Sonny Gray left the game due to an injured arm."
play,7,1,garlk001,21,.B*BCX,D7/G5.3-H;1-3
play,7,1,gordn001,22,FBFB+3,PO3(25)
play,7,1,gordn001,32,FBFB+3.BFFX,31/G3
play,8,0,lopen001,00,,NP
sub,thiec001,"Caleb Thielbar",1,0,1
play,8,0,lopen001,31,.BFBBX,S8/L78D+
play,8,0,merrw001,00,N,BK.1-2
play,8,0,merrw001,12,N.BCFT,K
play,8,0,benia002,02,SSFX,S9/L9LD+.2-H
play,8,0,wittb002,02,CFX,54(1)/FO/G56.B-1
play,8,0,peres002,32,B1BBCS>S,K
play,8,1,larnt001,00,,NP
sub,peacm001,"Matt Peacock",0,0,1
play,8,1,larnt001,32,.CBBSBS,K
play,8,1,jeffr002,31,FBBBB,W
play,8,1,buxtb001,00,X,54(1)/FO/G56S.B-1
play,8,1,corrc001,02,CFS,K
play,9,0,melem001,00,,NP
sub,pagae001,"Emilio Pagan",1,0,1
play,9,0,melem001,20,.BBX,4/L34D+
play,9,0,dozih001,10,BX,D5/F7LS
play,9,0,santc002,01,CX,63/G4+.2-3
play,9,0,rivee001,12,CBFFX,53/G6S+
data,er,greiz001,5
data,er,clart003,1
data,er,bolar001,1
data,er,peacm001,0
data,er,pagae001,0
data,er,thiec001,1
data,er,grays001,1
data,er,jax-g001,1
id,MIN202208160
version,2
info,visteam,KCA
info,hometeam,MIN
info,site,MIN04
info,date,2022/08/16
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,merzd901
info,ump1b,rehaj901
info,ump2b,wolcq901
info,ump3b,wegnm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/10/09 09:01:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,78
info,winddir,tolf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,181
info,attendance,23093
info,wp,grays001
info,lp,greiz001
info,save,
start,melem001,"MJ Melendez",0,1,9
start,wittb002,"Bobby Witt Jr.",0,2,5
start,peres002,"Salvador Perez",0,3,2
start,pasqv001,"Vinnie Pasquantino",0,4,10
start,massm001,"Michael Massey",0,5,4
start,taylm002,"Michael A. Taylor",0,6,8
start,pratn001,"Nick Pratto",0,7,3
start,isbek001,"Kyle Isbel",0,8,7
start,lopen001,"Nicky Lopez",0,9,6
start,greiz001,"Zack Greinke",0,0,1
start,arral001,"Luis Arraez",1,1,4
start,corrc001,"Carlos Correa",1,2,6
start,buxtb001,"Byron Buxton",1,3,10
start,miraj002,"Jose Miranda",1,4,3
start,keplm001,"Max Kepler",1,5,9
start,urshg001,"Gio Urshela",1,6,5
start,gordn001,"Nick Gordon",1,7,7
start,celeg001,"Gilberto Celestino",1,8,8
start,leons001,"Sandy Leon",1,9,2
start,grays001,"Sonny Gray",1,0,1
play,1,0,melem001,22,CBCBFX,6/L4D
play,1,0,wittb002,02,CF*S,K
play,1,0,peres002,12,SFBX,53/G5
play,1,1,arral001,00,X,S8/L78D
play,1,1,corrc001,22,CC*BBX,S8/F8S.1-2
play,1,1,buxtb001,01,CX,3/P3D
play,1,1,miraj002,32,BS*BBCC,K
play,1,1,keplm001,22,*BCF*BC,K
play,2,0,pasqv001,32,BSCBBB,W
play,2,0,massm001,32,B*SBBFC,K
play,2,0,taylm002,22,*S*BSBC,K
play,2,0,pratn001,32,*BBBCC>F>C,K
play,2,1,urshg001,32,CBBFBX,S7/L78D
play,2,1,gordn001,11,CBX,9/F9LD+
play,2,1,celeg001,11,BCB,WP.1-2
play,2,1,celeg001,22,BCB.FFX,E5/G56S.2-3;B-1
play,2,1,leons001,00,X,13/SH/BG2-.3-H(UR);1-2
play,2,1,arral001,21,CBBX,S8/L8.2-H(UR);BX2(814)
play,3,0,isbek001,00,X,3/G3
play,3,0,lopen001,02,CFS,K
play,3,0,melem001,22,BBCCC,K
play,3,1,corrc001,12,CBSC,K
play,3,1,buxtb001,32,BBFFBS,K
play,3,1,miraj002,22,FBBSX,S9/L89
play,3,1,keplm001,00,X,3/G3
play,4,0,wittb002,22,BBFSFX,S9/F89S
play,4,0,peres002,12,FF*BX,7/L78D
play,4,0,pasqv001,10,B>B,SB2
play,4,0,pasqv001,22,B>B.CFX,63/G4M.2-3
play,4,0,massm001,02,S*ST,K
play,4,1,urshg001,12,BFFX,3/L34
play,4,1,gordn001,11,BSX,7/L7D
play,4,1,celeg001,01,CX,HR/F7D
play,4,1,leons001,12,CBCFFC,K
play,5,0,taylm002,32,CSBBBC,K
play,5,0,pratn001,01,SX,53/G6S
play,5,0,isbek001,11,BCX,63/G4
play,5,1,arral001,00,X,63/G6
play,5,1,corrc001,32,CBFBBFX,53/G5
play,5,1,buxtb001,00,X,S7/L7
play,5,1,miraj002,12,FB>FX,S8/G6M+.1-3
play,5,1,keplm001,00,X,9/L9D+
play,6,0,lopen001,12,FSBT,K
play,6,0,melem001,22,CCBBS,K
play,6,0,wittb002,11,BCX,53/G5S
play,6,1,urshg001,01,SX,S7/L7LS
play,6,1,gordn001,01,SX,31/G3.1-2
play,6,1,celeg001,12,CCBX,43/G34.2-3
play,6,1,leons001,11,BCX,7/F7LD
play,7,0,peres002,11,BCX,S8/L8D
play,7,0,pasqv001,01,LX,S7/G6.1-2
play,7,0,massm001,00,..,NP
sub,thiec001,"Caleb Thielbar",1,0,1
play,7,0,massm001,32,...CBBSBX,36(1)/FO/G3.2-3;B-1
play,7,0,taylm002,22,BBCSS,K
play,7,0,pratn001,32,FFB*BB>C,K
play,7,1,arral001,00,,NP
sub,millw002,"Wyatt Mills",0,0,1
play,7,1,arral001,32,.BBCFFBX,D9/L9D+
play,7,1,corrc001,32,BCBCBFB,W
play,7,1,buxtb001,22,.FFBBX,14(1)/FO/G1S.2-3;B-1
play,7,1,miraj002,30,BBBB,W.1-2
play,7,1,keplm001,00,.X,46(1)/FO/G4.3-H;2-3;B-1
com,"$Royals challenged (play at 1st), call on the field was upheld."
play,7,1,urshg001,00,X,S8/G6M.3-H;1-2
play,7,1,gordn001,10,BX,D9/F9+.2-H;1-3
play,7,1,celeg001,00,.,NP
sub,weavl001,"Luke Weaver",0,0,1
play,7,1,celeg001,30,..BBBB,W
play,7,1,leons001,21,BCBX,4/F9LSF/FL
play,8,0,isbek001,00,,NP
sub,fulmm001,"Michael Fulmer",1,0,1
play,8,0,isbek001,12,.BSFS,K
play,8,0,lopen001,10,BX,S7/G56
play,8,0,melem001,00,X,3/L3/DP.1X1(3)
play,8,1,arral001,00,,NP
sub,garcm003,"Maikel Garcia",0,9,6
play,8,1,arral001,11,.CBX,E4/TH/G4.B-1
play,8,1,corrc001,12,BFSS,K
play,8,1,buxtb001,00,X,S7/L78D+.1-3
play,8,1,miraj002,32,CBBFFBX,S7/G6.3-H(UR);1-2
play,8,1,keplm001,12,BFFFX,36(1)/FO/G3.2-3;B-1
play,8,1,urshg001,02,C*SX,S9/L9L.3-H(UR);1-3
play,8,1,gordn001,01,*SX,S7/L7.3-H(UR);1-2
play,8,1,celeg001,02,.FSS,K
