Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,varsd001,21,CBBX,D9/L9LD+
play,1,1,smitp002,22,CCBBX,HR/F9D.2-H
play,1,1,martk001,22,CBBSFS,K
play,1,1,walkc002,12,CBCX,HR/F9D
play,1,1,perad001,12,BCST,K
play,1,1,mccaj003,22,CBSBS,K
play,2,1,perdg001,01,CX,6/L4D
play,2,1,ellid002,12,CSBS,K
play,2,1,greig001,32,CBFBBB,W
play,2,1,varsd001,11,FBX,43/G34
play,3,1,smitp002,32,BCBFBFB,W
play,3,1,martk001,32,BCFBB1>B,W.1-2
play,3,1,walkc002,10,BX,5/L5
play,3,1,perad001,21,BBFX,S9/G34.2-H;1-3;B-2
play,3,1,mccaj003,12,TBSX,43/G34.3-H;2-3
play,3,1,perdg001,32,CC*BBBFX,6/L4M
play,4,1,hagej001,02,FFS,K
play,4,1,greig001,02,CFX,S8/G4M
play,4,1,varsd001,02,FFX,56(1)/FO/G6.B-1
play,4,1,smitp002,31,1CB*BB>B,W.1-2
play,4,1,martk001,00,,NP
