Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mullc002,00,X,S9/G4
play,1,1,manct001,01,CX,S8/L8.1-2
play,1,1,santa003,32,BBCBFFFX,5/P5SF/FL
play,1,1,haysa001,10,BX,S9/F34D.2-3;1-2
play,1,1,mounr001,12,SFBX,4/P6MD
play,1,1,odorr001,01,FX,6(1)/FO/G4.B-1
play,2,1,uriar001,32,BSBFBC,K
play,2,1,bemba001,00,X,63/G4
play,2,1,matej003,00,X,S7/L78
play,2,1,mullc002,10,1B>B,SB2
play,2,1,mullc002,32,1B>B.FBFFX,DGR/F89XD.2-H
play,2,1,manct001,00,X,53/G6
play,3,1,santa003,00,,NP
play,3,1,santa003,00,.,NP
play,3,1,santa003,12,..SSBX,8/F78XD
play,3,1,haysa001,00,X,S9/L9S+
play,3,1,mounr001,12,CF*BFFX,S9/G34.1-2
play,3,1,odorr001,21,BCBX,16(1)/FO/G1.2-3;B-1
play,3,1,uriar001,22,BBCF>F>S,K
play,4,1,bemba001,11,BFX,8/L8
play,4,1,matej003,12,CSBS,K
play,4,1,mullc002,01,FX,7/L78D+
play,5,1,manct001,31,BFBBX,3/P3F/FL
play,5,1,santa003,00,X,8/F89XD
play,5,1,haysa001,11,CBX,S9/F9LS
play,5,1,mounr001,12,BFFFFFX,D7/F7D+.1-H
play,5,1,odorr001,31,BFB*BX,7/F7
play,6,1,uriar001,00,X,S7/G56
play,6,1,bemba001,21,BB1CX,46(1)/FO/G34D.B-1
play,6,1,matej003,01,CX,4/P3D
play,6,1,mullc002,00,,NP
