Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,greer003,21,BBCX,S9/G34
play,1,1,baezj001,22,C*BBFFFFF1X,6/P8S
play,1,1,casth001,10,BX,41/G3.1-2
play,1,1,cabrm001,32,TBBFBS,K
play,2,1,carpk001,10,BX,7/F78D
play,2,1,torks001,02,SCX,9/F89D
play,2,1,schoj001,10,BX,4/P4D
play,3,1,barnt001,12,CFBX,9/L9D
play,3,1,badda001,22,CCBBX,S5/G56
play,3,1,greer003,31,B+1B*BC11,PO1(13)
play,3,1,greer003,32,B+1B*BC11.CFB,W
play,3,1,baezj001,01,FX,4/F34D
play,4,1,casth001,22,CFBBX,63/G4
play,4,1,cabrm001,12,BCF*S,K
play,4,1,carpk001,21,FBBX,13/G13
play,5,1,torks001,21,TBBX,5/P5F/FL
play,5,1,schoj001,01,CX,S6/F8S
play,5,1,barnt001,00,X,46(1)3/GDP/G34
play,6,1,badda001,22,CBBCX,8/F89D
play,6,1,greer003,12,BFTX,7/F7D
play,6,1,baezj001,01,FX,8/F78XD
play,7,1,casth001,21,CBBX,S8/L8
play,7,1,cabrm001,11,BFX,54(1)3/GDP/G56
play,7,1,carpk001,01,FX,63/G4
play,8,1,torks001,00,,NP
