Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,stram002,01,FX,S9/G34
play,1,0,rosaa003,01,CX,14(1)3/GDP/G1S
play,1,0,ramij003,02,CFX,8/L8XD
play,2,0,reyef001,11,BCX,53/G5
play,2,0,bradb002,00,X,31/G3
play,2,0,chany001,22,CTBFFBFX,7/F7LD
play,3,0,kwans001,10,BX,63/G6
play,3,0,hedga001,12,CCBX,3/P3S
play,3,0,gimea001,22,CBFBX,53/G56
play,4,0,stram002,22,CBBCFX,S8/L89S
play,4,0,rosaa003,20,BB>C,SB2
play,4,0,rosaa003,32,BB>C.BFX,4/L4
play,4,0,ramij003,32,BBBCSX,D7/L78S.2-H
play,4,0,reyef001,12,SCF*BS,K
play,4,0,bradb002,00,X,3/G3-
play,5,0,chany001,11,BCX,8/F8XD+
play,5,0,kwans001,31,BBCBB,W
play,5,0,hedga001,22,B1CF*BX,46(1)/FO/G4.B-1
play,5,0,gimea001,12,BSCX,1/L1S
play,6,0,stram002,11,CBX,8/F8
play,6,0,rosaa003,22,CFBBX,S9/L9+
play,6,0,ramij003,02,CFX,7/L78D
play,6,0,reyef001,10,1BX,S8/L89D.1-3
play,6,0,bradb002,00,,NP
play,1,0,reyev001,01,CX,31/G3
play,1,0,meada001,32,CBCBBFX,63/G4
play,1,0,schoj001,22,FCBBX,9/F9LD
play,2,0,candj002,10,BX,S9/L9S
play,2,0,cabrm001,01,FX,S7/L78+.1-3
play,2,0,badda001,31,B*BS*BB,W.1-2
play,2,0,torks001,12,BTSH,HP.3-H;2-3;1-2
play,2,0,casth001,00,X,7/SF/F7.3-H
play,2,0,barnt001,32,CSFBFBBX,7/L7L
play,2,0,reyev001,12,.FFBX,4/L4D+
play,3,0,meada001,12,CCBX,53/G6+
play,3,0,schoj001,11,BFX,53/G56
play,3,0,candj002,00,X,63/G4
play,4,0,cabrm001,10,BX,S7/L7LS
play,4,0,badda001,32,CF*BBFBFX,3/P3S
play,4,0,torks001,31,C*BBBX,54(1)3/GDP/G56
play,5,0,casth001,22,CBCBX,7/F7LD
play,5,0,barnt001,31,FBBBX,S8/L8
play,5,0,reyev001,01,CX,6(1)3/GDP/G4M
play,6,0,meada001,22,CCBBX,S9/L9S+
play,6,0,schoj001,01,FB,WP.1-2
play,6,0,schoj001,31,FB.BBX,53/G56
