Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,sprig001,32,BBBCFB,W
play,1,1,guerv002,11,BFX,8/L8
play,1,1,kirka001,11,11C*BX,53/G5.1-2
play,1,1,bichb001,01,CB,WP.2-3
play,1,1,bichb001,22,CB.FFBS,K
play,2,1,hernt002,22,CBBFX,D9/L9L
play,2,1,gurrl001,32,BBCF*BFX,8/F8S
play,2,1,chapm001,32,SCB*BF*BX,S8/L8XD+.2-3
play,2,1,tapir001,00,X,S8/L8+.3-H;1-2
play,2,1,biggc002,21,BFBX,63/G4.2-3;1-2
play,2,1,sprig001,32,BFBBFC,K
play,3,1,guerv002,12,BSSFX,S8/L89D
play,3,1,kirka001,10,BX,FC6/G6.1-2(E6);B-1
play,3,1,bichb001,01,FX,6/L6
play,3,1,hernt002,21,CB*BX,HR/F8XD.2-H(UR);1-H
play,3,1,gurrl001,22,BBFCX,7/F78XD
play,3,1,chapm001,32,BSBFBC,K
play,4,1,tapir001,01,CX,S8/G4M.BX2(84)
play,4,1,biggc002,21,BFBX,S8/L8
play,4,1,sprig001,20,BBX,S5/G5+.1-2
play,4,1,guerv002,01,SX,54(1)3/GDP/G56+
play,5,1,kirka001,00,,NP
play,5,1,kirka001,00,.,NP
