id,NYA202207310
version,2
info,visteam,KCA
info,hometeam,NYA
info,site,NYC21
info,date,2022/07/31
info,number,0
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carlm901
info,ump1b,dejer901
info,ump2b,guccc901
info,ump3b,bakej902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:14
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,82
info,winddir,tocf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,240
info,attendance,45341
info,wp,clart003
info,lp,holmc001
info,save,
start,merrw001,"Whit Merrifield",0,1,4
start,wittb002,"Bobby Witt Jr.",0,2,10
start,peres002,"Salvador Perez",0,3,2
start,dozih001,"Hunter Dozier",0,4,5
start,pasqv001,"Vinnie Pasquantino",0,5,3
start,taylm002,"Michael A. Taylor",0,6,8
start,melem001,"MJ Melendez",0,7,9
start,pratn001,"Nick Pratto",0,8,7
start,garcm003,"Maikel Garcia",0,9,6
start,greiz001,"Zack Greinke",0,0,1
start,lemad001,"DJ LeMahieu",1,1,4
start,judga001,"Aaron Judge",1,2,8
start,rizza001,"Anthony Rizzo",1,3,3
start,torrg001,"Gleyber Torres",1,4,10
start,benia002,"Andrew Benintendi",1,5,7
start,donaj001,"Josh Donaldson",1,6,5
start,carpm002,"Matt Carpenter",1,7,9
start,kinei001,"Isiah Kiner-Falefa",1,8,6
start,higak001,"Kyle Higashioka",1,9,2
start,montj004,"Jordan Montgomery",1,0,1
play,1,0,merrw001,01,CX,9/F9S
play,1,0,wittb002,00,X,S9/L89D
play,1,0,peres002,02,1CSS,K
play,1,0,dozih001,01,1FX,8/L8D
play,1,1,lemad001,12,CBCFC,K
play,1,1,judga001,22,FBBSFX,53/G56S
play,1,1,rizza001,02,FSX,7/L78D
play,2,0,pasqv001,32,BBBCSS,K
play,2,0,taylm002,22,SFBBF*S,K
play,2,0,melem001,02,CFS,K
play,2,1,torrg001,32,BFCBBFC,K
play,2,1,benia002,00,X,43/G4
play,2,1,donaj001,00,X,8/L8XD+
play,3,0,pratn001,12,BCSS,K
play,3,0,garcm003,32,FSBBBX,7/L78D
play,3,0,merrw001,11,BSX,2/BP2
play,3,1,carpm002,22,BCFBX,D9/L9LD
play,3,1,kinei001,00,X,13/G1
play,3,1,higak001,22,BF*BFX,4/P34D
play,3,1,lemad001,12,BCFX,13/G1
play,4,0,wittb002,32,CBSBBX,9/L9
play,4,0,peres002,22,SBBCS,K
play,4,0,dozih001,32,CSFBBBX,3/G3-
play,4,1,judga001,31,BBBCB,W
play,4,1,rizza001,01,C1X,56(1)/FO/G6.B-1
play,4,1,torrg001,11,*BCX,54(1)/FO/G56.B-1
play,4,1,benia002,31,BB1BC*B,W.1-2
play,4,1,donaj001,22,SCFBBX,54(1)/FO/G56S.B-1
play,5,0,pasqv001,32,BBSFBB,W
play,5,0,taylm002,31,BCBBB,W.1-2
play,5,0,melem001,22,CCF*BBFX,S8/L8.2-3;1-2
play,5,0,pratn001,01,FX,S7/F7.3-H;2-H;1-2
play,5,0,garcm003,22,BF2C*BX,D9/G3.2-H;1-3
play,5,0,merrw001,00,,NP
sub,abrea001,"Albert Abreu",1,0,1
play,5,0,merrw001,12,.SBFX,63/G6.3-H
play,5,0,wittb002,31,BS*B*BX,8/F89
play,5,0,peres002,10,BX,2/P2F/FL
play,5,1,carpm002,01,CX,D9/L9L
play,5,1,kinei001,22,BCFBX,31/G3.2-3
play,5,1,higak001,00,X,S9/P4D.3-H
play,5,1,lemad001,11,*BCX,HR/F9LD.1-H
play,5,1,judga001,22,FBCBC,K
play,5,1,rizza001,22,BFFBX,S9/G4
play,5,1,torrg001,32,B*BCFB>X,53/G56S
play,6,0,dozih001,12,FBCS,K
play,6,0,pasqv001,22,CBCBX,7/L7D
play,6,0,taylm002,22,CSBBX,S5/G6S-
play,6,0,melem001,00,,NP
sub,peraw002,"Wandy Peralta",1,0,1
play,6,0,melem001,10,.B1X,S8/L8.1-2
play,6,0,pratn001,30,BBBB,W.2-3;1-2
play,6,0,garcm003,22,BBCFX,43/G34
play,6,1,benia002,00,,NP
