id,SLN202205020
version,2
info,visteam,KCA
info,hometeam,SLN
info,site,STL10
info,date,2022/05/02
info,number,0
info,starttime,12:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mosce901
info,ump1b,hamaa901
info,ump2b,wendh902
info,ump3b,whitc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:31
info,howscored,unknown
info,pitches,pitches
info,oscorer,muelg701
info,temp,62
info,winddir,fromcf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,160
info,attendance,33963
info,wp,matzs001
info,lp,greiz001
info,save,gallg001
start,olive001,"Edward Olivares",0,1,9
start,merrw001,"Whit Merrifield",0,2,4
start,benia002,"Andrew Benintendi",0,3,7
start,peres002,"Salvador Perez",0,4,2
start,santc002,"Carlos Santana",0,5,3
start,dozih001,"Hunter Dozier",0,6,10
start,wittb002,"Bobby Witt Jr.",0,7,5
start,taylm002,"Michael A. Taylor",0,8,8
start,lopen001,"Nicky Lopez",0,9,6
start,greiz001,"Zack Greinke",0,0,1
start,badeh001,"Harrison Bader",1,1,8
start,goldp001,"Paul Goldschmidt",1,2,3
start,oneit001,"Tyler O'Neill",1,3,7
start,arenn001,"Nolan Arenado",1,4,5
start,dickc002,"Corey Dickerson",1,5,10
start,dejop001,"Paul DeJong",1,6,6
start,carld002,"Dylan Carlson",1,7,9
start,kniza001,"Andrew Knizner",1,8,2
start,donob001,"Brendan Donovan",1,9,4
start,matzs001,"Steven Matz",1,0,1
play,1,0,olive001,32,BFSBFBFFFFFS,K
play,1,0,merrw001,32,BFFFBBFX,9/F9S
play,1,0,benia002,21,BBSX,S7/L7
play,1,0,peres002,10,BX,8/F89D
play,1,1,badeh001,11,BCX,4/P8S
play,1,1,goldp001,02,CCX,HR/F7D
play,1,1,oneit001,02,FFC,K
play,1,1,arenn001,02,CFFX,31/G34
play,2,0,santc002,02,CSX,9/F9
play,2,0,dozih001,12,FBCX,63/G6
play,2,0,wittb002,12,CBFX,S6/G6
play,2,0,taylm002,12,1FB1CC,K
play,2,1,dickc002,22,CBFFFBFX,41/G34
play,2,1,dejop001,12,FSFBFX,63/G6
play,2,1,carld002,00,X,53/G56S
play,3,0,lopen001,22,BBFCX,43/G4M
play,3,0,olive001,00,X,D9/F89XD+
play,3,0,merrw001,00,X,9/F89
play,3,0,benia002,20,BBX,31/G34
play,3,1,kniza001,32,CFBBFFFBFFX,7/L78D+
play,3,1,donob001,22,BCCBX,S8/L89
play,3,1,badeh001,11,BCX,64(1)3/GDP/G6S
play,4,0,peres002,22,BFBFX,7/F7D
play,4,0,santc002,11,BFX,D7/L78XD+
play,4,0,dozih001,02,CFS,K
play,4,0,wittb002,22,BBSFFFX,3/P34S
play,4,1,goldp001,32,CSBFBFBX,S8/L8D+
play,4,1,oneit001,11,SBX,8/F8
play,4,1,arenn001,00,X,3/P3SF/FL
play,4,1,dickc002,22,F1BBFFX,13/G1
play,5,0,taylm002,12,SSBX,53/G56S+
play,5,0,lopen001,12,CBSS,K
play,5,0,olive001,00,X,63/G6+
play,5,1,dejop001,32,CBCFBBX,4/P9LSF/FL
play,5,1,carld002,12,CCBX,53/G56S
play,5,1,kniza001,12,CCBFX,8/F8XD+
play,6,0,merrw001,11,CBX,7/L7+
play,6,0,benia002,00,H,HP
play,6,0,peres002,22,11CSF11BB+1FX,4/P89S
play,6,0,santc002,22,FCBBX,8/L8D
play,6,1,donob001,01,CX,43/G4D
play,6,1,badeh001,01,CX,4/P34D
play,6,1,goldp001,11,BCX,3/P3F/FL
play,7,0,dozih001,00,,NP
sub,whitk001,"Kodi Whitley",1,0,1
play,7,0,dozih001,12,.FSFBX,5/P5D
play,7,0,wittb002,22,FFBFBS,K
play,7,0,taylm002,02,SLFFFS,K
play,7,1,oneit001,00,,NP
