id,CIN202206230
version,2
info,visteam,LAN
info,hometeam,CIN
info,site,CIN09
info,date,2022/06/23
info,number,0
info,starttime,12:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wolcq901
info,ump1b,porta901
info,ump2b,rehaj901
info,ump3b,becka901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:31
info,howscored,unknown
info,pitches,pitches
info,oscorer,oconj701
info,temp,84
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,194
info,attendance,21989
info,wp,kersc001
info,lp,greeh001
info,save,
start,turnt001,"Trea Turner",0,1,6
start,freef001,"Freddie Freeman",0,2,3
start,smitw003,"Will Smith",0,3,10
start,muncm001,"Max Muncy",0,4,4
start,taylc001,"Chris Taylor",0,5,9
start,turnj001,"Justin Turner",0,6,5
start,lux-g001,"Gavin Lux",0,7,7
start,bellc002,"Cody Bellinger",0,8,8
start,barna001,"Austin Barnes",0,9,2
start,kersc001,"Clayton Kershaw",0,0,1
start,indij001,"Jonathan India",1,1,10
start,drurb001,"Brandon Drury",1,2,3
start,phamt001,"Tommy Pham",1,3,7
start,farmk001,"Kyle Farmer",1,4,6
start,solad001,"Donovan Solano",1,5,5
start,reynm003,"Matt Reynolds",1,6,4
start,almoa002,"Albert Almora Jr.",1,7,9
start,senzn001,"Nick Senzel",1,8,8
start,okeyc001,"Chris Okey",1,9,2
start,greeh001,"Hunter Greene",1,0,1
play,1,0,turnt001,22,BSBFFX,S9/L9S
play,1,0,freef001,22,1BS1SBF1S,K
play,1,0,smitw003,01,C1>X,7/F78/DP.1X1(73)
play,1,1,indij001,00,X,S8/L78D+
play,1,1,drurb001,02,FC1,PO1(13)
play,1,1,drurb001,32,FC1.BBBC,K
play,1,1,phamt001,10,BX,8/F8D
play,2,0,muncm001,32,BCCBBFX,S56/G4M
play,2,0,taylc001,12,CBSC,K
play,2,0,turnj001,11,1CBX,D7/L7LD+.1-3
play,2,0,lux-g001,32,CBSFFFB*BB,W
play,2,0,bellc002,10,BX,8/SF/DP/L8.3-H;2X3(835)
play,2,1,farmk001,00,X,53/G56
play,2,1,solad001,12,CBFX,D8/L89D
play,2,1,reynm003,22,*BSC*BS,K
play,2,1,almoa002,21,BCBX,63/G6+
play,3,0,barna001,32,CBBFBB,W
play,3,0,turnt001,22,CF*BBX,S7/L7LD+.1X3(75);B-2
play,3,0,freef001,11,F*BX,HR/F89XD.2-H
play,3,0,smitw003,00,X,8/F89
play,3,0,muncm001,22,FBBFFX,S8/L8D
play,3,0,taylc001,12,BSCS,K
play,3,1,senzn001,01,CX,S8/G4
play,3,1,okeyc001,02,CSS,K
play,3,1,indij001,00,>B,SB2
play,3,1,indij001,21,>B.SBX,8/F89
play,3,1,drurb001,00,X,7/F78XD
play,4,0,turnj001,11,CBX,S7/L7
play,4,0,lux-g001,21,CBBX,7/F7S
play,4,0,bellc002,30,BBBX,HR/L9D.1-H
play,4,0,barna001,21,BBFX,53/G56
play,4,0,turnt001,20,BBX,53/G56
play,4,1,phamt001,10,BX,S5/G5+
play,4,1,farmk001,30,B*BBB,W.1-2
play,4,1,solad001,00,X,S7/L7+.2-H;1-2
play,4,1,reynm003,22,BBCFT,K
play,4,1,almoa002,12,BFSC,K
play,4,1,senzn001,12,CF*BFX,9/F89
play,5,0,freef001,32,BCBBCX,6/L6
play,5,0,smitw003,11,CBX,3/P34
play,5,0,muncm001,00,X,HR/F9D
play,5,0,taylc001,22,CBFBFX,9/F89
play,5,1,okeyc001,00,F,FLE2
play,5,1,okeyc001,11,F.BX,63/G6
play,5,1,indij001,22,BCCBX,43/G4M
com,"$Dodgers challenged (play at 1st), call on the field was overturned."
play,5,1,drurb001,01,CX,D3/F9LS
play,5,1,phamt001,31,CBBBX,53/G5+
play,6,0,turnj001,00,,NP
sub,hoffj003,"Jeff Hoffman",1,0,1
play,6,0,turnj001,21,.BBFX,9/F9L
play,6,0,lux-g001,10,BX,5/P56
play,6,0,bellc002,20,BBX,S9/G34+
play,6,0,barna001,11,B1111C>B,SB2
play,6,0,barna001,31,B1111C>B.BB,W
play,6,0,turnt001,20,*BBX,D7/L7LD+.2-H;1-3
play,6,0,freef001,32,FBBF*BX,7/L7L
play,6,1,farmk001,01,CX,S7/G6+
play,6,1,solad001,01,FX,9/F9LS
play,6,1,reynm003,02,F1S*S,K
play,6,1,almoa002,12,SBFS,K
play,7,0,smitw003,10,BX,HR/F7LD
play,7,0,muncm001,31,BCBBX,53/G4
play,7,0,taylc001,22,BSBFS,K
play,7,0,turnj001,00,,NP
sub,cessl001,"Luis Cessa",1,0,1
play,7,0,turnj001,12,.CCBX,D7/F78D
play,7,0,lux-g001,12,CCBF*S,K
play,7,1,senzn001,00,,NP
sub,mckiz001,"Zach McKinstry",0,4,4
play,7,1,senzn001,00,.,NP
sub,thomt002,"Trayce Thompson",0,5,9
play,7,1,senzn001,00,..,NP
