id,ANA202205210
version,2
info,visteam,OAK
info,hometeam,ANA
info,site,ANA01
info,date,2022/05/21
info,number,0
info,starttime,6:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,rackd901
info,ump1b,barbs901
info,ump2b,ortir901
info,ump3b,vanol901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:52
info,howscored,unknown
info,pitches,pitches
info,oscorer,munse701
info,temp,66
info,winddir,tocf
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,39045
info,wp,lorem002
info,lp,kolaa001
info,save,igler001
start,kempt001,"Tony Kemp",0,1,4
start,neuss001,"Sheldon Neuse",0,2,5
start,lowrj001,"Jed Lowrie",0,3,10
start,brows003,"Seth Brown",0,4,3
start,laurr001,"Ramon Laureano",0,5,9
start,murps001,"Sean Murphy",0,6,2
start,barrl001,"Luis Barrera",0,7,7
start,pachc001,"Cristian Pache",0,8,8
start,allen002,"Nick Allen",0,9,6
start,montf001,"Frankie Montas",0,0,1
start,ohtas001,"Shohei Ohtani",1,1,10
start,troum001,"Mike Trout",1,2,8
start,renda001,"Anthony Rendon",1,3,5
start,walsj001,"Jared Walsh",1,4,3
start,marsb002,"Brandon Marsh",1,5,7
start,rengl001,"Luis Rengifo",1,6,4
start,wallc001,"Chad Wallach",1,7,2
start,wadet002,"Tyler Wade",1,8,9
start,velaa001,"Andrew Velazquez",1,9,6
start,lorem002,"Michael Lorenzen",1,0,1
play,1,0,kempt001,01,TX,3/G3
play,1,0,neuss001,00,X,9/F9LS
play,1,0,lowrj001,21,CBBX,7/L7D
play,1,1,ohtas001,22,FFBBFX,S5/G56
play,1,1,troum001,22,SFBB1S,K
play,1,1,renda001,01,11CX,6/L6
play,1,1,walsj001,12,FBSX,43/G34
play,2,0,brows003,00,X,63/G4
play,2,0,laurr001,11,CBH,HP
play,2,0,murps001,20,BBX,54(1)/FO/G56.B-1
play,2,0,barrl001,01,CX,43/G34
play,2,1,marsb002,12,FFFBFS,K
play,2,1,rengl001,00,X,13/L1
play,2,1,wallc001,00,,NP
sub,acevd001,"Domingo Acevedo",0,0,1
play,2,1,wallc001,22,.FSBBX,53/G56
play,3,0,pachc001,02,FCX,9/F9D
play,3,0,allen002,02,CSS,K
play,3,0,kempt001,32,CBBFFFBF*B,W
play,3,0,neuss001,12,C+1CBF1FX,S9/L9.1-3
play,3,0,lowrj001,32,BBBCC>T,K
play,3,1,wadet002,00,,NP
sub,pindc001,"Chad Pinder",0,5,9
play,3,1,wadet002,00,.X,6/P6D
play,3,1,velaa001,11,BFX,53/BG25-
play,3,1,ohtas001,31,CBBBX,3/G3
play,4,0,brows003,12,CBCS,K
play,4,0,pindc001,20,BBX,S7/L78S
play,4,0,murps001,02,FFX,S4/G4.1-2
com,"$Athletics challenged (play at 1st), call on the field was overturned."
play,4,0,barrl001,32,BBCFFFBFFS,K
play,4,0,pachc001,02,FFS,K
play,4,1,troum001,01,CX,9/F9S
play,4,1,renda001,32,BCCFBBX,53/G56S
play,4,1,walsj001,00,,NP
sub,kolaa001,"Adam Kolarek",0,0,1
play,4,1,walsj001,32,.FBFBBX,13/G13
play,5,0,allen002,11,SBX,6/P6D
play,5,0,kempt001,01,CX,63/G34
play,5,0,neuss001,10,BX,63/G6
play,5,1,marsb002,02,CFC,K
play,5,1,rengl001,12,CFBFX,HR/F7D
play,5,1,wallc001,11,CBX,D7/G5
play,5,1,wadet002,02,FMC,K
play,5,1,velaa001,12,CFFFBX,53/G5
play,6,0,lowrj001,32,BBBSFFB,W
play,6,0,brows003,01,CX,4(1)3/GDP/G4MD
play,6,0,pindc001,10,BX,43/G4
play,6,1,ohtas001,10,BX,S7/L7LD+
play,6,1,troum001,00,,NP
sub,trivl001,"Lou Trivino",0,0,1
play,6,1,troum001,32,.BS1F1BB>B,W.1-2
play,6,1,renda001,00,X,S7/L7S.2-3;1-2
play,6,1,walsj001,22,BCSFBS,K
play,6,1,marsb002,32,BBBCSB,W.3-H;2-3;1-2
play,6,1,rengl001,22,BFSBX,S1/G34S.3-H;2-3;1-2
play,6,1,wallc001,00,,NP
sub,lemoj001,"Jacob Lemoine",0,0,1
play,6,1,wallc001,00,.X,64(1)3/GDP/G6
play,7,0,murps001,00,,NP
sub,teper001,"Ryan Tepera",1,0,1
play,7,0,murps001,12,.FCBX,6/L56
play,7,0,barrl001,20,BBX,8/F8XD
play,7,0,pachc001,21,CBBX,63/G6
play,7,1,wadet002,22,CBBSX,S9/F89
play,7,1,velaa001,20,B11BX,HR/F7D.1-H
play,7,1,ohtas001,00,X,63/G4
play,7,1,troum001,31,BBTBX,7/F78
play,7,1,renda001,31,CBBBB,W
play,7,1,walsj001,32,CBBFB>C,K
play,8,0,allen002,00,,NP
sub,loupa001,"Aaron Loup",1,0,1
play,8,0,allen002,22,.BCFBX,3/G3
play,8,0,kempt001,00,,NP
sub,smitk003,"Kevin Smith",0,1,11
play,8,0,smitk003,10,.BX,D8/L89XD+
play,8,0,neuss001,01,CX,S9/G4.2-H
play,8,0,lowrj001,22,BFBSX,D7/L7LD.1-H
play,8,0,brows003,00,,NP
sub,bethc001,"Christian Bethancourt",0,4,11
play,8,0,bethc001,01,.SX,53/G56
play,8,0,pindc001,32,BBSFBB,W
play,8,0,murps001,00,,NP
sub,orteo001,"Oliver Ortega",1,0,1
play,8,0,murps001,02,.FFFX,S7/L7+.2-3;1-2
play,8,0,barrl001,00,B,WP.3-H(NR);2-3;1-2
play,8,0,barrl001,22,B.CBC*S,K.BX1(23)
play,8,1,marsb002,00,,NP
sub,smitk003,"Kevin Smith",0,1,5
play,8,1,marsb002,00,.,NP
sub,neuss001,"Sheldon Neuse",0,2,4
play,8,1,marsb002,00,..,NP
sub,bethc001,"Christian Bethancourt",0,4,3
play,8,1,marsb002,11,...FBX,43/G34
play,8,1,rengl001,12,CFBX,63/G6
play,8,1,wallc001,12,CBSS,K
play,9,0,pachc001,00,,NP
sub,igler001,"Raisel Iglesias",1,0,1
play,9,0,pachc001,10,.BX,8/F8XD
play,9,0,allen002,00,,NP
sub,andre001,"Elvis Andrus",0,9,11
play,9,0,andre001,02,.CFS,K
play,9,0,smitk003,12,BFFC,K
data,er,trivl001,1
data,er,kolaa001,2
data,er,montf001,0
data,er,lemoj001,2
data,er,acevd001,0
data,er,loupa001,3
data,er,orteo001,0
data,er,igler001,0
data,er,lorem002,0
data,er,teper001,0
id,ANA202208290
version,2
info,visteam,NYA
info,hometeam,ANA
info,site,ANA01
info,date,2022/08/29
info,number,0
info,starttime,6:38PM
info,daynight,night
info,innings,9
