id,NYA202206280
version,2
info,visteam,OAK
info,hometeam,NYA
info,site,NYC21
info,date,2022/06/28
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,sches901
info,ump1b,vondc901
info,ump2b,buckc901
info,ump3b,gonzm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,77
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,183
info,attendance,38051
info,wp,searj001
info,lp,montf001
info,save,holmc001
start,allen002,"Nick Allen",0,1,4
start,laurr001,"Ramon Laureano",0,2,9
start,bethc001,"Christian Bethancourt",0,3,3
start,murps001,"Sean Murphy",0,4,2
start,piscs001,"Stephen Piscotty",0,5,10
start,andre001,"Elvis Andrus",0,6,6
start,pindc001,"Chad Pinder",0,7,7
start,neuss001,"Sheldon Neuse",0,8,5
start,pachc001,"Cristian Pache",0,9,8
start,montf001,"Frankie Montas",0,0,1
start,lemad001,"DJ LeMahieu",1,1,4
start,judga001,"Aaron Judge",1,2,10
start,rizza001,"Anthony Rizzo",1,3,3
start,donaj001,"Josh Donaldson",1,4,5
start,trevj001,"Jose Trevino",1,5,2
start,hicka001,"Aaron Hicks",1,6,8
start,kinei001,"Isiah Kiner-Falefa",1,7,6
start,gonzm002,"Marwin Gonzalez",1,8,7
start,gallj002,"Joey Gallo",1,9,9
start,searj001,"JP Sears",1,0,1
play,1,0,allen002,32,BBCFBX,53/G56
play,1,0,laurr001,32,BSBBCB,W
play,1,0,bethc001,01,CX,9/F9L
play,1,0,murps001,01,1C>B,SB2
play,1,0,murps001,11,1C>B.X,8/F8XD
play,1,1,lemad001,31,BBBCB,W
play,1,1,judga001,22,SBFFBFC,K
play,1,1,rizza001,12,B1FCC,K
play,1,1,donaj001,12,BSCFX,D7/L7LD.1-3
play,1,1,trevj001,12,BCFX,S9/G34.3-H;2XH(92)
play,2,0,piscs001,22,FBSBX,9/F89D
play,2,0,andre001,12,CCBX,63/G6
play,2,0,pindc001,32,BSFBBFX,63/G6
play,2,1,hicka001,32,FBBBCB,W
play,2,1,kinei001,10,B1X,4(1)3/GDP/G4
play,2,1,gonzm002,31,BBBCX,HR/F89XD
play,2,1,gallj002,22,SBFBX,9/F89
play,3,0,neuss001,00,X,S6/G6M
play,3,0,pachc001,02,CS+1,PO1(23)
play,3,0,pachc001,22,CS+1.BBX,53/G56S
play,3,0,allen002,10,BX,43/G4
play,3,1,lemad001,32,CBCFFFBBX,9/L9D
play,3,1,judga001,22,SBCBS,K
play,3,1,rizza001,22,BBCLS,K
play,4,0,laurr001,12,BCSS,K
play,4,0,bethc001,00,X,S7/L6D+
play,4,0,murps001,22,CF1BBX,4/P4D
play,4,0,piscs001,22,1BC1BC11>B,CS2(24)
play,4,1,donaj001,00,X,7/F78D
play,4,1,trevj001,31,SBBBX,53/G56S
play,4,1,hicka001,11,CBX,8/F8XD
play,5,0,piscs001,12,FBFX,43/G4
play,5,0,andre001,20,BBX,53/G56S
play,5,0,pindc001,12,BSCX,63/G6
play,5,1,kinei001,22,BFBCFX,S9/L9LS
play,5,1,gonzm002,12,1CS*BS,K
play,5,1,gallj002,01,C>B,SB2
play,5,1,gallj002,32,C>B.F*BFB*S,K
play,5,1,lemad001,11,FBX,8/L89D
play,6,0,neuss001,02,CCX,63/G78S
play,6,0,pachc001,32,CBCBBFX,5/L5F/FL
play,6,0,allen002,00,X,D8/F78XD+
play,6,0,laurr001,00,,NP
sub,marir001,"Ron Marinaccio",1,0,1
play,6,0,laurr001,12,.CB2SS,K
play,6,1,judga001,32,BCBCFBFS,K
play,6,1,rizza001,10,BX,7/F78XD
play,6,1,donaj001,12,SCBX,8/F8
play,7,0,bethc001,00,,NP
sub,peraw002,"Wandy Peralta",1,0,1
play,7,0,bethc001,32,.TSBBFB*B,W
play,7,0,murps001,31,*BC*BB1X,7/F7
play,7,0,piscs001,12,BSSS,K
play,7,0,andre001,00,,NP
sub,kingm002,"Michael King",1,0,1
play,7,0,andre001,12,.C*BCS,K
play,7,1,trevj001,00,,NP
sub,acevd001,"Domingo Acevedo",0,0,1
play,7,1,trevj001,02,.CSX,63/G6
play,7,1,hicka001,21,BCBX,43/G34
play,7,1,kinei001,02,CFX,7/F78S
play,8,0,pindc001,00,,NP
sub,kempt001,"Tony Kemp",0,7,11
play,8,0,kempt001,12,.CSBT,K
play,8,0,neuss001,32,BBBCCB,W
