Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,kwans001,20,BBX,31/G34
play,1,1,rosaa003,12,BCSFX,9/F9LF/FL
play,1,1,ramij003,02,CFS,K
play,2,1,naylj001,31,BBBCX,43/G34
play,2,1,gonzo001,11,BCX,53/G56
play,2,1,gimea001,00,X,S8/G6M
play,2,1,millo002,00,>B,CS2(24)
play,3,1,millo002,00,X,53/G5
play,3,1,palar002,00,X,23/G2-
play,3,1,maill001,12,CCBS,K
play,4,1,kwans001,12,BCCX,43/G34
play,4,1,rosaa003,02,CFX,S7/L78
play,4,1,ramij003,00,X,D49/G3.1-H(E9/TH)(NR);B-3
play,4,1,naylj001,12,FFBX,FC3/G34.3-H;B-1
play,4,1,gonzo001,12,.BCSX,S7/L78+.1-2
play,4,1,gimea001,30,BBBB,W.2-3;1-2
play,4,1,millo002,00,X,8/SF/F89XD+.3-H;2-3
play,4,1,palar002,11,1*BF1X,S5/BG56S.3-H;1-2
play,4,1,maill001,00,X,13/G13
play,5,1,kwans001,32,BCFBBX,S9/G34
play,5,1,rosaa003,11,BF1X,64(1)/FO/G6.B-1
play,5,1,ramij003,32,BBSF1B>F>F1X,9/F9LS
play,5,1,naylj001,31,BCB1BX,5/P5D
play,6,1,gonzo001,12,BTTX,D9/L9LD+
play,6,1,gimea001,01,LX,43/G4.2-3
play,6,1,millo002,32,BTCBBFX,D7/L7LS.3-H
play,6,1,palar002,21,CBBX,4/L4D/DP.2X2(46)
play,7,1,maill001,00,.,NP
play,7,1,maill001,00,..,NP
