Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,yelic001,22,BFCBFX,1/G23
play,1,1,adamw002,32,BBBCFB,W
play,1,1,tellr001,12,C*BFX,56(1)/FO/P4MS.B-1
play,1,1,renfh001,00,X,S8/L78.1-2
play,1,1,wongk001,32,*SBC*B*B>F>X,S5/G25-.2-3;1-2
play,1,1,mccua001,11,.BFX,5(2)/FO/G5S.B-1
play,2,1,petej002,30,BBBB,W
play,2,1,narvo001,21,1CB*BX,S7/L7S.1-2
play,2,1,mitcg001,32,CS*BFBFFBFFC,K
play,2,1,yelic001,22,.BBSST,K
play,2,1,adamw002,10,BX,HR/F7D.2-H;1-H
play,2,1,tellr001,11,BFX,43/G23
play,3,1,renfh001,10,BX,53/G5
play,3,1,wongk001,12,BFFFX,43/G34D
play,3,1,mccua001,30,BBBB,W
play,3,1,petej002,12,CBCX,8/F8
play,4,1,narvo001,00,X,8/F78D
play,4,1,mitcg001,32,BFBSBFB,W
play,4,1,yelic001,00,.,NP
