Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,olive001,22,CBSBX,53/G56
play,1,1,benia002,32,CBBCBX,31/G3
play,1,1,peres002,22,CBBFS,K
play,2,1,ohear001,11,CBX,63/G4
play,2,1,merrw001,11,BCX,4/P34D
play,2,1,wittb002,12,CBFFX,63/G6
play,3,1,melem001,32,BBFFFBX,8/F8D
play,3,1,taylm002,00,X,S8/L89+
play,3,1,lopen001,12,CFBX,56(1)/FO/G6-.B-1
play,3,1,olive001,32,SBS*BFB>X,53/G56
play,4,1,benia002,12,BCTX,E5/G6.B-1
play,4,1,peres002,01,CX,6/P56D
play,4,1,ohear001,00,X,63/G4.1-2
play,4,1,merrw001,01,SX,63/G6
play,5,1,wittb002,02,SCFX,43/G34
play,5,1,melem001,01,CX,7/F7D
play,5,1,taylm002,00,X,53/G56
play,6,1,lopen001,32,BCFBBFFFB,W
play,6,1,olive001,01,CX,9/F9LD
play,6,1,benia002,21,CBBX,43/G34.1-2
play,6,1,peres002,32,CFB*B*BS,K
play,7,1,ohear001,00,,NP
play,7,1,ohear001,20,.BBX,31/G3
play,7,1,merrw001,00,X,53/G5
play,7,1,wittb002,01,CX,31/G34
play,8,1,melem001,00,,NP
play,8,1,melem001,00,.,NP
